search_term,initial_category,candidate_knowledge_point,domain_seed,subdomain_seed,default_start_sec,default_end_sec,why_dynamic,notes,collector_notes,capability_label,dynamic_concept_id,dynamic_concept,capability_queue_rank
jellyfish jet propulsion bell contraction video,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,animal_locomotion_and_biomechanics,0,60,"Body cavity or bell contracts, then the body translates in the opposite direction of expelled fluid.",principle_id=BIO_LOC_001; priority=core; reject=Reject swimming clips without contraction-pulse displacement.; hard_negative_family=peristalsis; flapping lift; tail undulation; capability_label=DMR,principle_id=BIO_LOC_001; priority=core; reject=Reject swimming clips without contraction-pulse displacement.; hard_negative_family=peristalsis; flapping lift; tail undulation; capability_label=DMR,DMR,,,1
fluid jet propulsion animal locomotion video,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,animal_locomotion_and_biomechanics,0,60,"Body cavity or bell contracts, then the body translates in the opposite direction of expelled fluid.",principle_id=BIO_LOC_001; priority=core; reject=Reject swimming clips without contraction-pulse displacement.; hard_negative_family=peristalsis; flapping lift; tail undulation; capability_label=DMR,principle_id=BIO_LOC_001; priority=core; reject=Reject swimming clips without contraction-pulse displacement.; hard_negative_family=peristalsis; flapping lift; tail undulation; capability_label=DMR,DMR,,,2
jellyfish jet propulsion video,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,animal_locomotion_and_biomechanics,0,60,A bell or mantle contracts and the body moves opposite the expelled fluid.,capability_label=DCR; dynamic_concept_id=DCR_BIO_JET_001; linked_principle_id=BIO_LOC_001; aliases=jellyfish propulsion; squid jetting; reject=Reject swimming clips without visible contraction-pulse displacement.; hard_negative_concepts=flapping lift; undulation; crawling,capability_label=DCR; dynamic_concept_id=DCR_BIO_JET_001; linked_principle_id=BIO_LOC_001; aliases=jellyfish propulsion; squid jetting; reject=Reject swimming clips without visible contraction-pulse displacement.; hard_negative_concepts=flapping lift; undulation; crawling,DCR,DCR_BIO_JET_001,jet propulsion swimming,3
mitosis chromosome segregation time lapse microscopy,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,germination_and_development,0,60,Chromosomes align at the metaphase plate and move toward opposite poles.,principle_id=BIO_CELL_001; priority=core; reject=Reject static mitosis-stage diagrams and clips without chromosome movement.; hard_negative_family=cytokinesis only; cell migration; diffusion; capability_label=DMR,principle_id=BIO_CELL_001; priority=core; reject=Reject static mitosis-stage diagrams and clips without chromosome movement.; hard_negative_family=cytokinesis only; cell migration; diffusion; capability_label=DMR,DMR,,,4
live cell mitosis spindle chromosome video,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,germination_and_development,0,60,Chromosomes align at the metaphase plate and move toward opposite poles.,principle_id=BIO_CELL_001; priority=core; reject=Reject static mitosis-stage diagrams and clips without chromosome movement.; hard_negative_family=cytokinesis only; cell migration; diffusion; capability_label=DMR,principle_id=BIO_CELL_001; priority=core; reject=Reject static mitosis-stage diagrams and clips without chromosome movement.; hard_negative_family=cytokinesis only; cell migration; diffusion; capability_label=DMR,DMR,,,5
mitosis chromosome segregation time lapse,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,germination_and_development,0,60,"Chromosomes align, separate, and move to opposite poles.",capability_label=DCR; dynamic_concept_id=DCR_BIO_MITOSIS_001; linked_principle_id=BIO_CELL_001; aliases=cell division mitosis; chromosome segregation; reject=Reject static diagrams or clips without chromosome movement.; hard_negative_concepts=cytokinesis only; cell migration; apoptosis,capability_label=DCR; dynamic_concept_id=DCR_BIO_MITOSIS_001; linked_principle_id=BIO_CELL_001; aliases=cell division mitosis; chromosome segregation; reject=Reject static diagrams or clips without chromosome movement.; hard_negative_concepts=cytokinesis only; cell migration; apoptosis,DCR,DCR_BIO_MITOSIS_001,mitosis,6
cell migration pseudopod actin time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,organism_behavior_and_taxis,0,60,"Leading edge protrudes, adhesions shift, rear retracts, and the cell body translocates.",principle_id=BIO_CELL_003; priority=core; reject=Reject random cell shape changes without net displacement.; hard_negative_family=Brownian motion; ciliary swimming; mitosis; capability_label=DMR,principle_id=BIO_CELL_003; priority=core; reject=Reject random cell shape changes without net displacement.; hard_negative_family=Brownian motion; ciliary swimming; mitosis; capability_label=DMR,DMR,,,7
amoeboid cell migration time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,organism_behavior_and_taxis,0,60,"Leading edge protrudes, adhesions shift, rear retracts, and the cell body translocates.",principle_id=BIO_CELL_003; priority=core; reject=Reject random cell shape changes without net displacement.; hard_negative_family=Brownian motion; ciliary swimming; mitosis; capability_label=DMR,principle_id=BIO_CELL_003; priority=core; reject=Reject random cell shape changes without net displacement.; hard_negative_family=Brownian motion; ciliary swimming; mitosis; capability_label=DMR,DMR,,,8
bird courtship display dance video,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,organism_behavior_and_taxis,0,60,The animal performs a repeated display sequence toward a potential mate or rival.,capability_label=DCR; dynamic_concept_id=DCR_BIO_DISPLAY_001; linked_principle_id=BIO_TAX_004; aliases=mating display; courtship dance; lek display; reject=Reject generic walking or flight without display context and sequence.; hard_negative_concepts=foraging; locomotion; aggression display,capability_label=DCR; dynamic_concept_id=DCR_BIO_DISPLAY_001; linked_principle_id=BIO_TAX_004; aliases=mating display; courtship dance; lek display; reject=Reject generic walking or flight without display context and sequence.; hard_negative_concepts=foraging; locomotion; aggression display,DCR,DCR_BIO_DISPLAY_001,courtship display,9
photosynthesis oxygen bubbles light intensity video,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_growth_and_tropisms,0,60,Oxygen bubbles increase after light exposure or light intensity changes.,principle_id=BIO_ENE_001; priority=core; reject=Reject generic plant growth videos or final gas collection only.; hard_negative_family=respiration CO2; boiling; gas evolution chemistry; capability_label=DMR,principle_id=BIO_ENE_001; priority=core; reject=Reject generic plant growth videos or final gas collection only.; hard_negative_family=respiration CO2; boiling; gas evolution chemistry; capability_label=DMR,DMR,,,10
