domain,subdomain,min_v1_count,target_v1_count,capability_mix
biology_living_systems,animal_locomotion_and_biomechanics,8,10,DMR+DCR
biology_living_systems,germination_and_development,8,10,DMR+DCR
biology_living_systems,organism_behavior_and_taxis,8,10,DMR+DCR
biology_living_systems,plant_growth_and_tropisms,8,10,DMR+DCR
biology_living_systems,plant_nastic_movements,8,10,DMR
biology_living_systems,plant_water_relations_and_turgor,8,10,DMR+DCR
chemistry_materials_change,diffusion_mixing_and_transport,8,10,DMR+DCR
chemistry_materials_change,gas_evolution_and_combustion,8,10,DMR
chemistry_materials_change,material_deformation_and_response,8,10,DMR+DCR
chemistry_materials_change,phase_change_and_crystallization,8,10,DMR+DCR
chemistry_materials_change,precipitation_and_solubility,8,10,DMR+DCR
chemistry_materials_change,redox_and_endpoint_reactions,8,10,DMR+DCR
earth_environmental_systems,cryosphere_and_seasonal_change,8,10,DMR+DCR
earth_environmental_systems,ecosystem_interactions,8,10,DMR
earth_environmental_systems,erosion_transport_and_deposition,8,10,DMR+DCR
earth_environmental_systems,geology_and_geophysical_change,8,10,DMR+DCR
earth_environmental_systems,hydrology_and_flow_processes,8,10,DMR+DCR
earth_environmental_systems,weather_and_atmospheric_dynamics,8,10,DMR+DCR
engineered_systems_and_operations,filtration_and_separation,8,10,DMR+DCR
engineered_systems_and_operations,machines_control_and_failure_modes,8,10,DMR+DCR
engineered_systems_and_operations,mixing_dispersion_and_wetting,8,10,DMR
engineered_systems_and_operations,pressure_flow_and_process_control,8,10,DMR+DCR
engineered_systems_and_operations,thermal_process_control,8,10,DMR
engineered_systems_and_operations,tooling_force_and_precision,8,10,DMR+DCR
physics_physical_systems,collisions_and_momentum,8,10,DMR
physics_physical_systems,electromagnetism_and_fields,8,10,DMR
physics_physical_systems,fluids_pressure_and_buoyancy,8,10,DMR+DCR
physics_physical_systems,motion_forces_and_energy,8,10,DMR+DCR
physics_physical_systems,oscillation_rotation_and_vibration,8,10,DMR+DCR
physics_physical_systems,surface_and_capillary_processes,8,10,DMR+DCR
physics_physical_systems,thermal_physical_response,8,10,DMR+DCR
