id,page_url,title,direct_url,mime,duration_sec,license_short_name,usage_terms
dynaknow_000001,https://commons.wikimedia.org/wiki/File:Quick_Pool_Break.webm,File:Quick Pool Break.webm,https://upload.wikimedia.org/wikipedia/commons/3/35/Quick_Pool_Break.webm,video/webm,,,
dynaknow_000002,https://commons.wikimedia.org/wiki/File:Bimetal_coil_reacts_to_lighter.ogv,File:Bimetal coil reacts to lighter.ogv,https://upload.wikimedia.org/wikipedia/commons/5/55/Bimetal_coil_reacts_to_lighter.ogv,video/ogg,,,
dynaknow_000003,https://commons.wikimedia.org/wiki/File:Iodine_clock_-_persulphate.ogv,File:Iodine clock - persulphate.ogv,https://upload.wikimedia.org/wikipedia/commons/1/1b/Iodine_clock_-_persulphate.ogv,video/ogg,,,
dynaknow_000004,https://commons.wikimedia.org/wiki/File:Melting_Ice_time_lapse.webm,File:Melting Ice time lapse.webm,https://upload.wikimedia.org/wikipedia/commons/7/75/Melting_Ice_time_lapse.webm,video/webm,,,
dynaknow_000005,https://commons.wikimedia.org/wiki/File:Phototropism_in_Solanum_lycopersicum.webm,File:Phototropism in Solanum lycopersicum.webm,https://upload.wikimedia.org/wikipedia/commons/a/aa/Phototropism_in_Solanum_lycopersicum.webm,video/webm,,,
dynaknow_000006,https://commons.wikimedia.org/wiki/File:Sabzeh_sprouting_seeds_timelapse.webm,File:Sabzeh sprouting seeds timelapse.webm,https://upload.wikimedia.org/wikipedia/commons/c/cc/Sabzeh_sprouting_seeds_timelapse.webm,video/webm,,,
dynaknow_000007,https://commons.wikimedia.org/wiki/File:Capillary_breakup.webm,File:Capillary breakup.webm,https://upload.wikimedia.org/wikipedia/commons/2/28/Capillary_breakup.webm,video/webm,,,
dynaknow_000008,https://commons.wikimedia.org/wiki/File:Water_candle_experiment.webm,File:Water candle experiment.webm,https://upload.wikimedia.org/wikipedia/commons/c/cd/Water_candle_experiment.webm,video/webm,,,
dynaknow_000009,https://commons.wikimedia.org/wiki/File:Vacuum_pump_filter_pour_sample_and_turn_on.webm,File:Vacuum pump filter pour sample and turn on.webm,https://upload.wikimedia.org/wikipedia/commons/3/3f/Vacuum_pump_filter_pour_sample_and_turn_on.webm,video/webm,,,
dynaknow_000010,https://commons.wikimedia.org/wiki/File:ElasticPendulum.webm,File:ElasticPendulum.webm,https://upload.wikimedia.org/wikipedia/commons/2/26/ElasticPendulum.webm,video/webm,,,
