id,page_url,title,direct_url,mime,duration_sec,license_short_name,usage_terms
dynaknow_000001,https://commons.wikimedia.org/wiki/File:Quick_Pool_Break.webm,File:Quick Pool Break.webm,https://upload.wikimedia.org/wikipedia/commons/3/35/Quick_Pool_Break.webm,video/webm,,,
dynaknow_000002,https://commons.wikimedia.org/wiki/File:Bimetal_coil_reacts_to_lighter.ogv,File:Bimetal coil reacts to lighter.ogv,https://upload.wikimedia.org/wikipedia/commons/5/55/Bimetal_coil_reacts_to_lighter.ogv,video/ogg,,,
dynaknow_000003,https://commons.wikimedia.org/wiki/File:Iodine_clock_-_persulphate.ogv,File:Iodine clock - persulphate.ogv,https://upload.wikimedia.org/wikipedia/commons/1/1b/Iodine_clock_-_persulphate.ogv,video/ogg,,,
dynaknow_000004,https://commons.wikimedia.org/wiki/File:Melting_Ice_time_lapse.webm,File:Melting Ice time lapse.webm,https://upload.wikimedia.org/wikipedia/commons/7/75/Melting_Ice_time_lapse.webm,video/webm,,,
dynaknow_000005,https://commons.wikimedia.org/wiki/File:Phototropism_in_Solanum_lycopersicum.webm,File:Phototropism in Solanum lycopersicum.webm,https://upload.wikimedia.org/wikipedia/commons/a/aa/Phototropism_in_Solanum_lycopersicum.webm,video/webm,,,
dynaknow_000006,https://commons.wikimedia.org/wiki/File:Sabzeh_sprouting_seeds_timelapse.webm,File:Sabzeh sprouting seeds timelapse.webm,https://upload.wikimedia.org/wikipedia/commons/c/cc/Sabzeh_sprouting_seeds_timelapse.webm,video/webm,,,
dynaknow_000007,https://commons.wikimedia.org/wiki/File:Capillary_breakup.webm,File:Capillary breakup.webm,https://upload.wikimedia.org/wikipedia/commons/2/28/Capillary_breakup.webm,video/webm,,,
dynaknow_000008,https://commons.wikimedia.org/wiki/File:Water_candle_experiment.webm,File:Water candle experiment.webm,https://upload.wikimedia.org/wikipedia/commons/c/cd/Water_candle_experiment.webm,video/webm,,,
dynaknow_000009,https://commons.wikimedia.org/wiki/File:Vacuum_pump_filter_pour_sample_and_turn_on.webm,File:Vacuum pump filter pour sample and turn on.webm,https://upload.wikimedia.org/wikipedia/commons/3/3f/Vacuum_pump_filter_pour_sample_and_turn_on.webm,video/webm,,,
dynaknow_000010,https://commons.wikimedia.org/wiki/File:ElasticPendulum.webm,File:ElasticPendulum.webm,https://upload.wikimedia.org/wikipedia/commons/2/26/ElasticPendulum.webm,video/webm,,,
dynaknow_000011,https://commons.wikimedia.org/wiki/File:Timelapse-crystal.ogv,File:Timelapse-crystal.ogv,https://upload.wikimedia.org/wikipedia/commons/c/c7/Timelapse-crystal.ogv,video/ogg,,,
dynaknow_000012,https://commons.wikimedia.org/wiki/File:Time-Lapse.ogv,File:Time-Lapse.ogv,https://upload.wikimedia.org/wikipedia/commons/c/ca/Time-Lapse.ogv,video/ogg,,,
dynaknow_000013,https://commons.wikimedia.org/wiki/File:Satellite_measurements_of_Greenland%27s_ice_cover_from_1979_to_2009_reveals_a_trend_of_increased_melting.ogv,File:Satellite measurements of Greenland's ice cover from 1979 to 2009 reveals a trend of increased melting.ogv,https://upload.wikimedia.org/wikipedia/commons/f/f7/Satellite_measurements_of_Greenland's_ice_cover_from_1979_to_2009_reveals_a_trend_of_increased_melting.ogv,video/ogg,,,
dynaknow_000014,https://commons.wikimedia.org/wiki/File:Backwashing_demo_at_a_water_filtration_plant.webm,File:Backwashing demo at a water filtration plant.webm,https://upload.wikimedia.org/wikipedia/commons/7/7a/Backwashing_demo_at_a_water_filtration_plant.webm,video/webm,,,
dynaknow_000015,https://commons.wikimedia.org/wiki/File:Filtration_Video_at_Leadville_NFH_(4857132923).webm,File:Filtration Video at Leadville NFH (4857132923).webm,https://upload.wikimedia.org/wikipedia/commons/b/b5/Filtration_Video_at_Leadville_NFH_(4857132923).webm,video/webm,,,
dynaknow_000016,https://commons.wikimedia.org/wiki/File:Slow_motion_drop.webm,File:Slow motion drop.webm,https://upload.wikimedia.org/wikipedia/commons/e/e7/Slow_motion_drop.webm,video/webm,,,
dynaknow_000017,https://commons.wikimedia.org/wiki/File:Torsion-pendulum.ogv,File:Torsion-pendulum.ogv,https://upload.wikimedia.org/wikipedia/commons/6/66/Torsion-pendulum.ogv,video/ogg,,,
dynaknow_000018,https://commons.wikimedia.org/wiki/File:Candle_and_Match.ogv,File:Candle and Match.ogv,https://upload.wikimedia.org/wikipedia/commons/6/6c/Candle_and_Match.ogv,video/ogg,,,
dynaknow_000019,https://commons.wikimedia.org/wiki/File:Melting_ice.theora.ogv,File:Melting ice.theora.ogv,https://upload.wikimedia.org/wikipedia/commons/9/9b/Melting_ice.theora.ogv,video/ogg,,,
dynaknow_000020,https://commons.wikimedia.org/wiki/File:Ice_cubes_melting_in_a_glass.ogv,File:Ice cubes melting in a glass.ogv,https://upload.wikimedia.org/wikipedia/commons/0/0e/Ice_cubes_melting_in_a_glass.ogv,video/ogg,,,
dynaknow_000021,https://commons.wikimedia.org/wiki/File:103._%D0%93%D0%BE%D1%80%D0%B5%D1%9A%D0%B5_%D0%B6%D0%B5%D0%BB%D0%B5%D0%B7%D0%BD%D0%B0_%D0%B2%D0%BE_%D0%BA%D0%B8%D1%81%D0%BB%D0%BE%D1%80%D0%BE%D0%B4.webm,File:103. Горење железна во кислород.webm,https://upload.wikimedia.org/wikipedia/commons/9/9d/103._%D0%93%D0%BE%D1%80%D0%B5%D1%9A%D0%B5_%D0%B6%D0%B5%D0%BB%D0%B5%D0%B7%D0%BD%D0%B0_%D0%B2%D0%BE_%D0%BA%D0%B8%D1%81%D0%BB%D0%BE%D1%80%D0%BE%D0%B4.webm,video/webm,,,
dynaknow_000022,https://commons.wikimedia.org/wiki/File:Oxalis_Triangularis_Photonasty_Timelapse.ogv,File:Oxalis Triangularis Photonasty Timelapse.ogv,https://upload.wikimedia.org/wikipedia/commons/f/fe/Oxalis_Triangularis_Photonasty_Timelapse.ogv,video/ogg,,,
dynaknow_000023,https://commons.wikimedia.org/wiki/File:Azuki_Bean_phototropism.ogv,File:Azuki Bean phototropism.ogv,https://upload.wikimedia.org/wikipedia/commons/a/a7/Azuki_Bean_phototropism.ogv,video/ogg,,,
dynaknow_000024,https://commons.wikimedia.org/wiki/File:MagneticPendulum_VariableFriction.ogv,File:MagneticPendulum VariableFriction.ogv,https://upload.wikimedia.org/wikipedia/commons/a/af/MagneticPendulum_VariableFriction.ogv,video/ogg,,,
dynaknow_000025,https://commons.wikimedia.org/wiki/File:Dynamikum_Gekoppelte_Pendel.ogv,File:Dynamikum Gekoppelte Pendel.ogv,https://upload.wikimedia.org/wikipedia/commons/f/fa/Dynamikum_Gekoppelte_Pendel.ogv,video/ogg,,,
dynaknow_000026,https://commons.wikimedia.org/wiki/File:Double_pendulum_%26_spring1.ogv,File:Double pendulum & spring1.ogv,https://upload.wikimedia.org/wikipedia/commons/7/75/Double_pendulum_&_spring1.ogv,video/ogg,,,
dynaknow_000027,https://commons.wikimedia.org/wiki/File:20._%D0%92%D0%B0%D0%BB%D1%82%D0%B5%D0%BD%D1%85%D0%BE%D1%84%D0%B5%D0%BD%D0%BE%D0%B2%D0%BE_%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%BE.ogv,File:20. Валтенхофеново правило.ogv,https://upload.wikimedia.org/wikipedia/commons/5/5f/20._%D0%92%D0%B0%D0%BB%D1%82%D0%B5%D0%BD%D1%85%D0%BE%D1%84%D0%B5%D0%BD%D0%BE%D0%B2%D0%BE_%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%BE.ogv,video/ogg,,,
dynaknow_000028,https://commons.wikimedia.org/wiki/File:Nanoparticle-Induced-Cell-Magneto-Rotation-Monitoring-Morphology-Stress-and-Drug-Sensitivity-of-a-pone.0028475.s008.ogv,File:Nanoparticle-Induced-Cell-Magneto-Rotation-Monitoring-Morphology-Stress-and-Drug-Sensitivity-of-a-pone.0028475.s008.ogv,https://upload.wikimedia.org/wikipedia/commons/8/82/Nanoparticle-Induced-Cell-Magneto-Rotation-Monitoring-Morphology-Stress-and-Drug-Sensitivity-of-a-pone.0028475.s008.ogv,video/ogg,,,
