id,page_url,title,direct_url,mime,duration_sec,license_short_name,usage_terms
dynaknow_000037,https://commons.wikimedia.org/wiki/File:Sunflower_Flower_Opening_Time_Lapse.ogv,File:Sunflower Flower Opening Time Lapse.ogv,https://upload.wikimedia.org/wikipedia/commons/4/41/Sunflower_Flower_Opening_Time_Lapse.ogv,video/ogg,,,
dynaknow_000038,https://commons.wikimedia.org/wiki/File:Sunflower_Flower_Opening_Time_Lapse_320x240.ogv,File:Sunflower Flower Opening Time Lapse 320x240.ogv,https://upload.wikimedia.org/wikipedia/commons/d/df/Sunflower_Flower_Opening_Time_Lapse_320x240.ogv,video/ogg,,,
dynaknow_000039,https://commons.wikimedia.org/wiki/File:Corona.Candle.webm,File:Corona.Candle.webm,https://upload.wikimedia.org/wikipedia/commons/7/72/Corona.Candle.webm,video/webm,,,
dynaknow_000040,https://commons.wikimedia.org/wiki/File:Kerzenflamme_im_plattenkondensator.ogv,File:Kerzenflamme im plattenkondensator.ogv,https://upload.wikimedia.org/wikipedia/commons/8/86/Kerzenflamme_im_plattenkondensator.ogv,video/ogg,,,
dynaknow_000047,https://commons.wikimedia.org/wiki/File:Carom_billiards.webm,File:Carom billiards.webm,https://upload.wikimedia.org/wikipedia/commons/6/62/Carom_billiards.webm,video/webm,,,
dynaknow_000048,https://commons.wikimedia.org/wiki/File:Video_of_RP_FLIP_transitioning_to_vertical_(120630-N-PO203-001).webm,File:Video of RP FLIP transitioning to vertical (120630-N-PO203-001).webm,https://upload.wikimedia.org/wikipedia/commons/c/cd/Video_of_RP_FLIP_transitioning_to_vertical_(120630-N-PO203-001).webm,video/webm,,,
dynaknow_000049,https://commons.wikimedia.org/wiki/File:Hair-cell-force-generation-does-not-amplify-or-tune-vibrations-within-the-chicken-basilar-papilla-ncomms13133-s3.ogv,File:Hair-cell-force-generation-does-not-amplify-or-tune-vibrations-within-the-chicken-basilar-papilla-ncomms13133-s3.ogv,https://upload.wikimedia.org/wikipedia/commons/b/b4/Hair-cell-force-generation-does-not-amplify-or-tune-vibrations-within-the-chicken-basilar-papilla-ncomms13133-s3.ogv,video/ogg,,,
dynaknow_000050,https://commons.wikimedia.org/wiki/File:Hair-cell-force-generation-does-not-amplify-or-tune-vibrations-within-the-chicken-basilar-papilla-ncomms13133-s2.ogv,File:Hair-cell-force-generation-does-not-amplify-or-tune-vibrations-within-the-chicken-basilar-papilla-ncomms13133-s2.ogv,https://upload.wikimedia.org/wikipedia/commons/d/d1/Hair-cell-force-generation-does-not-amplify-or-tune-vibrations-within-the-chicken-basilar-papilla-ncomms13133-s2.ogv,video/ogg,,,
dynaknow_000051,https://commons.wikimedia.org/wiki/File:Global-Neuromagnetic-Cortical-Fields-Have-Non-Zero-Velocity-pone.0148413.s005.ogv,File:Global-Neuromagnetic-Cortical-Fields-Have-Non-Zero-Velocity-pone.0148413.s005.ogv,https://upload.wikimedia.org/wikipedia/commons/2/29/Global-Neuromagnetic-Cortical-Fields-Have-Non-Zero-Velocity-pone.0148413.s005.ogv,video/ogg,,,
dynaknow_000057,https://commons.wikimedia.org/wiki/File:Cat.ogv,File:Cat.ogv,https://upload.wikimedia.org/wikipedia/commons/4/42/Cat.ogv,video/ogg,,,
dynaknow_000058,https://commons.wikimedia.org/wiki/File:C3N2H4_anim.ogv,File:C3N2H4 anim.ogv,https://upload.wikimedia.org/wikipedia/commons/3/3f/C3N2H4_anim.ogv,video/ogg,,,
dynaknow_000059,https://commons.wikimedia.org/wiki/File:A-Versatile-Optical-Clearing-Protocol-for-Deep-Tissue-Imaging-of-Fluorescent-Proteins-in-pone.0161107.s005.ogv,File:A-Versatile-Optical-Clearing-Protocol-for-Deep-Tissue-Imaging-of-Fluorescent-Proteins-in-pone.0161107.s005.ogv,https://upload.wikimedia.org/wikipedia/commons/3/3f/A-Versatile-Optical-Clearing-Protocol-for-Deep-Tissue-Imaging-of-Fluorescent-Proteins-in-pone.0161107.s005.ogv,video/ogg,,,
dynaknow_000061,https://commons.wikimedia.org/wiki/File:Corona.ogv,File:Corona.ogv,https://upload.wikimedia.org/wikipedia/commons/6/67/Corona.ogv,video/ogg,,,
dynaknow_000062,https://commons.wikimedia.org/wiki/File:CandleGettingBlownOut.ogv,File:CandleGettingBlownOut.ogv,https://upload.wikimedia.org/wikipedia/commons/1/11/CandleGettingBlownOut.ogv,video/ogg,,,
dynaknow_000067,https://commons.wikimedia.org/wiki/File:De_2e_voetballoze_zondag_Weeknummer_61-06_-_Open_Beelden_-_49287.ogv,File:De 2e voetballoze zondag Weeknummer 61-06 - Open Beelden - 49287.ogv,https://upload.wikimedia.org/wikipedia/commons/0/0a/De_2e_voetballoze_zondag_Weeknummer_61-06_-_Open_Beelden_-_49287.ogv,video/ogg,,,
dynaknow_000068,https://commons.wikimedia.org/wiki/File:Citybeat_-_Guitarist_Snooker_Champ_Michael_Laucke.ogv,File:Citybeat - Guitarist Snooker Champ Michael Laucke.ogv,https://upload.wikimedia.org/wikipedia/commons/3/3f/Citybeat_-_Guitarist_Snooker_Champ_Michael_Laucke.ogv,video/ogg,,,
dynaknow_000076,https://commons.wikimedia.org/wiki/File:STEMonstrations-_Water_Filtration.webm,File:STEMonstrations- Water Filtration.webm,https://upload.wikimedia.org/wikipedia/commons/f/f3/STEMonstrations-_Water_Filtration.webm,video/webm,,,
dynaknow_000077,https://commons.wikimedia.org/wiki/File:Torsion_spring_animation.ogv,File:Torsion spring animation.ogv,https://upload.wikimedia.org/wikipedia/commons/c/c9/Torsion_spring_animation.ogv,video/ogg,,,
dynaknow_000078,https://commons.wikimedia.org/wiki/File:STEMonstrations-_Surface_Tension.webm,File:STEMonstrations- Surface Tension.webm,https://upload.wikimedia.org/wikipedia/commons/e/e3/STEMonstrations-_Surface_Tension.webm,video/webm,,,
