id,direct_url,http_status,content_type,content_length,ok,error
dynaknow_000001,https://upload.wikimedia.org/wikipedia/commons/3/35/Quick_Pool_Break.webm,200,video/webm,263485,true,
dynaknow_000002,https://upload.wikimedia.org/wikipedia/commons/5/55/Bimetal_coil_reacts_to_lighter.ogv,,,,false,HTTP Error 429: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1)
dynaknow_000003,https://upload.wikimedia.org/wikipedia/commons/1/1b/Iodine_clock_-_persulphate.ogv,200,application/ogg,74487,true,
dynaknow_000004,https://upload.wikimedia.org/wikipedia/commons/7/75/Melting_Ice_time_lapse.webm,,,,false,HTTP Error 429: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1)
dynaknow_000005,https://upload.wikimedia.org/wikipedia/commons/a/aa/Phototropism_in_Solanum_lycopersicum.webm,,,,false,HTTP Error 429: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1)
dynaknow_000006,https://upload.wikimedia.org/wikipedia/commons/c/cc/Sabzeh_sprouting_seeds_timelapse.webm,,,,false,HTTP Error 429: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1)
dynaknow_000007,https://upload.wikimedia.org/wikipedia/commons/2/28/Capillary_breakup.webm,,,,false,HTTP Error 429: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1)
dynaknow_000008,https://upload.wikimedia.org/wikipedia/commons/c/cd/Water_candle_experiment.webm,,,,false,HTTP Error 429: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1)
dynaknow_000009,https://upload.wikimedia.org/wikipedia/commons/3/3f/Vacuum_pump_filter_pour_sample_and_turn_on.webm,,,,false,HTTP Error 429: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1)
dynaknow_000010,https://upload.wikimedia.org/wikipedia/commons/2/26/ElasticPendulum.webm,,,,false,HTTP Error 429: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1)
dynaknow_000011,https://upload.wikimedia.org/wikipedia/commons/c/c7/Timelapse-crystal.ogv,,,,false,HTTP Error 429: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1)
dynaknow_000012,https://upload.wikimedia.org/wikipedia/commons/c/ca/Time-Lapse.ogv,,,,false,HTTP Error 429: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1)
