search_term,initial_category,candidate_knowledge_point,domain_seed,subdomain_seed,default_start_sec,default_end_sec,why_dynamic,notes,collector_notes,capability_label,dynamic_concept_id,dynamic_concept
jellyfish jet propulsion video,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,animal_locomotion_and_biomechanics,0,60,A bell or mantle contracts and the body moves opposite the expelled fluid.,capability_label=DCR; dynamic_concept_id=DCR_BIO_JET_001; linked_principle_id=BIO_LOC_001; aliases=jellyfish propulsion; squid jetting; reject=Reject swimming clips without visible contraction-pulse displacement.; hard_negative_concepts=flapping lift; undulation; crawling,capability_label=DCR; dynamic_concept_id=DCR_BIO_JET_001; linked_principle_id=BIO_LOC_001; aliases=jellyfish propulsion; squid jetting; reject=Reject swimming clips without visible contraction-pulse displacement.; hard_negative_concepts=flapping lift; undulation; crawling,DCR,DCR_BIO_JET_001,jet propulsion swimming
squid jet propulsion slow motion,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,animal_locomotion_and_biomechanics,0,60,A bell or mantle contracts and the body moves opposite the expelled fluid.,capability_label=DCR; dynamic_concept_id=DCR_BIO_JET_001; linked_principle_id=BIO_LOC_001; aliases=jellyfish propulsion; squid jetting; reject=Reject swimming clips without visible contraction-pulse displacement.; hard_negative_concepts=flapping lift; undulation; crawling,capability_label=DCR; dynamic_concept_id=DCR_BIO_JET_001; linked_principle_id=BIO_LOC_001; aliases=jellyfish propulsion; squid jetting; reject=Reject swimming clips without visible contraction-pulse displacement.; hard_negative_concepts=flapping lift; undulation; crawling,DCR,DCR_BIO_JET_001,jet propulsion swimming
bell contraction swimming video,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,animal_locomotion_and_biomechanics,0,60,A bell or mantle contracts and the body moves opposite the expelled fluid.,capability_label=DCR; dynamic_concept_id=DCR_BIO_JET_001; linked_principle_id=BIO_LOC_001; aliases=jellyfish propulsion; squid jetting; reject=Reject swimming clips without visible contraction-pulse displacement.; hard_negative_concepts=flapping lift; undulation; crawling,capability_label=DCR; dynamic_concept_id=DCR_BIO_JET_001; linked_principle_id=BIO_LOC_001; aliases=jellyfish propulsion; squid jetting; reject=Reject swimming clips without visible contraction-pulse displacement.; hard_negative_concepts=flapping lift; undulation; crawling,DCR,DCR_BIO_JET_001,jet propulsion swimming
mitosis chromosome segregation time lapse,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,germination_and_development,0,60,"Chromosomes align, separate, and move to opposite poles.",capability_label=DCR; dynamic_concept_id=DCR_BIO_MITOSIS_001; linked_principle_id=BIO_CELL_001; aliases=cell division mitosis; chromosome segregation; reject=Reject static diagrams or clips without chromosome movement.; hard_negative_concepts=cytokinesis only; cell migration; apoptosis,capability_label=DCR; dynamic_concept_id=DCR_BIO_MITOSIS_001; linked_principle_id=BIO_CELL_001; aliases=cell division mitosis; chromosome segregation; reject=Reject static diagrams or clips without chromosome movement.; hard_negative_concepts=cytokinesis only; cell migration; apoptosis,DCR,DCR_BIO_MITOSIS_001,mitosis
cell division mitosis microscopy video,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,germination_and_development,0,60,"Chromosomes align, separate, and move to opposite poles.",capability_label=DCR; dynamic_concept_id=DCR_BIO_MITOSIS_001; linked_principle_id=BIO_CELL_001; aliases=cell division mitosis; chromosome segregation; reject=Reject static diagrams or clips without chromosome movement.; hard_negative_concepts=cytokinesis only; cell migration; apoptosis,capability_label=DCR; dynamic_concept_id=DCR_BIO_MITOSIS_001; linked_principle_id=BIO_CELL_001; aliases=cell division mitosis; chromosome segregation; reject=Reject static diagrams or clips without chromosome movement.; hard_negative_concepts=cytokinesis only; cell migration; apoptosis,DCR,DCR_BIO_MITOSIS_001,mitosis
mitosis time lapse chromosomes,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,germination_and_development,0,60,"Chromosomes align, separate, and move to opposite poles.",capability_label=DCR; dynamic_concept_id=DCR_BIO_MITOSIS_001; linked_principle_id=BIO_CELL_001; aliases=cell division mitosis; chromosome segregation; reject=Reject static diagrams or clips without chromosome movement.; hard_negative_concepts=cytokinesis only; cell migration; apoptosis,capability_label=DCR; dynamic_concept_id=DCR_BIO_MITOSIS_001; linked_principle_id=BIO_CELL_001; aliases=cell division mitosis; chromosome segregation; reject=Reject static diagrams or clips without chromosome movement.; hard_negative_concepts=cytokinesis only; cell migration; apoptosis,DCR,DCR_BIO_MITOSIS_001,mitosis
bird courtship display dance video,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,organism_behavior_and_taxis,0,60,The animal performs a repeated display sequence toward a potential mate or rival.,capability_label=DCR; dynamic_concept_id=DCR_BIO_DISPLAY_001; linked_principle_id=BIO_TAX_004; aliases=mating display; courtship dance; lek display; reject=Reject generic walking or flight without display context and sequence.; hard_negative_concepts=foraging; locomotion; aggression display,capability_label=DCR; dynamic_concept_id=DCR_BIO_DISPLAY_001; linked_principle_id=BIO_TAX_004; aliases=mating display; courtship dance; lek display; reject=Reject generic walking or flight without display context and sequence.; hard_negative_concepts=foraging; locomotion; aggression display,DCR,DCR_BIO_DISPLAY_001,courtship display
courtship display animal behavior video,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,organism_behavior_and_taxis,0,60,The animal performs a repeated display sequence toward a potential mate or rival.,capability_label=DCR; dynamic_concept_id=DCR_BIO_DISPLAY_001; linked_principle_id=BIO_TAX_004; aliases=mating display; courtship dance; lek display; reject=Reject generic walking or flight without display context and sequence.; hard_negative_concepts=foraging; locomotion; aggression display,capability_label=DCR; dynamic_concept_id=DCR_BIO_DISPLAY_001; linked_principle_id=BIO_TAX_004; aliases=mating display; courtship dance; lek display; reject=Reject generic walking or flight without display context and sequence.; hard_negative_concepts=foraging; locomotion; aggression display,DCR,DCR_BIO_DISPLAY_001,courtship display
mating dance display video,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,organism_behavior_and_taxis,0,60,The animal performs a repeated display sequence toward a potential mate or rival.,capability_label=DCR; dynamic_concept_id=DCR_BIO_DISPLAY_001; linked_principle_id=BIO_TAX_004; aliases=mating display; courtship dance; lek display; reject=Reject generic walking or flight without display context and sequence.; hard_negative_concepts=foraging; locomotion; aggression display,capability_label=DCR; dynamic_concept_id=DCR_BIO_DISPLAY_001; linked_principle_id=BIO_TAX_004; aliases=mating display; courtship dance; lek display; reject=Reject generic walking or flight without display context and sequence.; hard_negative_concepts=foraging; locomotion; aggression display,DCR,DCR_BIO_DISPLAY_001,courtship display
dynamic mimicry animal video,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,organism_behavior_and_taxis,0,60,The organism changes motion or posture to resemble another dynamic target.,capability_label=DCR; dynamic_concept_id=DCR_BIO_MIMIC_001; linked_principle_id=BIO_TAX_004; aliases=motion mimicry; behavioral mimicry; reject=Reject purely static camouflage.; hard_negative_concepts=camouflage stillness; courtship display; simple escape,capability_label=DCR; dynamic_concept_id=DCR_BIO_MIMIC_001; linked_principle_id=BIO_TAX_004; aliases=motion mimicry; behavioral mimicry; reject=Reject purely static camouflage.; hard_negative_concepts=camouflage stillness; courtship display; simple escape,DCR,DCR_BIO_MIMIC_001,dynamic mimicry
