id,video_path,frame_count,fps,first,middle,last,sparse,error
dynaknow_000001,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000001.webm,141,24.000,ok,ok,ok,6,partial_frame_extraction
dynaknow_000002,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000002.ogv,976,30.000,ok,ok,ok,8,
dynaknow_000003,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000003.ogv,151,25.000,ok,ok,ok,8,
dynaknow_000004,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000004.webm,262,29.970,ok,ok,ok,8,
dynaknow_000005,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000005.webm,540,29.970,ok,ok,ok,8,
dynaknow_000006,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000006.webm,3360,29.970,ok,ok,ok,8,
dynaknow_000007,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000007.webm,235,25.000,ok,ok,ok,8,
dynaknow_000008,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000008.webm,510,29.970,ok,ok,ok,8,
dynaknow_000009,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000009.webm,1635,29.842,ok,ok,ok,8,
dynaknow_000010,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000010.webm,504,30.000,ok,ok,ok,8,
dynaknow_000011,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000011.ogv,428,25.000,ok,ok,ok,8,
dynaknow_000012,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000012.ogv,651,25.000,ok,ok,ok,8,
dynaknow_000013,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000013.ogv,1003,30.000,missing,ok,missing,3,partial_frame_extraction
dynaknow_000014,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000014.webm,1115,25.000,ok,ok,ok,8,
dynaknow_000015,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000015.webm,1174,29.970,ok,ok,ok,7,partial_frame_extraction
dynaknow_000016,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000016.webm,920,24.000,ok,ok,ok,8,
dynaknow_000017,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000017.ogv,379,29.970,ok,ok,ok,8,
dynaknow_000018,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000018.ogv,763,29.970,ok,ok,ok,7,partial_frame_extraction
dynaknow_000022,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000022.ogv,142,25.000,ok,ok,ok,8,
dynaknow_000023,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000023.ogv,838,25.000,ok,ok,ok,7,partial_frame_extraction
dynaknow_000024,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000024.ogv,162,25.000,ok,ok,ok,8,
dynaknow_000025,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000025.ogv,236,30.000,ok,ok,ok,8,
dynaknow_000028,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000028.ogv,181,7.000,ok,ok,ok,8,
dynaknow_000029,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000029.ogv,345,26.000,ok,ok,ok,8,
dynaknow_000030,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000030.ogv,898,29.970,missing,missing,missing,0,partial_frame_extraction
dynaknow_000031,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000031.ogv,553,29.970,ok,ok,ok,8,
dynaknow_000034,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000034.ogv,497,29.970,ok,ok,ok,8,
dynaknow_000035,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000035.ogv,601,25.000,ok,ok,ok,8,
dynaknow_000036,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000036.ogv,365,20.000,ok,ok,ok,8,
