id,video_path,frame_count,fps,first,middle,last,sparse,error
dynaknow_000001,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000001.webm,141,24.000,ok,ok,ok,6,
dynaknow_000002,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000002.ogv,976,30.000,ok,ok,ok,8,
dynaknow_000003,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000003.ogv,151,25.000,ok,ok,ok,8,
dynaknow_000004,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000004.webm,262,29.970,ok,ok,ok,8,
dynaknow_000005,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000005.webm,540,29.970,ok,ok,ok,8,
dynaknow_000006,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000006.webm,3360,29.970,ok,ok,ok,8,
dynaknow_000007,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000007.webm,235,25.000,ok,ok,ok,8,
dynaknow_000008,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000008.webm,510,29.970,ok,ok,ok,8,
dynaknow_000009,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000009.webm,1635,29.842,ok,ok,ok,8,
dynaknow_000010,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000010.webm,504,30.000,ok,ok,ok,8,
