search_term,initial_category,candidate_knowledge_point,domain_seed,subdomain_seed,default_start_sec,default_end_sec,why_dynamic,notes,collector_notes
free fall acceleration slow motion,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,motion_forces_and_energy,0,60,Frame-to-frame downward displacement increases or tracked velocity increases during fall.,"principle_id=PHY_FOR_001; priority=core; reject=Reject static falling-object images, title-only gravity claims, and clips where the object is already moving without visible acceleration.; hard_negative_family=constant velocity; buoyant rise; projectile horizontal component","principle_id=PHY_FOR_001; priority=core; reject=Reject static falling-object images, title-only gravity claims, and clips where the object is already moving without visible acceleration.; hard_negative_family=constant velocity; buoyant rise; projectile horizontal component"
falling object increasing speed video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,motion_forces_and_energy,0,60,Frame-to-frame downward displacement increases or tracked velocity increases during fall.,"principle_id=PHY_FOR_001; priority=core; reject=Reject static falling-object images, title-only gravity claims, and clips where the object is already moving without visible acceleration.; hard_negative_family=constant velocity; buoyant rise; projectile horizontal component","principle_id=PHY_FOR_001; priority=core; reject=Reject static falling-object images, title-only gravity claims, and clips where the object is already moving without visible acceleration.; hard_negative_family=constant velocity; buoyant rise; projectile horizontal component"
gravity acceleration experiment video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,motion_forces_and_energy,0,60,Frame-to-frame downward displacement increases or tracked velocity increases during fall.,"principle_id=PHY_FOR_001; priority=core; reject=Reject static falling-object images, title-only gravity claims, and clips where the object is already moving without visible acceleration.; hard_negative_family=constant velocity; buoyant rise; projectile horizontal component","principle_id=PHY_FOR_001; priority=core; reject=Reject static falling-object images, title-only gravity claims, and clips where the object is already moving without visible acceleration.; hard_negative_family=constant velocity; buoyant rise; projectile horizontal component"
projectile motion parabolic trajectory slow motion,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,motion_forces_and_energy,0,60,The object follows a parabolic arc or tracked trajectory with independent horizontal and vertical components.,principle_id=PHY_FOR_002; priority=core; reject=Reject clips without visible trajectory or where propulsion continues after launch.; hard_negative_family=free fall only; powered flight; rolling on ramp,principle_id=PHY_FOR_002; priority=core; reject=Reject clips without visible trajectory or where propulsion continues after launch.; hard_negative_family=free fall only; powered flight; rolling on ramp
projectile motion tracking video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,motion_forces_and_energy,0,60,The object follows a parabolic arc or tracked trajectory with independent horizontal and vertical components.,principle_id=PHY_FOR_002; priority=core; reject=Reject clips without visible trajectory or where propulsion continues after launch.; hard_negative_family=free fall only; powered flight; rolling on ramp,principle_id=PHY_FOR_002; priority=core; reject=Reject clips without visible trajectory or where propulsion continues after launch.; hard_negative_family=free fall only; powered flight; rolling on ramp
ball projectile motion experiment,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,motion_forces_and_energy,0,60,The object follows a parabolic arc or tracked trajectory with independent horizontal and vertical components.,principle_id=PHY_FOR_002; priority=core; reject=Reject clips without visible trajectory or where propulsion continues after launch.; hard_negative_family=free fall only; powered flight; rolling on ramp,principle_id=PHY_FOR_002; priority=core; reject=Reject clips without visible trajectory or where propulsion continues after launch.; hard_negative_family=free fall only; powered flight; rolling on ramp
friction deceleration sliding block experiment,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,motion_forces_and_energy,0,60,Sliding object decelerates until rest or thermal/frictional effects are visible.,principle_id=PHY_FOR_003; priority=core; reject=Reject clips that only show a stationary rough surface or a single final rest state.; hard_negative_family=air drag; elastic collision; rolling without slip,principle_id=PHY_FOR_003; priority=core; reject=Reject clips that only show a stationary rough surface or a single final rest state.; hard_negative_family=air drag; elastic collision; rolling without slip
sliding object slows down due to friction video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,motion_forces_and_energy,0,60,Sliding object decelerates until rest or thermal/frictional effects are visible.,principle_id=PHY_FOR_003; priority=core; reject=Reject clips that only show a stationary rough surface or a single final rest state.; hard_negative_family=air drag; elastic collision; rolling without slip,principle_id=PHY_FOR_003; priority=core; reject=Reject clips that only show a stationary rough surface or a single final rest state.; hard_negative_family=air drag; elastic collision; rolling without slip
momentum transfer collision slow motion,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,collisions_and_momentum,0,60,Pre- and post-impact velocities/directions of colliding bodies visibly change.,principle_id=PHY_COL_001; priority=core; reject=Reject impacts without clear before/after motion or pure text diagrams.; hard_negative_family=friction slowing; gravitational fall; fluid drag,principle_id=PHY_COL_001; priority=core; reject=Reject impacts without clear before/after motion or pure text diagrams.; hard_negative_family=friction slowing; gravitational fall; fluid drag
two cart collision momentum video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,collisions_and_momentum,0,60,Pre- and post-impact velocities/directions of colliding bodies visibly change.,principle_id=PHY_COL_001; priority=core; reject=Reject impacts without clear before/after motion or pure text diagrams.; hard_negative_family=friction slowing; gravitational fall; fluid drag,principle_id=PHY_COL_001; priority=core; reject=Reject impacts without clear before/after motion or pure text diagrams.; hard_negative_family=friction slowing; gravitational fall; fluid drag
