id,direct_url,page_url,title,mime,duration_sec,candidate_knowledge_point,concept_zh,domain_zh,subdomain_zh,priority,source_csv
vdcr_archive_b07_000003,https://archive.org/download/Flickr-2558636981/supercell-2558636981.ogv,https://archive.org/details/Flickr-2558636981,supercell,video/ogg,30.0,Wall Cloud Rotation,墙云旋转,地球环境过程,大气风暴动力学,B,data/vdcr_candidate_videos_archive_batch07_v1.csv
vdcr_archive_b03_000050,https://archive.org/download/youtube-6BElu1uqCLc/6BElu1uqCLc.mp4,https://archive.org/details/youtube-6BElu1uqCLc,Colors of Ancient Europe - Roman city of Herculaneum (Villa of the Papyri),video/mp4,220.1,Pyroclastic Density Current,火山碎屑密度流,地球环境过程,火山与熔岩动力学,A,data/vdcr_candidate_videos_archive_batch03_v1.csv
vdcr_archive_b03_000051,https://archive.org/download/youtube-YBvYUpHjZ4I/YBvYUpHjZ4I.mp4,https://archive.org/details/youtube-YBvYUpHjZ4I,Faces of Ancient Europe Herculaneum (Paintings),video/mp4,326.9,Pyroclastic Density Current,火山碎屑密度流,地球环境过程,火山与熔岩动力学,A,data/vdcr_candidate_videos_archive_batch03_v1.csv
vdcr_archive_b03_000052,https://archive.org/download/youtube-T7WWOlNu3ak/T7WWOlNu3ak.mp4,https://archive.org/details/youtube-T7WWOlNu3ak,Faces of Ancient Europe: Herculaneum (Marble),video/mp4,229.1,Pyroclastic Density Current,火山碎屑密度流,地球环境过程,火山与熔岩动力学,A,data/vdcr_candidate_videos_archive_batch03_v1.csv
vdcr_archive_b03_000053,https://archive.org/download/youtube-MYfW_I4Yh7k/MYfW_I4Yh7k.mp4,https://archive.org/details/youtube-MYfW_I4Yh7k,Faces of Ancient Europe: Herculaneum (Bronze),video/mp4,262.1,Pyroclastic Density Current,火山碎屑密度流,地球环境过程,火山与熔岩动力学,A,data/vdcr_candidate_videos_archive_batch03_v1.csv
vdcr_archive_b03_000054,https://archive.org/download/WaSeUMCEMC4178AvalancheDynamics/WaSeUMC_EMC4-178_AvalancheDynamics_uncorrected.ogv,https://archive.org/details/WaSeUMCEMC4178AvalancheDynamics,Avalanche Dynamics: Characteristics of Snow Avalanches in Motion,video/ogg,503.4,Slab Avalanche Release,板状雪崩释放,地球环境过程,冰冻圈与冰川动力学,A,data/vdcr_candidate_videos_archive_batch03_v1.csv
vdcr_archive_b07_000006,https://archive.org/download/corcl_000121/corcl_000121_access.HD.mp4,https://archive.org/details/corcl_000121,"Once a Laguna Lifeguard, Always a Laguna Lifeguard",video/mp4,258.1,Rip Current Channel Formation,裂流出海通道形成,地球环境过程,水文、河流与海岸动力学,B,data/vdcr_candidate_videos_archive_batch07_v1.csv
vdcr_archive_b08_000018,https://archive.org/download/youtube-dbEYe65eDdw/dbEYe65eDdw.ia.mp4,https://archive.org/details/youtube-dbEYe65eDdw,Pulse-like rupture and curved slip - Analysis of Myanmar earthquake rupture,video/mp4,192.3,Fault Rupture Propagation,断层破裂传播,地球环境过程,地质变形与质量流失稳,C,data/vdcr_candidate_videos_archive_batch08_v1.csv
vdcr_archive_b07_000014,https://archive.org/download/dahboo77/20170712-MANHUNT%20IN%20ALABAMA%20FOR%20MAN%20THAT%20KILLED%203%20IN%20MOBILE%20HOME%20PARK.ia.mp4,https://archive.org/details/dahboo77,DAHBOO77,video/mp4,60.0,Glacier Surge,冰川跃动,地球环境过程,冰冻圈与冰川动力学,B,data/vdcr_candidate_videos_archive_batch07_v1.csv
vdcr_archive_b07_000022,https://archive.org/download/new-coronavirusresearch/VID20210108113518.ia.mp4,https://archive.org/details/new-coronavirusresearch,The mechanism of mutual mutagenesis and mutation of new coronavirus pneumonia bacteria (Fangruida) Medical virologist Fang Ruida's new coronavirus research) Besque compiles 2020v3.1 online version e-book,video/mp4,12.2,Spot Fire Propagation,飞火传播,地球环境过程,野火与烟羽动力学,B,data/vdcr_candidate_videos_archive_batch07_v1.csv
