id,direct_url,page_url,title,mime,duration_sec,candidate_knowledge_point
vdcr_archive_b03_000025,https://archive.org/download/wikimedia-org-Mimosa_pudica_leaves_folding_when_touched_1/Mimosa_pudica_leaves_folding_when_touched_1.mp4,https://archive.org/details/wikimedia-org-Mimosa_pudica_leaves_folding_when_touched_1,Mimosa pudica leaves folding when touched 1.ogv - Wikimedia Commons,video/mp4,36.1,Thigmonasty
vdcr_archive_b03_000026,https://archive.org/download/wikimedia-org-Mimosa_pudica_leaves_folding_when_touched_2/Mimosa_pudica_leaves_folding_when_touched_2.mp4,https://archive.org/details/wikimedia-org-Mimosa_pudica_leaves_folding_when_touched_2,Mimosa pudica leaves folding when touched 2.ogv - Wikimedia Commons,video/mp4,21.1,Thigmonasty
vdcr_archive_b03_000027,https://archive.org/download/wikimedia-org-Mimosa_pudica_leaves_folding_when_touched_3/Mimosa_pudica_leaves_folding_when_touched_3.mp4,https://archive.org/details/wikimedia-org-Mimosa_pudica_leaves_folding_when_touched_3,Mimosa pudica leaves folding when touched 3.ogv - Wikimedia Commons,video/mp4,12.9,Thigmonasty
vdcr_archive_b02_000004,https://archive.org/download/youtube-4AxiXS9n0dw/4AxiXS9n0dw.mp4,https://archive.org/details/youtube-4AxiXS9n0dw,Liquid Ballistic Armor? | Thehacksmith Collab,video/mp4,590.9,Shear Thickening
vdcr_archive_only_000022,https://archive.org/download/youtube-cZfpWD00Hoc/cZfpWD00Hoc.mp4,https://archive.org/details/youtube-cZfpWD00Hoc,How does the Gyro-X Car work?,video/mp4,359.1,Gyroscopic Precession
vdcr_archive_only_000023,https://archive.org/download/gyroscopic-precession-hq/Gyroscopic_precession_HQ.ia.mp4,https://archive.org/details/gyroscopic-precession-hq,Gyroscopic Precession and Gyroscopes,video/mp4,675.7,Gyroscopic Precession
vdcr_archive_b02_000003,https://archive.org/download/youtube-U-uGKxTLZ94/Logicedges-The_Butterfly_Effect_and_Lorenz_Attractor_fractal_drawn_from_convection_in_a_thin_layer_of_water-U-uGKxTLZ94.mp4,https://archive.org/details/youtube-U-uGKxTLZ94,The Butterfly Effect and Lorenz Attractor fractal drawn from convection in a thin layer of water,video/mp4,290.0,Rayleigh-Benard Convection
vdcr_archive_b02_000032,https://archive.org/download/MysteryOctopusIntelligence/CmMysteryOctopusIntelligence_512kb.mp4,https://archive.org/details/MysteryOctopusIntelligence,Mystery Octopus Intelligence ,video/mp4,123.8,Jet Propulsion Swimming
vdcr_archive_b03_000038,https://archive.org/download/af-amphibian-embryo-frog-toad-and-salamander/AF_AmphibianEmbryoFrogToadAndSalamander.mp4,https://archive.org/details/af-amphibian-embryo-frog-toad-and-salamander,"Amphibian Embryo: Frog, Toad And Salamander",video/mp4,950.0,Gastrulation
vdcr_archive_b03_000020,https://archive.org/download/6218_Reactions_in_Plants_and_Animals_01_48_00_11/6218_Reactions_in_Plants_and_Animals_01_48_00_11.ogv,https://archive.org/details/6218_Reactions_in_Plants_and_Animals_01_48_00_11,Reactions in Plants and Animals,video/ogg,603.1,Phototropism
vdcr_archive_b03_000060,https://archive.org/download/tidesoftheocean/tidesoftheocean.ogv,https://archive.org/details/tidesoftheocean,"Business, government and public policy",video/ogg,957.8,Tidal Bore
vdcr_archive_b05_000001,https://archive.org/download/ClaudiusMaximus_-_rdex_2010-05-22/ClaudiusMaximus_-_rdex_2010-05-22_512kb.mp4,https://archive.org/details/ClaudiusMaximus_-_rdex_2010-05-22,rdex 2010-05-22,video/mp4,900.0,Reaction-Diffusion Wave
