id,page_url,title,direct_url,mime,duration_sec,license_short_name,usage_terms
vdcr_archive_earth_000001,https://archive.org/details/the-last-day-of-pompeii,The Last Day of Pompeii,https://archive.org/download/the-last-day-of-pompeii/The%20Last%20Day%20of%20Pompeii.mp4,video/mp4,6299.4,,
vdcr_archive_earth_000002,https://archive.org/details/youtube-2LsqbgtgeHY,The Krakatoa Volcanic Eruption of 1883 - The Loudest Sound Ever Heard?,https://archive.org/download/youtube-2LsqbgtgeHY/2LsqbgtgeHY.mp4,video/mp4,933.3,,
vdcr_archive_earth_000003,https://archive.org/details/TheVistaGroup-TheHiddenDangersofMountRainier1996,1996 VHS • The Hidden Dangers of Mount Rainier 60 FPS,https://archive.org/download/TheVistaGroup-TheHiddenDangersofMountRainier1996/The%20Hidden%20Dangers%20of%20Mount%20Rainier%20VHS%20%E2%80%A2%2060%20FPS%201996.ia.mp4,video/mp4,1769.0,,
vdcr_archive_earth_000004,https://archive.org/details/LaChambreArdente,La Chambre Ardente,https://archive.org/download/LaChambreArdente/La%20chambre%20ardente.ogv,video/ogg,6396.5,,
vdcr_archive_earth_000005,https://archive.org/details/fogo.-ardente.-s-01-e-01.-mp-4.-dub.-baixar-series-mp-4.-top,Fogo. Ardente. S 01 E 01. MP 4. DUB. Baixar Series MP 4. Top,https://archive.org/download/fogo.-ardente.-s-01-e-01.-mp-4.-dub.-baixar-series-mp-4.-top/Fogo.Ardente.S01E04.MP4.DUB.BaixarSeriesMP4.Top.mp4,video/mp4,2032.4,,
vdcr_archive_earth_000006,https://archive.org/details/TheVistaGroup-HawaiiIslandsoftheFireGoddess1988,1988 VHS • Hawaii Islands of the Fire Goddess 60 FPS,https://archive.org/download/TheVistaGroup-HawaiiIslandsoftheFireGoddess1988/Hawaii%20Islands%20of%20the%20Fire%20Goddess%201988.mp4,video/mp4,3530.1,,
vdcr_archive_earth_000007,https://archive.org/details/9pgrQNjuBRvk6a1bL003HT44F4M7SN,"DISCOVERY ‘67: HAWAII, LAND OF VOLCANOES” NATIONAL PARK, KILAUEA ERUPTIONS XD3092",https://archive.org/download/9pgrQNjuBRvk6a1bL003HT44F4M7SN/tmpx_z3xzu0.mp4,video/mp4,1332.8,,
vdcr_archive_earth_000008,https://archive.org/details/erputive-phenomea,Eruptive Phenomena of Kilauea's East Rift Zone,https://archive.org/download/erputive-phenomea/erputive-phenomea.mp4,video/mp4,2596.1,,
vdcr_archive_earth_000009,https://archive.org/details/Zontar_Thing_From_Venus,Zontar the Thing From Venus,https://archive.org/download/Zontar_Thing_From_Venus/Zontar_the_Thing_From_Venus.ogv,video/ogg,4818.0,http://creativecommons.org/licenses/publicdomain/,
vdcr_archive_earth_000010,https://archive.org/details/volcanoes,Volcanoes,https://archive.org/download/volcanoes/volcanoes.ogv,video/ogg,1007.4,http://creativecommons.org/licenses/publicdomain/,
vdcr_archive_earth_000011,https://archive.org/details/thelivingplanetaportraitoftheearth12newworlds,The Living Planet a Portrait of the Earth 12 New Worlds,https://archive.org/download/thelivingplanetaportraitoftheearth12newworlds/thelivingplanetaportraitoftheearth12newworldsreel2.ogv,video/ogg,1721.8,,The Living Planet a Portrait of the Earth 12 New Worlds
vdcr_archive_earth_000012,https://archive.org/details/frozen-planet-ii,Frozen Planet II ★ Sequel to BBC Earth Frozen Planet - with MKV,https://archive.org/download/frozen-planet-ii/06%20Our%20Frozen%20Planet.mp4,video/mp4,3629.4,,"<a href=""https://archive.org/download/metadata-repo/Fair%20Use%20Notice.pdf"" rel=""ugc nofollow"">Fair Use Notice</a>"
vdcr_archive_earth_000013,https://archive.org/details/SVS-3619,A Tour of the Cryosphere 2009,https://archive.org/download/SVS-3619/hdtour720p60_041a_512kb.mp4,video/mp4,312.0,,
vdcr_archive_earth_000014,https://archive.org/details/vimeo-303438254,GREENLAND - THE MELTING ISLAND 4K,https://archive.org/download/vimeo-303438254/GREENLAND_-_THE_MELTING_ISLAND_4K-303438254.mp4,video/mp4,732.0,,
vdcr_archive_earth_000015,https://archive.org/details/deadly-mantis-1957-colorized,The Deadly Mantis 1957 colorized (Craig Stevens),https://archive.org/download/deadly-mantis-1957-colorized/Deadly%20Mantis%201957%20colorized.mp4,video/mp4,4716.3,,
vdcr_archive_earth_000016,https://archive.org/details/FranklynMonkPodcast38,The Lesser Pump,https://archive.org/download/FranklynMonkPodcast38/LesserPump.unprocessed_wav.ogg,video/ogg,1000.0,http://creativecommons.org/licenses/by-nc-sa/3.0/,
vdcr_archive_earth_000017,https://archive.org/details/more_dangerous_then_dynamite,More Dangerous Than Dynamite,https://archive.org/download/more_dangerous_then_dynamite/more_dangerous_then_dynamite.ogv,video/ogg,589.2,http://creativecommons.org/licenses/publicdomain/,
vdcr_archive_earth_000018,https://archive.org/details/Queen_For_A_Day,1960 episode of 'Queen for a Day',https://archive.org/download/Queen_For_A_Day/Queen-For-A-Day.ogv,video/ogg,1726.0,http://creativecommons.org/licenses/publicdomain/,
vdcr_archive_earth_000019,https://archive.org/details/Thief3_100p_13115,Thief: Deadly Shadows (PC) - 1:31:15 - Daniel Burns,https://archive.org/download/Thief3_100p_13115/Thief3_100p_13115_LQ_part05.ogv,video/ogg,26.6,,
vdcr_archive_earth_000020,https://archive.org/details/Mars_Dune_Avalanche_,Mars_Dune_Avalanche_,https://archive.org/download/Mars_Dune_Avalanche_/Mars_Dune_Avalanche_.ogv,video/ogg,157.3,http://creativecommons.org/publicdomain/zero/1.0/,
vdcr_archive_earth_000021,https://archive.org/details/youtube-78-YFytlyEU,"Danger chez les jeunes, #ObamaGate, contaminé en parlant... 5 actus de la semaine",https://archive.org/download/youtube-78-YFytlyEU/78-YFytlyEU.mp4,video/mp4,454.5,,
vdcr_archive_earth_000022,https://archive.org/details/Norm_Macdonald_Live,Norm Macdonald Live,https://archive.org/download/Norm_Macdonald_Live/Norm%20Macdonald%20Live%20-%20S02E06%20-%20Norm%20Macdonald%20with%20Guest%20Todd%20Glass%20(Pt%201).ogv,video/ogg,2633.2,,
vdcr_archive_earth_000023,https://archive.org/details/DuckandC1951,Duck and Cover,https://archive.org/download/DuckandC1951/DuckandC1951_512kb.mp4,video/mp4,555.4,http://creativecommons.org/licenses/publicdomain/,
vdcr_archive_earth_000024,https://archive.org/details/Quake4_20954,Quake 4 (PC) - Private skill 2:09:54 - Peter Knutsson,https://archive.org/download/Quake4_20954/Quake4_20954_part15.ogv,video/ogg,101.6,,
vdcr_archive_earth_000025,https://archive.org/details/JournalOfRegardless,Journal of regardless,https://archive.org/download/JournalOfRegardless/6.FoundLand.ogg,video/ogg,69.8,http://creativecommons.org/licenses/by/3.0/us/,
