id,page_url,title,direct_url,mime,duration_sec,license_short_name,usage_terms
vdcr_archive_b07_000001,https://archive.org/details/schoolhouse-rock-30th,Schoolhouse Rock ★ Emmy Award Winning TV Series - with Subtitles and MKV,https://archive.org/download/schoolhouse-rock-30th/73%20Nike%20Commercial%20Three%20is%20a%20Magic%20Number.mp4,video/mp4,33.2,,"<a href=""https://archive.org/download/metadata-repo/Fair%20Use%20Notice.pdf"" rel=""ugc nofollow"">Fair Use Notice</a>"
vdcr_archive_b07_000002,https://archive.org/details/sm4c-urlfest,SM4C SH1TTTYYY MUSIC4444 CHARITY URLFEST (PRESENTED BY GOD?AWFUL & EXPERIMENT 9),https://archive.org/download/sm4c-urlfest/the%20entire%20mf%20show.mp4,video/mp4,27533.7,,
vdcr_archive_b07_000003,https://archive.org/details/Flickr-2558636981,supercell,https://archive.org/download/Flickr-2558636981/supercell-2558636981.ogv,video/ogg,30.0,https://creativecommons.org/licenses/by-nd/2.0/,
vdcr_archive_b07_000004,https://archive.org/details/ZeldaMajorasMask_100p_655,Zelda: Majora's Mask (N64) - 100% 6:55 - Peter Branam-Lefkove,https://archive.org/download/ZeldaMajorasMask_100p_655/ZeldaMajorasMask_100p_655_LQ_part13.ogv,video/ogg,267.9,,
vdcr_archive_b07_000005,https://archive.org/details/FranklynMonkPodcast61Video,Avulsion (video),https://archive.org/download/FranklynMonkPodcast61Video/ConstituentVids%2Fabby_slide.mp4,video/mp4,1000.1,https://creativecommons.org/licenses/by-nc-sa/4.0/,
vdcr_archive_b07_000006,https://archive.org/details/corcl_000121,"Once a Laguna Lifeguard, Always a Laguna Lifeguard",https://archive.org/download/corcl_000121/corcl_000121_access.HD.mp4,video/mp4,258.1,,"Creative Commons Attribution 4.0 International license: https://creativecommons.org/licenses/by/4.0/ 
This item may be used for non-commercial and educational purposes.
The opinions expressed in OC Stories do not necessarily reflect the position or policies of OC Public Libraries or its partners and no official endorsement should be inferred.
Images are courtesy of story tellers and affiliate organizations or used in accordance with fair use and Creative Commons.
Music and sound in accordance with fair use and Creative Commons [ http://creativecommons.org ]."
vdcr_archive_b07_000007,https://archive.org/details/papua-new-guinea-tidal-wave-tragedy-situation-update-360p,PAPUA NEW GUINEA TIDAL WAVE TRAGEDY SITUATION UPDATE(,https://archive.org/download/papua-new-guinea-tidal-wave-tragedy-situation-update-360p/PAPUA_NEW_GUINEA__TIDAL_WAVE_TRAGEDY_SITUATION_UPDATE(360p).mp4,video/mp4,193.0,http://creativecommons.org/publicdomain/mark/1.0/,
vdcr_archive_b07_000008,https://archive.org/details/reflectionandrefraction,"Reflection, refraction, dispersion",https://archive.org/download/reflectionandrefraction/reflectionandrefraction.ogv,video/ogg,1032.1,,
vdcr_archive_b07_000009,https://archive.org/details/UC_Berkeley_FOM_2014_05_02_Walter_Freeman,"Walter Freeman: The evolution and neurodynamics of the action perception cycle - When, where and how consciousness and quantum field theory enter",https://archive.org/download/UC_Berkeley_FOM_2014_05_02_Walter_Freeman/UC_Berkeley_FOM_2014_05_02_Walter_Freeman.ogv,video/ogg,5500.4,,
vdcr_archive_b07_000010,https://archive.org/details/thegrandcanyonchronicles,The Grand Canyon chronicles,https://archive.org/download/thegrandcanyonchronicles/thegrandcanyonchroniclesreel1.ogv,video/ogg,1409.2,,
vdcr_archive_b07_000011,https://archive.org/details/kidchameleon-timeattackv2-truncated,"Kid Chameleon (Genesis) - 14:18 (Any version, emulated run) - A. Berglin (aka. Truncated)",https://archive.org/download/kidchameleon-timeattackv2-truncated/kidchameleon-timeattackv2-truncated.ogv,video/ogg,958.8,,
vdcr_archive_b07_000012,https://archive.org/details/sociobiologythehumananimalreel1,Sociobiology: The Human Animal ,https://archive.org/download/sociobiologythehumananimalreel1/sociobiologythehumananimalreel1.ogv,video/ogg,1647.0,,
vdcr_archive_b07_000013,https://archive.org/details/PC_Longplay_373_StarCraft_2_Wings_of_Liberty,PC Longplay 373 StarCraft 2 Wings of Liberty,https://archive.org/download/PC_Longplay_373_StarCraft_2_Wings_of_Liberty/PC_Longplay_373_StarCraft_2_Wings_of_Liberty_Part_3_of_5.ogv,video/ogg,9143.6,,
vdcr_archive_b07_000014,https://archive.org/details/dahboo77,DAHBOO77,https://archive.org/download/dahboo77/20170712-MANHUNT%20IN%20ALABAMA%20FOR%20MAN%20THAT%20KILLED%203%20IN%20MOBILE%20HOME%20PARK.ia.mp4,video/mp4,60.0,,
vdcr_archive_b07_000015,https://archive.org/details/PBS-TERRA-Weathered,PBS TERRA: Weathered,https://archive.org/download/PBS-TERRA-Weathered/7.09%20Is%20This%20the%20ABSOLUTE%20Worst%20CaseTipping%20Point%3F.ia.mp4,video/mp4,650.7,,
