metric,value
capability_label:dynamic_mechanism_concept,202
capability_label:ecological_behavior_strategy,3
capability_label:experimental_dynamic_pattern,11
capability_label:specialized_dynamic_action_concept,29
concept_count,245
concept_type:专有动态动作概念,29
concept_type:实验动态图样,11
concept_type:生态行为策略,3
concept_type:自然动态机制,202
domain:biology_living_systems,82
domain:chemistry_materials_change,49
domain:earth_environmental_systems,56
domain:physics_physical_systems,58
priority:A,66
priority:B,156
priority:C,23
query_count,1103
