candidate_id,source_url,source_platform,license_or_usage_note,raw_duration_sec,suggested_start_sec,suggested_end_sec,initial_category,candidate_knowledge_point,domain_seed,subdomain_seed,why_dynamic,collector_notes
vdcr_archive_b04_000001,https://archive.org/details/the-mummy-collection-1959-1971,internet_archive,archive_license_verify_on_page,4813.8,0.0,30.0,physics_physical_systems,Capillary Rise / Wicking,physics_physical_systems,physics_family_02,"Candidate must show the temporal sequence that instantiates Capillary Rise / Wicking, not merely an object, scene, or static result.","archive_search_collected; search_term=Wicking video; archive_identifier=the-mummy-collection-1959-1971; archive_file=02 - The Curse of the Mummys Tomb 1964.mp4; title=The Mummy Collection - 1959 - 1971; description=Collection of the 4 Hammer Mummy movies The Mummy is a 1959 British horror film , directed by Terence Fisher and starring Peter Cushing and Christopher Lee . It was written by Jimmy Sangster and produced by Michael Carreras and Anthony N...; vdcr_direct_answer; concept_zh=毛细上升/芯吸; concept_type=自然动态机制; priority=B"
vdcr_archive_b04_000002,https://archive.org/details/LaunchpadTheLighterSide,internet_archive,archive_license_verify_on_page,447.4,0.0,30.0,physics_physical_systems,Capillary Rise / Wicking,physics_physical_systems,physics_family_02,"Candidate must show the temporal sequence that instantiates Capillary Rise / Wicking, not merely an object, scene, or static result.","archive_search_collected; search_term=Wicking video; archive_identifier=LaunchpadTheLighterSide; archive_file=NASA_Launchpad_Lighter_Side_cropped_medium.ogv; title=Launchpad: The Lighter Side; description=Find out how you can get involved in NASA's Teaching From Space Program to learn about experiments conducted on board the International Space Station, or ISS. Learn about arachnids in space or how to use a straw on the ISS. Find out abou...; vdcr_direct_answer; concept_zh=毛细上升/芯吸; concept_type=自然动态机制; priority=B"
vdcr_archive_b04_000003,https://archive.org/details/sinema-trailer_demons-of-the-mind,internet_archive,archive_license_verify_on_page,168.0,0.0,30.0,physics_physical_systems,Capillary Rise / Wicking,physics_physical_systems,physics_family_02,"Candidate must show the temporal sequence that instantiates Capillary Rise / Wicking, not merely an object, scene, or static result.","archive_search_collected; search_term=Wicking video; archive_identifier=sinema-trailer_demons-of-the-mind; archive_file=Demons Of The Mind _ Original Theatrical Trailer (1972) (480p_25fps_H264-128kbit_AAC).ogv; title=Demons of the Mind [1974] - Trailer; description=A physician discovers that two children are being kept virtually imprisoned in their house by their father. He investigates, and discovers a web of sex, incest and satanic possession.; vdcr_direct_answer; concept_zh=毛细上升/芯吸; concept_type=自然动态机制; priority=B"
vdcr_archive_b04_000004,https://archive.org/details/sinema-trailer_blood-from-the-mummys-tomb,internet_archive,archive_license_verify_on_page,153.4,0.0,30.0,physics_physical_systems,Capillary Rise / Wicking,physics_physical_systems,physics_family_02,"Candidate must show the temporal sequence that instantiates Capillary Rise / Wicking, not merely an object, scene, or static result.","archive_search_collected; search_term=Wicking video; archive_identifier=sinema-trailer_blood-from-the-mummys-tomb; archive_file=Blood from the Mummy's Tomb - Trailer (480p_30fps_H264-128kbit_AAC).ogv; title=Blood from the Mummy's Tomb [1972] - Trailer; description=Two Egyptologists, Professor Fuchs and Corbeck, are instrumental in unleashing unmitigated horror by bringing back to England the mummified body of Tara, the Egyptian Queen of Darkness. Fuchs’s daughter becomes involved in a series of ma...; vdcr_direct_answer; concept_zh=毛细上升/芯吸; concept_type=自然动态机制; priority=B"
vdcr_archive_b04_000005,https://archive.org/details/3-c-10137-b-09-a-59-f-11478-ae-6-d-55-e-6-aae-250-c-54-fd-80,internet_archive,archive_license_verify_on_page,1667.6,0.0,30.0,physics_physical_systems,Capillary Rise / Wicking,physics_physical_systems,physics_family_02,"Candidate must show the temporal sequence that instantiates Capillary Rise / Wicking, not merely an object, scene, or static result.","archive_search_collected; search_term=Wicking video; archive_identifier=3-c-10137-b-09-a-59-f-11478-ae-6-d-55-e-6-aae-250-c-54-fd-80; archive_file=TTC - The Nature of Matter/TGC_1227_Lect02_NatureofMatter.mp4; title=Nature of Matters; description=Matter is the raw material of the universe. Stars, planets, mountains, oceans, and atmospheres are all made of matter. So are plants and animals—including humans and every material thing we have ever produced. Amazingly, this immense var...; vdcr_direct_answer; concept_zh=毛细上升/芯吸; concept_type=自然动态机制; priority=B"
vdcr_archive_b04_000006,https://archive.org/details/Sora_and_Signal_Processing_-_The_Quest_Story_Line,internet_archive,archive_license_verify_on_page,5.1,0.0,5.1,physics_physical_systems,Coherent Wave Interference,physics_physical_systems,physics_family_03,"Candidate must show the temporal sequence that instantiates Coherent Wave Interference, not merely an object, scene, or static result.","archive_search_collected; search_term=Coherent Wave Interference; archive_identifier=Sora_and_Signal_Processing_-_The_Quest_Story_Line; archive_file=Sora_and_Signal_Processing_-_The_Quest_Story_Line.mp4; title=Sora and Signal Processing - The Quest Story Line; description=The Quest for the Perfect Signal In the distant Resonance Realm, where information traveled through vast networks of frequencies and waveforms, a growing crisis threatened the world. The Master Signal, the one true harmonic frequency tha...; vdcr_direct_answer; concept_zh=波的相干干涉; concept_type=自然动态机制; priority=B"
vdcr_archive_b04_000007,https://archive.org/details/parametric-excitation-of-electric-oscillations,internet_archive,archive_license_verify_on_page,1199.5,0.0,30.0,physics_physical_systems,Parametric Resonance,physics_physical_systems,physics_family_03,"Candidate must show the temporal sequence that instantiates Parametric Resonance, not merely an object, scene, or static result.",archive_search_collected; search_term=Parametric Resonance; archive_identifier=parametric-excitation-of-electric-oscillations; archive_file=Parametric Excitation of Electric Oscillations.ia.mp4; title=Parametric Excitation Of Electric Oscillations; description=(Original video description by Jacker's Ladder on Youtube) #SoME2 #electricity #ericdollard This video gives an introduction into parametric resonance in a series resonant electric circuit. This is my first attempt at making a lecture st...; vdcr_direct_answer; concept_zh=参数共振; concept_type=自然动态机制; priority=B
vdcr_archive_b04_000008,https://archive.org/details/AssemblyLinesPodcast151,internet_archive,http://creativecommons.org/licenses/by-nc-sa/3.0/,1002.6,0.0,30.0,physics_physical_systems,Damped Oscillation,physics_physical_systems,physics_family_03,"Candidate must show the temporal sequence that instantiates Damped Oscillation, not merely an object, scene, or static result.","archive_search_collected; search_term=Damped Oscillation; archive_identifier=AssemblyLinesPodcast151; archive_file=AssemblyLinesPodcast151.mp4; title=Assembly Lines #151: I Fixed the Sound in my Apple II Emulator; description=Thanks to help from Kris Kennaway and Kent Dickey, the Apple II sound is now fully working in my Apple II emulator. Emulator: https://apple2ts.com Github: https://github.com/ct6502/apple2ts My merch: https://ct6502.org/shop/ Please suppo...; vdcr_direct_answer; concept_zh=阻尼振荡; concept_type=自然动态机制; priority=B"
vdcr_archive_b04_000009,https://archive.org/details/MagnetOscillatingNearACoilWillItBeADamptedOscillation2Answer,internet_archive,archive_license_verify_on_page,93.1,0.0,30.0,physics_physical_systems,Damped Oscillation,physics_physical_systems,physics_family_03,"Candidate must show the temporal sequence that instantiates Damped Oscillation, not merely an object, scene, or static result.",archive_search_collected; search_term=Damped Oscillation; archive_identifier=MagnetOscillatingNearACoilWillItBeADamptedOscillation2Answer; archive_file=Magnet oscillating near a coil will it be a dampted Oscillation 1 Question.ogv; title=Magnet Oscillating Near A Coil Will It Be A Dampted Oscillation 2 Answer; description=Magnet oscillating near a coil will it be a damped Oscillation; vdcr_direct_answer; concept_zh=阻尼振荡; concept_type=自然动态机制; priority=B
vdcr_archive_b04_000010,https://archive.org/details/vimeo-415215812,internet_archive,archive_license_verify_on_page,1205.5,0.0,30.0,physics_physical_systems,Damped Oscillation,physics_physical_systems,physics_family_03,"Candidate must show the temporal sequence that instantiates Damped Oscillation, not merely an object, scene, or static result.","archive_search_collected; search_term=Damped Oscillation; archive_identifier=vimeo-415215812; archive_file=damped_oscillation-415215812.ia.mp4; title=damped oscillation; description=This is ""damped oscillation"" by Hochschule Mannheim on Vimeo, the home for high quality videos and the people who love them. Source: https://vimeo.com/415215812 Uploader: Hochschule Mannheim; vdcr_direct_answer; concept_zh=阻尼振荡; concept_type=自然动态机制; priority=B"
vdcr_archive_b04_000011,https://archive.org/details/whats-up-prof-walter-veith-martin-smith-amazing-discoveries-africa,internet_archive,https://creativecommons.org/licenses/by-nd/4.0/,1681.6,0.0,30.0,physics_physical_systems,Double Pendulum Chaos,physics_physical_systems,physics_family_03,"Candidate must show the temporal sequence that instantiates Double Pendulum Chaos, not merely an object, scene, or static result.","archive_search_collected; search_term=Double Pendulum Chaos; archive_identifier=whats-up-prof-walter-veith-martin-smith-amazing-discoveries-africa; archive_file=Whats_Up_Prof_1_America_Election_Campaign_Walter_Veith_Martin_Smith.mp4; title=What's Up Prof? (Walter Veith and Martin Smith) Series Episodes - Clash of Minds (formerly Amazing Discoveries Africa); description=What's Up Prof? (series of episodes by Walter Veith and Martin Smith ) - Clash of Minds (formerly Amazing Discoveries Africa) 1. America Election Campaign 2. Religious Freedom, Persecution, and the Coronavirus 3. Coronavirus, Noahide Law...; vdcr_direct_answer; concept_zh=双摆混沌; concept_type=自然动态机制; priority=B"
vdcr_archive_b04_000012,https://archive.org/details/trollop-rullez-the-day-you-killed-yourself,internet_archive,archive_license_verify_on_page,123.0,0.0,30.0,physics_physical_systems,Double Pendulum Chaos,physics_physical_systems,physics_family_03,"Candidate must show the temporal sequence that instantiates Double Pendulum Chaos, not merely an object, scene, or static result.","archive_search_collected; search_term=Double Pendulum Chaos; archive_identifier=trollop-rullez-the-day-you-killed-yourself; archive_file=TROLLOP RULLEZ, THE DAY YOU KILLED YOURSELF.ia.mp4; title=TROLLOP RULLEZ - THE DAY YOU KILLED YOURSELF; description=TROLLOP RULLEZ - THE DAY YOU KILLED YOURSELF. K IS FOR KARMA. THIS IS COMEDY. THIS IS MY ART. #glenfevbc #tiffany #grifters **ORIGINALLY POSTED FEBRUARY 8, 2025 ON ARCHIVE BY TROLLOP RULLEZ AS A COMMUNITY OPEN SOURCE VIDEO, FREE TO REUPL...; vdcr_direct_answer; concept_zh=双摆混沌; concept_type=自然动态机制; priority=B"
vdcr_archive_b04_000013,https://archive.org/details/theplanardoublependulum,internet_archive,archive_license_verify_on_page,1695.2,0.0,30.0,physics_physical_systems,Double Pendulum Chaos,physics_physical_systems,physics_family_03,"Candidate must show the temporal sequence that instantiates Double Pendulum Chaos, not merely an object, scene, or static result.","archive_search_collected; search_term=Double Pendulum Chaos; archive_identifier=theplanardoublependulum; archive_file=theplanardoublependulum.ogv; title=The Planar Double Pendulum; description=['Title from data sheet', 'A foreign film (West Germany)', 'College students and adults', 'Uses the example of the planar double pendulum to demonstrate the physical principles of chaotic behavior. Computer graphics show periodic, quasi-...; vdcr_direct_answer; concept_zh=双摆混沌; concept_type=自然动态机制; priority=B"
vdcr_archive_b04_000014,https://archive.org/details/DoublePendulum,internet_archive,http://creativecommons.org/licenses/by-sa/3.0/us/,144.6,0.0,30.0,physics_physical_systems,Double Pendulum Chaos,physics_physical_systems,physics_family_03,"Candidate must show the temporal sequence that instantiates Double Pendulum Chaos, not merely an object, scene, or static result.",archive_search_collected; search_term=Double Pendulum Chaos; archive_identifier=DoublePendulum; archive_file=DoublePendulum_512kb.mp4; title=Double Pendulum; description=Demonstrates cyclical and chaotic behavior; vdcr_direct_answer; concept_zh=双摆混沌; concept_type=自然动态机制; priority=B
vdcr_archive_b04_000015,https://archive.org/details/chaos_20250331,internet_archive,https://creativecommons.org/licenses/by-nc-nd/4.0/,234.3,0.0,30.0,physics_physical_systems,Double Pendulum Chaos,physics_physical_systems,physics_family_03,"Candidate must show the temporal sequence that instantiates Double Pendulum Chaos, not merely an object, scene, or static result.",archive_search_collected; search_term=Double Pendulum Chaos; archive_identifier=chaos_20250331; archive_file=Chaos.ia.mp4; title=Beauty from Chaos; description=What can the physics of a double pendulum teach us about life? I originally made this video for my YouTube channel at https://www.youtube.com/user/EugeneKhutoryansky I uploaded it to Internet Archive to preserve it for future generations...; vdcr_direct_answer; concept_zh=双摆混沌; concept_type=自然动态机制; priority=B
