candidate_id,source_url,source_platform,license_or_usage_note,raw_duration_sec,suggested_start_sec,suggested_end_sec,initial_category,candidate_knowledge_point,domain_seed,subdomain_seed,why_dynamic,collector_notes,source_csv
vdcr_archive_b07_000001,https://archive.org/details/schoolhouse-rock-30th,internet_archive,archive_license_verify_on_page,33.2,0.0,30.0,earth_environmental_systems,Wall Cloud Rotation,earth_environmental_systems,earth_family_01,"Candidate must show the temporal sequence that instantiates Wall Cloud Rotation, not merely an object, scene, or static result.",archive_search_collected; search_term=Wall Cloud Rotation; archive_identifier=schoolhouse-rock-30th; archive_file=73 Nike Commercial Three is a Magic Number.mp4; title=Schoolhouse Rock ★ Emmy Award Winning TV Series - with Subtitles and MKV; description=Schoolhouse Rock ★ Complete Emmy Award Winning TV Series - with Subtitles and Master MKV Videos. I wish to thank user Elijah Hechtman: for uploading ISO Images of three Schoolhouse Rock DVDs to his account. I only had to get one missing...; vdcr_direct_answer; concept_zh=墙云旋转; concept_type=自然动态机制; priority=B,data/vdcr_candidate_videos_archive_batch07_v1.csv
vdcr_archive_b07_000002,https://archive.org/details/sm4c-urlfest,internet_archive,archive_license_verify_on_page,27533.7,0.0,30.0,earth_environmental_systems,Wall Cloud Rotation,earth_environmental_systems,earth_family_01,"Candidate must show the temporal sequence that instantiates Wall Cloud Rotation, not merely an object, scene, or static result.",archive_search_collected; search_term=Wall Cloud Rotation; archive_identifier=sm4c-urlfest; archive_file=the entire mf show.mp4; title=SM4C SH1TTTYYY MUSIC4444 CHARITY URLFEST (PRESENTED BY GOD?AWFUL & EXPERIMENT 9); description=Timestamps 0:00:00 Mike Støol B2B トリニダード 0:19:00 arcade trauma 0:39:00 Cowtools 0:54:00 SabuNari 1:09:00 COZI 1:31:00 holidaygirl1224 1:51:00 Será Louise 2:14:00 Jay & Silent Bob Doomed Yaoi 2:24:00 lunaht_ 2:34:00 Girlfailure Talk 2:47:...; vdcr_direct_answer; concept_zh=墙云旋转; concept_type=自然动态机制; priority=B,data/vdcr_candidate_videos_archive_batch07_v1.csv
vdcr_archive_b07_000003,https://archive.org/details/Flickr-2558636981,internet_archive,https://creativecommons.org/licenses/by-nd/2.0/,30.0,0.0,30.0,earth_environmental_systems,Wall Cloud Rotation,earth_environmental_systems,earth_family_01,"Candidate must show the temporal sequence that instantiates Wall Cloud Rotation, not merely an object, scene, or static result.","archive_search_collected; search_term=Wall Cloud Rotation; archive_identifier=Flickr-2558636981; archive_file=supercell-2558636981.ogv; title=supercell; description=The first major Supercell of the day passes North, out of the region we are chasing in Source: https://www.flickr.com/photos/36326578@N00/2558636981 Uploader: Petey; vdcr_direct_answer; concept_zh=墙云旋转; concept_type=自然动态机制; priority=B",data/vdcr_candidate_videos_archive_batch07_v1.csv
vdcr_archive_b07_000004,https://archive.org/details/ZeldaMajorasMask_100p_655,internet_archive,archive_license_verify_on_page,267.9,0.0,30.0,earth_environmental_systems,Cutbank Erosion / Point-Bar Deposition,earth_environmental_systems,earth_family_02,"Candidate must show the temporal sequence that instantiates Cutbank Erosion / Point-Bar Deposition, not merely an object, scene, or static result.","archive_search_collected; search_term=Point-Bar Deposition; archive_identifier=ZeldaMajorasMask_100p_655; archive_file=ZeldaMajorasMask_100p_655_LQ_part13.ogv; title=Zelda: Majora's Mask (N64) - 100% 6:55 - Peter Branam-Lefkove; description=Speed run of The Legend of Zelda: Majora's Mask with 100% item collection in 29 segments, completed on August 5 2005. Available in 3 versions: low, normal and high quality. Author's comments: Special Thanks to: Radix - For somehow managi...; vdcr_direct_answer; concept_zh=凹岸侵蚀与凸岸沉积; concept_type=自然动态机制; priority=B",data/vdcr_candidate_videos_archive_batch07_v1.csv
vdcr_archive_b07_000005,https://archive.org/details/FranklynMonkPodcast61Video,internet_archive,https://creativecommons.org/licenses/by-nc-sa/4.0/,1000.1,0.0,30.0,earth_environmental_systems,River Avulsion,earth_environmental_systems,earth_family_02,"Candidate must show the temporal sequence that instantiates River Avulsion, not merely an object, scene, or static result.","archive_search_collected; search_term=River Avulsion; archive_identifier=FranklynMonkPodcast61Video; archive_file=ConstituentVids/abby_slide.mp4; title=Avulsion (video); description=TITLE: Avulsion DESCR: In sedimentary geology and fluvial geomorphology, avulsion is the rapid abandonment of a river channel and the formation of a new river channel. In real property law, avulsion refers to a sudden loss of land, which...; vdcr_direct_answer; concept_zh=河流决口改道; concept_type=自然动态机制; priority=B",data/vdcr_candidate_videos_archive_batch07_v1.csv
vdcr_archive_b07_000006,https://archive.org/details/corcl_000121,internet_archive,archive_license_verify_on_page,258.1,0.0,30.0,earth_environmental_systems,Rip Current Channel Formation,earth_environmental_systems,earth_family_02,"Candidate must show the temporal sequence that instantiates Rip Current Channel Formation, not merely an object, scene, or static result.","archive_search_collected; search_term=Rip Current Channel Formation; archive_identifier=corcl_000121; archive_file=corcl_000121_access.HD.mp4; title=Once a Laguna Lifeguard, Always a Laguna Lifeguard; description=See this link for the most complete and recent information on this record: https://repository.californiarevealed.org/node/375122 . Author Craig Lockwood and Photographer Mitch Ridder discuss their book, ""Lifeguarding Laguna"", and reflect...; vdcr_direct_answer; concept_zh=裂流出海通道形成; concept_type=自然动态机制; priority=B",data/vdcr_candidate_videos_archive_batch07_v1.csv
vdcr_archive_b07_000007,https://archive.org/details/papua-new-guinea-tidal-wave-tragedy-situation-update-360p,internet_archive,http://creativecommons.org/publicdomain/mark/1.0/,193.0,0.0,30.0,earth_environmental_systems,Longshore Drift,earth_environmental_systems,earth_family_02,"Candidate must show the temporal sequence that instantiates Longshore Drift, not merely an object, scene, or static result.","archive_search_collected; search_term=Longshore Drift; archive_identifier=papua-new-guinea-tidal-wave-tragedy-situation-update-360p; archive_file=PAPUA_NEW_GUINEA__TIDAL_WAVE_TRAGEDY_SITUATION_UPDATE(360p).mp4; title=PAPUA NEW GUINEA TIDAL WAVE TRAGEDY SITUATION UPDATE(; description=On the evening of 17 July 1998, on the Aitape coast of Papua New Guinea, a strongly felt earthquake was followed some 10-25 minutes later by a destructive tsunami. The tsunami comprised three waves, each estimated to be about 4 m high. T...; vdcr_direct_answer; concept_zh=沿岸漂移; concept_type=自然动态机制; priority=B",data/vdcr_candidate_videos_archive_batch07_v1.csv
vdcr_archive_b07_000008,https://archive.org/details/reflectionandrefraction,internet_archive,archive_license_verify_on_page,1032.1,0.0,30.0,earth_environmental_systems,Internal Wave Propagation,earth_environmental_systems,earth_family_02,"Candidate must show the temporal sequence that instantiates Internal Wave Propagation, not merely an object, scene, or static result.","archive_search_collected; search_term=Internal Wave Propagation; archive_identifier=reflectionandrefraction; archive_file=reflectionandrefraction.ogv; title=Reflection, refraction, dispersion; description=Circular and straight pulses are reflected from various shaped barriers. Periodic straight waves are refracted at various angles. Mention is made of Snell's law and spherical and chromatic aberrations. Various focusing effects and total...; vdcr_direct_answer; concept_zh=内波传播; concept_type=自然动态机制; priority=B",data/vdcr_candidate_videos_archive_batch07_v1.csv
vdcr_archive_b07_000009,https://archive.org/details/UC_Berkeley_FOM_2014_05_02_Walter_Freeman,internet_archive,archive_license_verify_on_page,5500.4,0.0,30.0,earth_environmental_systems,Internal Wave Propagation,earth_environmental_systems,earth_family_02,"Candidate must show the temporal sequence that instantiates Internal Wave Propagation, not merely an object, scene, or static result.","archive_search_collected; search_term=Internal Wave Propagation; archive_identifier=UC_Berkeley_FOM_2014_05_02_Walter_Freeman; archive_file=UC_Berkeley_FOM_2014_05_02_Walter_Freeman.ogv; title=Walter Freeman: The evolution and neurodynamics of the action perception cycle - When, where and how consciousness and quantum field theory enter; description=Talk by Professor Walter Freeman of the University of California at Berkeley. Given to the Foundations of Mind seminar at UC Berkeley (http://FoundationsOfMind.org), organized by Sean O Nuallain. Introduction to Walter’s work Over the pa...; vdcr_direct_answer; concept_zh=内波传播; concept_type=自然动态机制; priority=B",data/vdcr_candidate_videos_archive_batch07_v1.csv
vdcr_archive_b07_000010,https://archive.org/details/thegrandcanyonchronicles,internet_archive,archive_license_verify_on_page,1409.2,0.0,30.0,earth_environmental_systems,Aa Lava Front Advance,earth_environmental_systems,earth_family_04,"Candidate must show the temporal sequence that instantiates Aa Lava Front Advance, not merely an object, scene, or static result.","archive_search_collected; search_term=Aa Lava Front Advance; archive_identifier=thegrandcanyonchronicles; archive_file=thegrandcanyonchroniclesreel1.ogv; title=The Grand Canyon chronicles; description=Combining science with the creativity of talented filmmakers, this is perhaps the most colorful and fascinating film ever made on the Grand Canyon. Narrated by Orson Welles, it tells of the events and forces that shape the earth, of the...; vdcr_direct_answer; concept_zh=阿阿熔岩前缘推进; concept_type=自然动态机制; priority=B",data/vdcr_candidate_videos_archive_batch07_v1.csv
