candidate_id,source_url,source_platform,license_or_usage_note,raw_duration_sec,suggested_start_sec,suggested_end_sec,initial_category,candidate_knowledge_point,domain_seed,subdomain_seed,why_dynamic,collector_notes
vdcr_archive_only_000001,https://archive.org/details/SVS-97,internet_archive,archive_license_verify_on_page,1059.5,0.0,30.0,physics_physical_systems,Rayleigh-Taylor Instability,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Rayleigh-Taylor Instability, not merely an object, scene, or static result.","archive_search_collected; search_term=Rayleigh-Taylor Instability; archive_identifier=SVS-97; archive_file=a000097_512kb.mp4; title=Images of Earth and Space: The Role of Visualization in NASA Science; description=This compilation video contains visualizations of Earth and Space Sciences resulting from supercomputer models. The excerpted visualizations include: Ocean Planet, El Nino, Ozone 1991, Clouds, Changes in Glacier Bay, Alaska, Biosphere, L...; vdcr_direct_answer; concept_zh=瑞利-泰勒不稳定性; concept_type=自然动态机制; priority=A"
vdcr_archive_only_000002,https://archive.org/details/SVS-44,internet_archive,archive_license_verify_on_page,15.8,0.0,15.8,physics_physical_systems,Rayleigh-Taylor Instability,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Rayleigh-Taylor Instability, not merely an object, scene, or static result.",archive_search_collected; search_term=Rayleigh-Taylor Instability; archive_identifier=SVS-44; archive_file=a000044.ogv; title=Rayleigh-Taylor Instabilities in Supernovae Explosions: Oxygen Mass Fraction; description=The following calculation shows the development and evolution of Rayleigh-Taylor instabilities which develop behind the supernova blast wave on a time scale of a few hours. The initial model was chosen to provide a good representation fo...; vdcr_direct_answer; concept_zh=瑞利-泰勒不稳定性; concept_type=自然动态机制; priority=A
vdcr_archive_only_000003,https://archive.org/details/SVS-39,internet_archive,archive_license_verify_on_page,15.0,0.0,15.0,physics_physical_systems,Rayleigh-Taylor Instability,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Rayleigh-Taylor Instability, not merely an object, scene, or static result.",archive_search_collected; search_term=Rayleigh-Taylor Instability; archive_identifier=SVS-39; archive_file=a000039.ogv; title=Rayleigh-Taylor Instabilities in Supernovae Explosions: Density; description=The following calculation shows the development and evolution of Rayleigh-Taylor instabilities which develop behind the supernova blast wave on a time scale of a few hours. The initial model was chosen to provide a good representation fo...; vdcr_direct_answer; concept_zh=瑞利-泰勒不稳定性; concept_type=自然动态机制; priority=A
vdcr_archive_only_000004,https://archive.org/details/SVS-40,internet_archive,archive_license_verify_on_page,17.3,0.0,17.3,physics_physical_systems,Rayleigh-Taylor Instability,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Rayleigh-Taylor Instability, not merely an object, scene, or static result.",archive_search_collected; search_term=Rayleigh-Taylor Instability; archive_identifier=SVS-40; archive_file=a000040.ogv; title=Rayleigh-Taylor Instabilities in Supernovae Explosions: Hydrogen Mass Fraction; description=The following calculation shows the development and evolution of Rayleigh-Taylor instabilities which develop behind the supernova blast wave on a time scale of a few hours. The initial model was chosen to provide a good representation fo...; vdcr_direct_answer; concept_zh=瑞利-泰勒不稳定性; concept_type=自然动态机制; priority=A
vdcr_archive_only_000005,https://archive.org/details/SVS-42,internet_archive,archive_license_verify_on_page,15.2,0.0,15.2,physics_physical_systems,Rayleigh-Taylor Instability,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Rayleigh-Taylor Instability, not merely an object, scene, or static result.",archive_search_collected; search_term=Rayleigh-Taylor Instability; archive_identifier=SVS-42; archive_file=a000042.ogv; title=Rayleigh-Taylor Instabilities in Supernovae Explosions: Helium Mass Fraction; description=The following calculation shows the development and evolution of Rayleigh-Taylor instabilities which develop behind the supernova blast wave on a time scale of a few hours. The initial model was chosen to provide a good representation fo...; vdcr_direct_answer; concept_zh=瑞利-泰勒不稳定性; concept_type=自然动态机制; priority=A
vdcr_archive_only_000006,https://archive.org/details/sharware,internet_archive,archive_license_verify_on_page,16.6,0.0,16.6,physics_physical_systems,Hydraulic Jump,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Hydraulic Jump, not merely an object, scene, or static result.","archive_search_collected; search_term=Hydraulic Jump; archive_identifier=sharware; archive_file=chestnut/movies/post.mp4; title=chestnut-multimedia; description=This is some stuff from the 1990s. I'm not supposed to share it. On BBS, or use it to make money. But libraries for free are licensed/ok. GOOD THING! Or else I couldn't post this here, the repercussions would be far more than I could han...; vdcr_direct_answer; concept_zh=水跃; concept_type=自然动态机制; priority=A"
vdcr_archive_only_000007,https://archive.org/details/C64GVA246-RockNBolt,internet_archive,http://creativecommons.org/licenses/by-nc-nd/3.0/,871.9,0.0,30.0,physics_physical_systems,Hydraulic Jump,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Hydraulic Jump, not merely an object, scene, or static result.","archive_search_collected; search_term=Hydraulic Jump; archive_identifier=C64GVA246-RockNBolt; archive_file=C64GVA246-RockNBolt.ogv; title=C64-Gamevideoarchive 246 - Rock`n`Bolt; description=Video from the C64 game ""Rock`n`Bolt"" For the best video quality I advise the Cinepack version Manual [ 1.0 ] General Description You presented your bid. Dazzled the board. And clinched the big contract. Now comes panic time. It's an ama...; vdcr_direct_answer; concept_zh=水跃; concept_type=自然动态机制; priority=A"
vdcr_archive_only_000008,https://archive.org/details/the-ongoing-war-in-the-persian-gulf,internet_archive,archive_license_verify_on_page,4730.2,0.0,30.0,physics_physical_systems,Hydraulic Jump,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Hydraulic Jump, not merely an object, scene, or static result.","archive_search_collected; search_term=Hydraulic Jump; archive_identifier=the-ongoing-war-in-the-persian-gulf; archive_file=The Ongoing War in the Persian Gulf Why Does It Matter to the US.mp4; title=The Ongoing War In The Persian Gulf: Why Does It Matter To The US?; description=The Ongoing War in the Persian Gulf: Why Does it Matter to the US? (David Des Roches, August 28, 2019) Transcript available below About the speaker David Des Roches is Associate Professor at the Near East South Asia Center for Security S...; vdcr_direct_answer; concept_zh=水跃; concept_type=自然动态机制; priority=A"
vdcr_archive_only_000009,https://archive.org/details/23294WingsForTheGroundCommanderA,internet_archive,archive_license_verify_on_page,838.8,0.0,30.0,physics_physical_systems,Hydraulic Jump,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Hydraulic Jump, not merely an object, scene, or static result.","archive_search_collected; search_term=Hydraulic Jump; archive_identifier=23294WingsForTheGroundCommanderA; archive_file=23294 Wings For The Ground Commander_b_vwr.mp4; title="" WINGS FOR THE GROUND COMMANDER "" CH-46 SEA KNIGHT HELICOPTER IN VIETNAM WAR PROMO FILM 23294; description=This film ""Wings for the Ground Commander"" promotes the Boeing Vertol CH-46 Sea Knight, a medium-lift tandem-rotor transport helicopter powered by twin turboshaft engines. It was designed by Vertol and manufactured by Boeing Vertol follo...; vdcr_direct_answer; concept_zh=水跃; concept_type=自然动态机制; priority=A"
vdcr_archive_only_000010,https://archive.org/details/33024flightcharacteristicsofthea20vwr,internet_archive,https://creativecommons.org/licenses/by-nc-nd/4.0/,1164.7,0.0,30.0,physics_physical_systems,Hydraulic Jump,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Hydraulic Jump, not merely an object, scene, or static result.","archive_search_collected; search_term=Hydraulic Jump; archive_identifier=33024flightcharacteristicsofthea20vwr; archive_file=33024 Flight Characteristics Of The A 20_vwr.mp4; title=FLIGHT CHARACTERISTICS OF THE DOUGLAS A-20 HAVOC LIGHT BOMBER 33024; description=This “restricted” United States War Department Film, a black-and-white production of the First Motion Picture Unit Army Air Forces, dramatically introduces the viewer to “Flight Characteristics of the A-20.” (The Douglas A-20 Havoc was a...; vdcr_direct_answer; concept_zh=水跃; concept_type=自然动态机制; priority=A"
