candidate_id,source_url,source_platform,license_or_usage_note,raw_duration_sec,suggested_start_sec,suggested_end_sec,initial_category,candidate_knowledge_point,domain_seed,subdomain_seed,why_dynamic,collector_notes,source_csv
vdcr_archive_b02_000001,https://archive.org/details/17274industryonparadetimberskinnersvitovwr,internet_archive,https://creativecommons.org/licenses/by-nc-nd/4.0/,2407.8,0.0,30.0,physics_physical_systems,Worthington Jet,physics_physical_systems,physics_family_05,"Candidate must show the temporal sequence that instantiates Worthington Jet, not merely an object, scene, or static result.",archive_search_collected; search_term=Worthington Jet; archive_identifier=17274industryonparadetimberskinnersvitovwr; archive_file=17274 Industry On Parade Timber Skinners VITO_vwr.mp4; title=INDUSTRY ON PARADE DEBARKING TREES CORNING GLASS EASTMAN KODAK FACTORY ROCHESTER NY 17274; description=“Industry On Parade was a television series created by the National Association of Manufacturers (NAM) from 1950-1960. The series consisted of weekly episodes that highlighted American manufacturing and business. Hundreds of companies an...; vdcr_direct_answer; concept_zh=沃辛顿射流; concept_type=自然动态机制; priority=A,data/vdcr_candidate_videos_combined_v1.csv
vdcr_archive_b02_000002,https://archive.org/details/matrix-of-a-deepstate-alice-unfolds-mp4-162-gb,internet_archive,http://creativecommons.org/publicdomain/mark/1.0/,7.0,0.0,7.0,physics_physical_systems,Vortex Ring Formation,physics_physical_systems,physics_family_05,"Candidate must show the temporal sequence that instantiates Vortex Ring Formation, not merely an object, scene, or static result.",archive_search_collected; search_term=Vortex Ring Formation; archive_identifier=matrix-of-a-deepstate-alice-unfolds-mp4-162-gb; archive_file=FullSizeRender.mp4; title=Matrix of a Deepstate Alice Unfolds Goyimtv Warning Gray State; description=Matrix of a Deepstate Alice Unfolds Goyimtv Warning Gray State https://archive.org/details/matrix-of-a-deepstate-alice-unfolds-mp4-162-gb Matrix of a Deepstate Alice Unfolds MP4 video format 20-Jun-2020 10:27 1.6M 26 hrs long HD 2k 162.2...; vdcr_direct_answer; concept_zh=涡环形成; concept_type=自然动态机制; priority=A,data/vdcr_candidate_videos_combined_v1.csv
vdcr_archive_b02_000003,https://archive.org/details/youtube-U-uGKxTLZ94,internet_archive,archive_license_verify_on_page,290.0,0.0,30.0,physics_physical_systems,Rayleigh-Benard Convection,physics_physical_systems,physics_family_08,"Candidate must show the temporal sequence that instantiates Rayleigh-Benard Convection, not merely an object, scene, or static result.","archive_search_collected; search_term=Rayleigh-Benard Convection; archive_identifier=youtube-U-uGKxTLZ94; archive_file=Logicedges-The_Butterfly_Effect_and_Lorenz_Attractor_fractal_drawn_from_convection_in_a_thin_layer_of_water-U-uGKxTLZ94.mp4; title=The Butterfly Effect and Lorenz Attractor fractal drawn from convection in a thin layer of water; description=The Lorenz attractor describes the behaviour of a thin layer of air, water or other fluid gently heated from below. This animation here also shows the actual convection currents modelled in a layer of water 1 cm deep heated gently below...; vdcr_direct_answer; concept_zh=瑞利-贝纳德对流; concept_type=自然动态机制; priority=A",data/vdcr_candidate_videos_combined_v1.csv
vdcr_archive_b02_000004,https://archive.org/details/youtube-4AxiXS9n0dw,internet_archive,archive_license_verify_on_page,590.9,0.0,30.0,chemistry_materials_change,Shear Thickening,chemistry_materials_change,materials_family_01,"Candidate must show the temporal sequence that instantiates Shear Thickening, not merely an object, scene, or static result.",archive_search_collected; search_term=Shear Thickening; archive_identifier=youtube-4AxiXS9n0dw; archive_file=4AxiXS9n0dw.mp4; title=Liquid Ballistic Armor? | Thehacksmith Collab; description=Head on over to https://www.thebismuthsmith.com/giveaway-lucky-winner/ to enter the draw! ___________________________________________________________________________ Today we're testing if shear thickening fluid can make thehacksmith's j...; vdcr_direct_answer; concept_zh=剪切增稠; concept_type=自然动态机制; priority=A,data/vdcr_candidate_videos_combined_v1.csv
vdcr_archive_b02_000005,https://archive.org/details/vctv7bc-Valemount_LIVE_Episode_75_David_Bouchard_Ralph_Shaw_Valemount_Quilter_s_Guild_RBN10,internet_archive,archive_license_verify_on_page,1619.9,0.0,30.0,chemistry_materials_change,Iodine Clock Reaction,chemistry_materials_change,materials_family_03,"Candidate must show the temporal sequence that instantiates Iodine Clock Reaction, not merely an object, scene, or static result.","archive_search_collected; search_term=Iodine Clock Reaction; archive_identifier=vctv7bc-Valemount_LIVE_Episode_75_David_Bouchard_Ralph_Shaw_Valemount_Quilter_s_Guild_RBN10; archive_file=Valemount_LIVE_Episode_75_David_Bouchard_Ralph_Shaw_Valemount_Quilter_s_Guild_RBN10.ogv; title=Valemount LIVE Episode 75 David Bouchard - Ralph Shaw - Valemount Quilter's Guild - RBN10!; description=R: Good evening and welcome to Valemount Live. Next to me is the beautiful, amazing and modest Laura Keil, also known as the Goat girl. L: And on my left/right is Rrrradka Zitkova not from Poland, Russia or Slovenia but from the Czech Re...; vdcr_direct_answer; concept_zh=碘钟反应; concept_type=实验动态图样; priority=A",data/vdcr_candidate_videos_combined_v1.csv
vdcr_archive_b02_000006,https://archive.org/details/youtube-f9CVF4yLluY,internet_archive,archive_license_verify_on_page,300.0,0.0,30.0,chemistry_materials_change,Iodine Clock Reaction,chemistry_materials_change,materials_family_03,"Candidate must show the temporal sequence that instantiates Iodine Clock Reaction, not merely an object, scene, or static result.","archive_search_collected; search_term=Iodine Clock Reaction; archive_identifier=youtube-f9CVF4yLluY; archive_file=f9CVF4yLluY.mp4; title=FANTASTIC Iodine Clock Reaction; description=Hey, Everyone, This episode is more comedy than a demonstration but I also finally made a custom thumbnail that hopefully is working because right now its very slowly uploading. Does it always take so long? This video is also the first v...; vdcr_direct_answer; concept_zh=碘钟反应; concept_type=实验动态图样; priority=A",data/vdcr_candidate_videos_combined_v1.csv
vdcr_archive_b02_000007,https://archive.org/details/youtube-r7pijdgK670,internet_archive,archive_license_verify_on_page,238.1,0.0,30.0,chemistry_materials_change,Belousov-Zhabotinsky Reaction,chemistry_materials_change,materials_family_03,"Candidate must show the temporal sequence that instantiates Belousov-Zhabotinsky Reaction, not merely an object, scene, or static result.","archive_search_collected; search_term=Belousov-Zhabotinsky Reaction; archive_identifier=youtube-r7pijdgK670; archive_file=r7pijdgK670.webm; title=Belousov-Zhabotinsky reaction (Reactions only); description=This is over 4 hours of footage, which has been turned into a few short time-lapses. Patreon: patreon.com/randomexperimentsinternational Buy Stock Footage: https://sellfy.com/science-stock-footage; vdcr_direct_answer; concept_zh=别洛乌索夫-扎鲍廷斯基振荡反应; concept_type=实验动态图样; priority=A",data/vdcr_candidate_videos_combined_v1.csv
vdcr_archive_b02_000008,https://archive.org/details/youtube-kw9wF-GNjqs,internet_archive,archive_license_verify_on_page,589.5,0.0,30.0,chemistry_materials_change,Belousov-Zhabotinsky Reaction,chemistry_materials_change,materials_family_03,"Candidate must show the temporal sequence that instantiates Belousov-Zhabotinsky Reaction, not merely an object, scene, or static result.",archive_search_collected; search_term=Belousov-Zhabotinsky Reaction; archive_identifier=youtube-kw9wF-GNjqs; archive_file=kw9wF-GNjqs.webm; title=Everything about the Belousov Zhabotinsky reaction; description=In this video everything about the Belousov-Zhabotinsky reaction is shown and how it is done. In addition to that different effects are shown and how to achieve them. Patreon: https://www.patreon.com/randomexperimentsinternational Buy St...; vdcr_direct_answer; concept_zh=别洛乌索夫-扎鲍廷斯基振荡反应; concept_type=实验动态图样; priority=A,data/vdcr_candidate_videos_combined_v1.csv
vdcr_archive_b02_000009,https://archive.org/details/youtube-4rYX4ROqRlg,internet_archive,archive_license_verify_on_page,60.0,0.0,30.0,chemistry_materials_change,Belousov-Zhabotinsky Reaction,chemistry_materials_change,materials_family_03,"Candidate must show the temporal sequence that instantiates Belousov-Zhabotinsky Reaction, not merely an object, scene, or static result.",archive_search_collected; search_term=Belousov-Zhabotinsky Reaction; archive_identifier=youtube-4rYX4ROqRlg; archive_file=4rYX4ROqRlg.mp4; title=This is one of the weirdest reactions I've ever seen; description=Recreating one of the weirdest reactions: https://youtu.be/LL3kVtc-4vY ------------------------------------------------------------------------------- Today I'm going to be doing one of the weirdest chemical reactions I've ever seen. Nil...; vdcr_direct_answer; concept_zh=别洛乌索夫-扎鲍廷斯基振荡反应; concept_type=实验动态图样; priority=A,data/vdcr_candidate_videos_combined_v1.csv
vdcr_archive_b02_000010,https://archive.org/details/youtube-VjPQA8aXE_M,internet_archive,archive_license_verify_on_page,59.9,0.0,30.0,chemistry_materials_change,Briggs-Rauscher Reaction,chemistry_materials_change,materials_family_03,"Candidate must show the temporal sequence that instantiates Briggs-Rauscher Reaction, not merely an object, scene, or static result.","archive_search_collected; search_term=Briggs-Rauscher Reaction; archive_identifier=youtube-VjPQA8aXE_M; archive_file=VjPQA8aXE_M.mp4; title=This reaction is hard to find (Briggs-Rauscher); description=Today I've decided to do something, which I think kind of looks like magic. I'll need 3 solutions which I'll call A, B and C. Solution A contains sulfuric acid and potassium iodate. Solution B contains starch, malonic acid, and manganese...; vdcr_direct_answer; concept_zh=布里格斯-劳舍尔振荡反应; concept_type=实验动态图样; priority=A",data/vdcr_candidate_videos_combined_v1.csv
