search_term,initial_category,candidate_knowledge_point,error
pyroclastic flow,earth_environmental_systems,Pyroclastic Density Current,HTTP Error 403: Too Many Reqs (1862a4b)
nuée ardente,earth_environmental_systems,Pyroclastic Density Current,HTTP Error 403: Too Many Reqs (1862a4b)
pahoehoe lava flow,earth_environmental_systems,Pahoehoe Lava Roping,HTTP Error 403: Too Many Reqs (1862a4b)
aa lava flow,earth_environmental_systems,Aa Lava Front Advance,HTTP Error 403: Too Many Reqs (1862a4b)
lava dome collapse,earth_environmental_systems,Lava Dome Collapse,HTTP Error 403: Too Many Reqs (1862a4b)
eruption column collapse,earth_environmental_systems,Eruption Column Collapse,HTTP Error 403: Too Many Reqs (1862a4b)
glacier calving,earth_environmental_systems,Ice Cliff Calving,HTTP Error 403: Too Many Reqs (1862a4b)
iceberg calving,earth_environmental_systems,Ice Cliff Calving,HTTP Error 403: Too Many Reqs (1862a4b)
fire whirl,earth_environmental_systems,Fire Whirl,HTTP Error 403: Too Many Reqs (1862a4b)
crown fire,earth_environmental_systems,Crown Fire Transition,HTTP Error 403: Too Many Reqs (1862a4b)
barchan dune migration,earth_environmental_systems,Barchan Dune Migration,HTTP Error 403: Too Many Reqs (1862a4b)
