search_term,initial_category,candidate_knowledge_point,error
Saffman Taylor viscous fingering video,strict_gate_physics,Saffman-Taylor Viscous Fingering,HTTP Error 403: Too Many Reqs (1862a4b)
Rayleigh Benard convection video,strict_gate_physics,Rayleigh-Benard Convection,HTTP Error 403: Too Many Reqs (1862a4b)
boiling bubble nucleation departure video,strict_gate_physics,Boiling Bubble Nucleation and Departure,HTTP Error 403: Too Many Reqs (1862a4b)
reaction diffusion wave video,strict_gate_chemistry,Reaction-Diffusion Wave,HTTP Error 403: Too Many Reqs (1862a4b)
surfactant driven droplet motion video,strict_gate_chemistry,Surfactant-Driven Droplet Motion,HTTP Error 403: Too Many Reqs (1862a4b)
spherulitic growth time lapse video,strict_gate_chemistry,Spherulitic Growth,HTTP Error 403: Too Many Reqs (1862a4b)
chloroplast photorelocation movement video,strict_gate_biology,Chloroplast Photorelocation Movement,HTTP Error 403: Too Many Reqs (1862a4b)
bacterial swarming motility video,strict_gate_biology,Bacterial Swarming Motility,HTTP Error 403: Too Many Reqs (1862a4b)
slime mold aggregation video,strict_gate_biology,Slime Mold Aggregation,HTTP Error 403: Too Many Reqs (1862a4b)
rotational slump failure video,strict_gate_earth,Rotational Slump Failure,HTTP Error 403: Too Many Reqs (1862a4b)
gully headcut retreat video,strict_gate_earth,Gully Headcut Retreat,HTTP Error 403: Too Many Reqs (1862a4b)
dune slip face avalanche video,strict_gate_earth,Dune Slip-Face Avalanche,HTTP Error 403: Too Many Reqs (1862a4b)
