search_term,initial_category,candidate_knowledge_point,error
Vortex Shedding / Karman Vortex Street demonstration,physics_physical_systems,Vortex Shedding / Karman Vortex Street,HTTP Error 403: Too Many Reqs (1862a4b)
Vortex Shedding / Karman Vortex Street slow motion,physics_physical_systems,Vortex Shedding / Karman Vortex Street,HTTP Error 403: Too Many Reqs (1862a4b)
Vortex Shedding / Karman Vortex Street video,physics_physical_systems,Vortex Shedding / Karman Vortex Street,HTTP Error 403: Too Many Reqs (1862a4b)
周期涡脱落/卡门涡街 Vortex Shedding / Karman Vortex Street,physics_physical_systems,Vortex Shedding / Karman Vortex Street,HTTP Error 403: Too Many Reqs (1862a4b)
Cavitation Bubble Growth and Collapse demonstration,physics_physical_systems,Cavitation Bubble Growth and Collapse,HTTP Error 403: Too Many Reqs (1862a4b)
Cavitation Bubble Growth and Collapse slow motion,physics_physical_systems,Cavitation Bubble Growth and Collapse,HTTP Error 403: Too Many Reqs (1862a4b)
Cavitation Bubble Growth and Collapse video,physics_physical_systems,Cavitation Bubble Growth and Collapse,HTTP Error 403: Too Many Reqs (1862a4b)
空化泡生长与塌缩 Cavitation Bubble Growth and Collapse,physics_physical_systems,Cavitation Bubble Growth and Collapse,HTTP Error 403: Too Many Reqs (1862a4b)
Kelvin-Helmholtz Instability demonstration,physics_physical_systems,Kelvin-Helmholtz Instability,HTTP Error 403: Too Many Reqs (1862a4b)
Kelvin-Helmholtz Instability slow motion,physics_physical_systems,Kelvin-Helmholtz Instability,HTTP Error 403: Too Many Reqs (1862a4b)
Kelvin-Helmholtz Instability video,physics_physical_systems,Kelvin-Helmholtz Instability,HTTP Error 403: Too Many Reqs (1862a4b)
开尔文-亥姆霍兹不稳定性 Kelvin-Helmholtz Instability,physics_physical_systems,Kelvin-Helmholtz Instability,HTTP Error 403: Too Many Reqs (1862a4b)
Rayleigh-Taylor Instability demonstration,physics_physical_systems,Rayleigh-Taylor Instability,HTTP Error 403: Too Many Reqs (1862a4b)
Rayleigh-Taylor Instability slow motion,physics_physical_systems,Rayleigh-Taylor Instability,HTTP Error 403: Too Many Reqs (1862a4b)
Rayleigh-Taylor Instability video,physics_physical_systems,Rayleigh-Taylor Instability,HTTP Error 403: Too Many Reqs (1862a4b)
瑞利-泰勒不稳定性 Rayleigh-Taylor Instability,physics_physical_systems,Rayleigh-Taylor Instability,HTTP Error 403: Too Many Reqs (1862a4b)
Hydraulic Jump demonstration,physics_physical_systems,Hydraulic Jump,HTTP Error 403: Too Many Reqs (1862a4b)
Hydraulic Jump slow motion,physics_physical_systems,Hydraulic Jump,HTTP Error 403: Too Many Reqs (1862a4b)
Hydraulic Jump video,physics_physical_systems,Hydraulic Jump,HTTP Error 403: Too Many Reqs (1862a4b)
水跃 Hydraulic Jump,physics_physical_systems,Hydraulic Jump,HTTP Error 403: Too Many Reqs (1862a4b)
Rayleigh-Plateau Breakup demonstration,physics_physical_systems,Rayleigh-Plateau Breakup,HTTP Error 403: Too Many Reqs (1862a4b)
Rayleigh-Plateau Breakup slow motion,physics_physical_systems,Rayleigh-Plateau Breakup,HTTP Error 403: Too Many Reqs (1862a4b)
Rayleigh-Plateau Breakup video,physics_physical_systems,Rayleigh-Plateau Breakup,HTTP Error 403: Too Many Reqs (1862a4b)
瑞利-普拉托断裂 Rayleigh-Plateau Breakup,physics_physical_systems,Rayleigh-Plateau Breakup,HTTP Error 403: Too Many Reqs (1862a4b)
Liquid Bridge Pinch-Off demonstration,physics_physical_systems,Liquid Bridge Pinch-Off,HTTP Error 403: Too Many Reqs (1862a4b)
Liquid Bridge Pinch-Off slow motion,physics_physical_systems,Liquid Bridge Pinch-Off,HTTP Error 403: Too Many Reqs (1862a4b)
Liquid Bridge Pinch-Off video,physics_physical_systems,Liquid Bridge Pinch-Off,HTTP Error 403: Too Many Reqs (1862a4b)
液桥颈缩断裂 Liquid Bridge Pinch-Off,physics_physical_systems,Liquid Bridge Pinch-Off,HTTP Error 403: Too Many Reqs (1862a4b)
Leidenfrost Droplet Motion demonstration,physics_physical_systems,Leidenfrost Droplet Motion,HTTP Error 403: Too Many Reqs (1862a4b)
Leidenfrost Droplet Motion slow motion,physics_physical_systems,Leidenfrost Droplet Motion,HTTP Error 403: Too Many Reqs (1862a4b)
Leidenfrost Droplet Motion video,physics_physical_systems,Leidenfrost Droplet Motion,HTTP Error 403: Too Many Reqs (1862a4b)
莱顿弗罗斯特液滴运动 Leidenfrost Droplet Motion,physics_physical_systems,Leidenfrost Droplet Motion,HTTP Error 403: Too Many Reqs (1862a4b)
Marangoni-Driven Flow demonstration,physics_physical_systems,Marangoni-Driven Flow,HTTP Error 403: Too Many Reqs (1862a4b)
Marangoni-Driven Flow slow motion,physics_physical_systems,Marangoni-Driven Flow,HTTP Error 403: Too Many Reqs (1862a4b)
Marangoni-Driven Flow video,physics_physical_systems,Marangoni-Driven Flow,HTTP Error 403: Too Many Reqs (1862a4b)
马兰戈尼驱动流 Marangoni-Driven Flow,physics_physical_systems,Marangoni-Driven Flow,HTTP Error 403: Too Many Reqs (1862a4b)
Standing Wave Formation demonstration,physics_physical_systems,Standing Wave Formation,HTTP Error 403: Too Many Reqs (1862a4b)
Standing Wave Formation slow motion,physics_physical_systems,Standing Wave Formation,HTTP Error 403: Too Many Reqs (1862a4b)
Standing Wave Formation video,physics_physical_systems,Standing Wave Formation,HTTP Error 403: Too Many Reqs (1862a4b)
驻波形成 Standing Wave Formation,physics_physical_systems,Standing Wave Formation,HTTP Error 403: Too Many Reqs (1862a4b)
