concept_id,priority,search_term,initial_category,candidate_knowledge_point,domain_seed,subdomain_seed,why_dynamic,default_start_sec,default_end_sec,notes
vdcr_concept_0206,A,pyroclastic flow,earth_environmental_systems,Pyroclastic Density Current,earth_environmental_systems,earth_family_04,"Candidate must show a hot volcanic density current advancing downslope over time, not merely ash or a static volcano.",0,60,targeted_commons_earth_search
vdcr_concept_0206,A,nuée ardente,earth_environmental_systems,Pyroclastic Density Current,earth_environmental_systems,earth_family_04,"Candidate must show a hot volcanic density current advancing downslope over time, not merely ash or a static volcano.",0,60,targeted_commons_earth_search
vdcr_concept_0207,A,pahoehoe lava flow,earth_environmental_systems,Pahoehoe Lava Roping,earth_environmental_systems,earth_family_04,"Candidate must show ropy pahoehoe surface forming or advancing over time.",0,60,targeted_commons_earth_search
vdcr_concept_0208,B,aa lava flow,earth_environmental_systems,Aa Lava Front Advance,earth_environmental_systems,earth_family_04,"Candidate must show blocky aa lava front advancing over time.",0,60,targeted_commons_earth_search
vdcr_concept_0210,B,lava dome collapse,earth_environmental_systems,Lava Dome Collapse,earth_environmental_systems,earth_family_04,"Candidate must show dome material failing or collapsing dynamically, not a still volcano.",0,60,targeted_commons_earth_search
vdcr_concept_0211,B,eruption column collapse,earth_environmental_systems,Eruption Column Collapse,earth_environmental_systems,earth_family_04,"Candidate must show an eruption column losing buoyancy and collapsing into a ground-hugging flow.",0,60,targeted_commons_earth_search
vdcr_concept_0215,B,glacier calving,earth_environmental_systems,Ice Cliff Calving,earth_environmental_systems,earth_family_05,"Candidate must show ice fracture/detachment and falling into water over time.",0,60,targeted_commons_earth_search
vdcr_concept_0215,B,iceberg calving,earth_environmental_systems,Ice Cliff Calving,earth_environmental_systems,earth_family_05,"Candidate must show ice fracture/detachment and falling into water over time.",0,60,targeted_commons_earth_search
vdcr_concept_0222,B,fire whirl,earth_environmental_systems,Fire Whirl,earth_environmental_systems,earth_family_06,"Candidate must show a rotating fire plume, not just a static flame column.",0,60,targeted_commons_earth_search
vdcr_concept_0223,B,crown fire,earth_environmental_systems,Crown Fire Transition,earth_environmental_systems,earth_family_06,"Candidate must show surface fire transitioning into tree crown fire over time.",0,60,targeted_commons_earth_search
vdcr_concept_0228,A,barchan dune migration,earth_environmental_systems,Barchan Dune Migration,earth_environmental_systems,earth_family_07,"Candidate must show dune form migrating over time, ideally time-lapse or model footage.",0,60,targeted_commons_earth_search
vdcr_concept_0229,B,sand ripple formation,earth_environmental_systems,Aeolian Ripple Formation,earth_environmental_systems,earth_family_07,"Candidate must show wind-driven ripple formation or migration over time.",0,60,targeted_commons_earth_search
vdcr_concept_0230,B,dune avalanche,earth_environmental_systems,Dune Slip-Face Avalanche,earth_environmental_systems,earth_family_07,"Candidate must show granular sand sliding down a dune slip face over time.",0,60,targeted_commons_earth_search
vdcr_concept_0234,A,tidal bore,earth_environmental_systems,Tidal Bore,earth_environmental_systems,earth_family_08,"Candidate must show a tidal bore wave front propagating upstream over time.",0,60,targeted_commons_earth_search
vdcr_concept_0233,B,plunging breaker,earth_environmental_systems,Plunging Breaker,earth_environmental_systems,earth_family_08,"Candidate must show a wave crest curling and plunging over time.",0,60,targeted_commons_earth_search
vdcr_concept_0237,B,rip current,earth_environmental_systems,Rip Current Formation,earth_environmental_systems,earth_family_08,"Candidate must show seaward current/channel formation, not beach interviews or warning signs.",0,60,targeted_commons_earth_search
vdcr_concept_0203,B,debris flow,earth_environmental_systems,Debris-Flow Surge Propagation,earth_environmental_systems,earth_family_03,"Candidate must show a debris-flow surge propagating through a channel or slope.",0,60,targeted_commons_earth_search
vdcr_concept_0203,B,mudflow,earth_environmental_systems,Debris-Flow Surge Propagation,earth_environmental_systems,earth_family_03,"Candidate must show a muddy debris-flow surge propagating through a channel or slope.",0,60,targeted_commons_earth_search
vdcr_concept_0192,A,supercell timelapse,earth_environmental_systems,Supercell Mesocyclone Rotation,earth_environmental_systems,earth_family_01,"Candidate must show supercell cloud rotation or organized mesocyclone structure evolving over time.",0,60,targeted_commons_earth_search
vdcr_concept_0195,B,wall cloud rotation,earth_environmental_systems,Wall Cloud Rotation,earth_environmental_systems,earth_family_01,"Candidate must show wall-cloud rotation over time, not merely a still storm cloud.",0,60,targeted_commons_earth_search
vdcr_concept_0191,A,microburst,earth_environmental_systems,Downburst / Microburst Outflow,earth_environmental_systems,earth_family_01,"Candidate must show downburst or microburst outflow spreading at the surface over time.",0,60,targeted_commons_earth_search
vdcr_concept_0197,B,gust front,earth_environmental_systems,Gust Front Propagation,earth_environmental_systems,earth_family_01,"Candidate must show a gust front or shelf-cloud boundary advancing over time.",0,60,targeted_commons_earth_search
