id,video_path,duration_sec,first,middle,last,sparse,contact_sheet,error
vdcr_commons_mr20_000001,media/vdcr_commons_manual_round20_v1/vdcr_commons_mr20_000001.gif,10.100,ok,ok,ok,8,ok,
vdcr_commons_mr20_000002,media/vdcr_commons_manual_round20_v1/vdcr_commons_mr20_000002.webm,5.834,ok,ok,ok,8,ok,
vdcr_commons_mr20_000003,media/vdcr_commons_manual_round20_v1/vdcr_commons_mr20_000003.webm,54.666,ok,ok,ok,8,ok,
vdcr_commons_mr20_000004,media/vdcr_commons_manual_round20_v1/vdcr_commons_mr20_000004.ogv,16.667,ok,ok,missing,7,ok,partial_frame_extraction
vdcr_commons_mr20_000005,media/vdcr_commons_manual_round20_v1/vdcr_commons_mr20_000005.webm,64.304,ok,ok,ok,8,ok,
vdcr_commons_mr20_000006,media/vdcr_commons_manual_round20_v1/vdcr_commons_mr20_000006.ogv,29.900,ok,ok,ok,8,ok,
vdcr_commons_mr20_000007,media/vdcr_commons_manual_round20_v1/vdcr_commons_mr20_000007.ogv,22.267,ok,ok,ok,8,ok,
vdcr_commons_mr20_000008,media/vdcr_commons_manual_round20_v1/vdcr_commons_mr20_000008.ogv,18.133,ok,ok,ok,8,ok,
vdcr_commons_mr20_000009,media/vdcr_commons_manual_round20_v1/vdcr_commons_mr20_000009.ogv,40.000,ok,ok,ok,8,ok,
vdcr_commons_mr20_000010,media/vdcr_commons_manual_round20_v1/vdcr_commons_mr20_000010.ogv,15.942,ok,ok,ok,8,ok,
