id,page_url,title,direct_url,mime,duration_sec,license_short_name,usage_terms
vdcr_commons_mr20_000001,https://commons.wikimedia.org/wiki/File:Magnus_effect.gif,File:Magnus effect.gif,https://upload.wikimedia.org/wikipedia/commons/b/b6/Magnus_effect.gif,,,,
vdcr_commons_mr20_000002,https://commons.wikimedia.org/wiki/File:Hydrogel_micropump.webm,File:Hydrogel micropump.webm,https://upload.wikimedia.org/wikipedia/commons/d/d4/Hydrogel_micropump.webm,video/webm,,,
vdcr_commons_mr20_000003,https://commons.wikimedia.org/wiki/File:Crystal_growth.webm,File:Crystal growth.webm,https://upload.wikimedia.org/wikipedia/commons/a/ad/Crystal_growth.webm,video/webm,,,
vdcr_commons_mr20_000004,https://commons.wikimedia.org/wiki/File:Natural-Variation-in-Arabidopsis-Cvi-0-Accession-Reveals-an-Important-Role-of-MPK12-in-Guard-Cell-pbio.2000322.s012.ogv,File:Natural-Variation-in-Arabidopsis-Cvi-0-Accession-Reveals-an-Important-Role-of-MPK12-in-Guard-Cell-pbio.2000322.s012.ogv,https://upload.wikimedia.org/wikipedia/commons/b/bd/Natural-Variation-in-Arabidopsis-Cvi-0-Accession-Reveals-an-Important-Role-of-MPK12-in-Guard-Cell-pbio.2000322.s012.ogv,video/ogg,,,
vdcr_commons_mr20_000005,https://commons.wikimedia.org/wiki/File:Timelapse_of_Slime_Mould.webm,File:Timelapse of Slime Mould.webm,https://upload.wikimedia.org/wikipedia/commons/5/57/Timelapse_of_Slime_Mould.webm,video/webm,,,
vdcr_commons_mr20_000006,https://commons.wikimedia.org/wiki/File:Onset-of-sediment-transport-is-a-continuous-transition-driven-by-fluid-shear-and-granular-creep-ncomms7527-s2.ogv,File:Onset-of-sediment-transport-is-a-continuous-transition-driven-by-fluid-shear-and-granular-creep-ncomms7527-s2.ogv,https://upload.wikimedia.org/wikipedia/commons/4/4d/Onset-of-sediment-transport-is-a-continuous-transition-driven-by-fluid-shear-and-granular-creep-ncomms7527-s2.ogv,video/ogg,,,
vdcr_commons_mr20_000007,https://commons.wikimedia.org/wiki/File:Onset-of-sediment-transport-is-a-continuous-transition-driven-by-fluid-shear-and-granular-creep-ncomms7527-s3.ogv,File:Onset-of-sediment-transport-is-a-continuous-transition-driven-by-fluid-shear-and-granular-creep-ncomms7527-s3.ogv,https://upload.wikimedia.org/wikipedia/commons/5/56/Onset-of-sediment-transport-is-a-continuous-transition-driven-by-fluid-shear-and-granular-creep-ncomms7527-s3.ogv,video/ogg,,,
vdcr_commons_mr20_000008,https://commons.wikimedia.org/wiki/File:Hydraulic-hydrogel-actuators-and-robots-optically-and-sonically-camouflaged-in-water-ncomms14230-s6.ogv,File:Hydraulic-hydrogel-actuators-and-robots-optically-and-sonically-camouflaged-in-water-ncomms14230-s6.ogv,https://upload.wikimedia.org/wikipedia/commons/5/5f/Hydraulic-hydrogel-actuators-and-robots-optically-and-sonically-camouflaged-in-water-ncomms14230-s6.ogv,video/ogg,,,
vdcr_commons_mr20_000009,https://commons.wikimedia.org/wiki/File:Membrane-Blebbing-Is-Required-for-Mesenchymal-Precursor-Migration-pone.0150004.s007.ogv,File:Membrane-Blebbing-Is-Required-for-Mesenchymal-Precursor-Migration-pone.0150004.s007.ogv,https://upload.wikimedia.org/wikipedia/commons/3/3f/Membrane-Blebbing-Is-Required-for-Mesenchymal-Precursor-Migration-pone.0150004.s007.ogv,video/ogg,,,
vdcr_commons_mr20_000010,https://commons.wikimedia.org/wiki/File:Upward-erosion.ogv,File:Upward-erosion.ogv,https://upload.wikimedia.org/wikipedia/commons/4/4b/Upward-erosion.ogv,video/ogg,,,
