concept_id,domain,domain_zh,subdomain,subdomain_zh,concept_zh,concept_en,concept_type,capability_label,priority,risk_reason,static_shortcut_risk,video_availability_guess,accepted_answers_json,direct_answer_question,retrieval_query_seed,concept_validity_tier,tier_reason,recommended_answer_en,recommended_answer_zh,production_gate
vdcr_concept_0001,physics_physical_systems,自然物理规律,physics_family_01,流体不稳定性与涡动力学,马格努斯效应,Magnus Effect,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Magnus Effect"", ""马格努斯效应""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Magnus Effect,strict_main_candidate,valid_name_but_requires_extra_visual_gate,Magnus Effect,马格努斯效应,must_show_object_spin_curved_trajectory_and_fluid_deflection_or_lift_effect_not_just_ball_motion
vdcr_concept_0002,physics_physical_systems,自然物理规律,physics_family_01,流体不稳定性与涡动力学,周期涡脱落/卡门涡街,Vortex Shedding / Karman Vortex Street,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Vortex Shedding / Karman Vortex Street"", ""周期涡脱落/卡门涡街"", ""Vortex Shedding"", ""Karman Vortex Street""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Vortex Shedding / Karman Vortex Street,core_main,strong_named_temporal_signature,Vortex Shedding / Karman Vortex Street,周期涡脱落/卡门涡街,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0003,physics_physical_systems,自然物理规律,physics_family_01,流体不稳定性与涡动力学,空化泡生长与塌缩,Cavitation Bubble Growth and Collapse,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Cavitation Bubble Growth and Collapse"", ""空化泡生长与塌缩""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Cavitation Bubble Growth and Collapse,core_main,strong_named_temporal_signature,Cavitation Bubble Growth and Collapse,空化泡生长与塌缩,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0004,physics_physical_systems,自然物理规律,physics_family_01,流体不稳定性与涡动力学,开尔文-亥姆霍兹不稳定性,Kelvin-Helmholtz Instability,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Kelvin-Helmholtz Instability"", ""开尔文-亥姆霍兹不稳定性""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Kelvin-Helmholtz Instability,core_main,strong_named_temporal_signature,Kelvin-Helmholtz Instability,开尔文-亥姆霍兹不稳定性,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0005,physics_physical_systems,自然物理规律,physics_family_01,流体不稳定性与涡动力学,瑞利-泰勒不稳定性,Rayleigh-Taylor Instability,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Rayleigh-Taylor Instability"", ""瑞利-泰勒不稳定性""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Rayleigh-Taylor Instability,core_main,strong_named_temporal_signature,Rayleigh-Taylor Instability,瑞利-泰勒不稳定性,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0006,physics_physical_systems,自然物理规律,physics_family_01,流体不稳定性与涡动力学,萨夫曼-泰勒黏性指进,Saffman-Taylor Viscous Fingering,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Saffman-Taylor Viscous Fingering"", ""萨夫曼-泰勒黏性指进""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Saffman-Taylor Viscous Fingering,strict_main_candidate,usable_only_after_video_specific_gate,Saffman-Taylor Viscous Fingering,萨夫曼-泰勒黏性指进,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0007,physics_physical_systems,自然物理规律,physics_family_01,流体不稳定性与涡动力学,泰勒-库埃特涡,Taylor-Couette Vortices,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Taylor-Couette Vortices"", ""泰勒-库埃特涡""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Taylor-Couette Vortices,strict_main_candidate,usable_only_after_video_specific_gate,Taylor-Couette Vortices,泰勒-库埃特涡,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0008,physics_physical_systems,自然物理规律,physics_family_01,流体不稳定性与涡动力学,水跃,Hydraulic Jump,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Hydraulic Jump"", ""水跃""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Hydraulic Jump,core_main,strong_named_temporal_signature,Hydraulic Jump,水跃,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0009,physics_physical_systems,自然物理规律,physics_family_02,表面张力与界面动力学,瑞利-普拉托断裂,Rayleigh-Plateau Breakup,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Rayleigh-Plateau Breakup"", ""瑞利-普拉托断裂""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Rayleigh-Plateau Breakup,core_main,strong_named_temporal_signature,Rayleigh-Plateau Breakup,瑞利-普拉托断裂,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0010,physics_physical_systems,自然物理规律,physics_family_02,表面张力与界面动力学,毛细上升/芯吸,Capillary Rise / Wicking,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Capillary Rise / Wicking"", ""毛细上升/芯吸"", ""Capillary Rise"", ""Wicking""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Capillary Rise / Wicking,strict_main_candidate,valid_name_but_requires_extra_visual_gate,Capillary Rise / Wicking,毛细上升/芯吸,must_show_liquid_or_wetting_front_rising_through_capillary_or_porous_path_over_time
