concept_id,domain,domain_zh,subdomain,subdomain_zh,concept_zh,concept_en,concept_type,capability_label,priority,risk_reason,static_shortcut_risk,video_availability_guess,accepted_answers_json,direct_answer_question,retrieval_query_seed
vdcr_concept_0001,physics_physical_systems,自然物理规律,physics_family_01,流体不稳定性与涡动力学,马格努斯效应,Magnus Effect,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Magnus Effect"", ""马格努斯效应""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Magnus Effect
vdcr_concept_0002,physics_physical_systems,自然物理规律,physics_family_01,流体不稳定性与涡动力学,周期涡脱落/卡门涡街,Vortex Shedding / Karman Vortex Street,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Vortex Shedding / Karman Vortex Street"", ""周期涡脱落/卡门涡街"", ""Vortex Shedding"", ""Karman Vortex Street""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Vortex Shedding / Karman Vortex Street
vdcr_concept_0003,physics_physical_systems,自然物理规律,physics_family_01,流体不稳定性与涡动力学,空化泡生长与塌缩,Cavitation Bubble Growth and Collapse,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Cavitation Bubble Growth and Collapse"", ""空化泡生长与塌缩""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Cavitation Bubble Growth and Collapse
vdcr_concept_0004,physics_physical_systems,自然物理规律,physics_family_01,流体不稳定性与涡动力学,开尔文-亥姆霍兹不稳定性,Kelvin-Helmholtz Instability,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Kelvin-Helmholtz Instability"", ""开尔文-亥姆霍兹不稳定性""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Kelvin-Helmholtz Instability
vdcr_concept_0005,physics_physical_systems,自然物理规律,physics_family_01,流体不稳定性与涡动力学,瑞利-泰勒不稳定性,Rayleigh-Taylor Instability,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Rayleigh-Taylor Instability"", ""瑞利-泰勒不稳定性""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Rayleigh-Taylor Instability
vdcr_concept_0006,physics_physical_systems,自然物理规律,physics_family_01,流体不稳定性与涡动力学,萨夫曼-泰勒黏性指进,Saffman-Taylor Viscous Fingering,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Saffman-Taylor Viscous Fingering"", ""萨夫曼-泰勒黏性指进""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Saffman-Taylor Viscous Fingering
vdcr_concept_0007,physics_physical_systems,自然物理规律,physics_family_01,流体不稳定性与涡动力学,泰勒-库埃特涡,Taylor-Couette Vortices,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Taylor-Couette Vortices"", ""泰勒-库埃特涡""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Taylor-Couette Vortices
vdcr_concept_0008,physics_physical_systems,自然物理规律,physics_family_01,流体不稳定性与涡动力学,水跃,Hydraulic Jump,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Hydraulic Jump"", ""水跃""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Hydraulic Jump
vdcr_concept_0009,physics_physical_systems,自然物理规律,physics_family_02,表面张力与界面动力学,瑞利-普拉托断裂,Rayleigh-Plateau Breakup,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Rayleigh-Plateau Breakup"", ""瑞利-普拉托断裂""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Rayleigh-Plateau Breakup
vdcr_concept_0010,physics_physical_systems,自然物理规律,physics_family_02,表面张力与界面动力学,毛细上升/芯吸,Capillary Rise / Wicking,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Capillary Rise / Wicking"", ""毛细上升/芯吸"", ""Capillary Rise"", ""Wicking""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Capillary Rise / Wicking
vdcr_concept_0011,physics_physical_systems,自然物理规律,physics_family_02,表面张力与界面动力学,液滴并合,Droplet Coalescence,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Droplet Coalescence"", ""液滴并合""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Droplet Coalescence
vdcr_concept_0012,physics_physical_systems,自然物理规律,physics_family_02,表面张力与界面动力学,毛细断裂,Capillary Breakup,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Capillary Breakup"", ""毛细断裂""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Capillary Breakup
vdcr_concept_0013,physics_physical_systems,自然物理规律,physics_family_02,表面张力与界面动力学,液桥颈缩断裂,Liquid Bridge Pinch-Off,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Liquid Bridge Pinch-Off"", ""液桥颈缩断裂""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Liquid Bridge Pinch-Off
vdcr_concept_0014,physics_physical_systems,自然物理规律,physics_family_02,表面张力与界面动力学,莱顿弗罗斯特液滴运动,Leidenfrost Droplet Motion,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Leidenfrost Droplet Motion"", ""莱顿弗罗斯特液滴运动""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Leidenfrost Droplet Motion
vdcr_concept_0015,physics_physical_systems,自然物理规律,physics_family_02,表面张力与界面动力学,马兰戈尼驱动流,Marangoni-Driven Flow,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Marangoni-Driven Flow"", ""马兰戈尼驱动流""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Marangoni-Driven Flow
vdcr_concept_0016,physics_physical_systems,自然物理规律,physics_family_02,表面张力与界面动力学,接触线钉扎-脱钉,Contact-Line Pinning and Depinning,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Contact-Line Pinning and Depinning"", ""接触线钉扎-脱钉""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Contact-Line Pinning and Depinning
