concept_id,priority,search_term,initial_category,candidate_knowledge_point,domain_seed,subdomain_seed,why_dynamic,default_start_sec,default_end_sec,notes
vdcr_concept_0191,A,supercell storm timelapse rotation,earth_environmental_systems,Supercell Mesocyclone Rotation,earth_environmental_systems,earth_family_01,"Candidate must show organized supercell cloud rotation over time, not a still storm cloud.",0,60,round3_earth_targeted_search
vdcr_concept_0191,A,mesocyclone timelapse,earth_environmental_systems,Supercell Mesocyclone Rotation,earth_environmental_systems,earth_family_01,"Candidate must show organized supercell cloud rotation over time, not a still storm cloud.",0,60,round3_earth_targeted_search
vdcr_concept_0190,A,microburst outflow timelapse,earth_environmental_systems,Downburst / Microburst Outflow,earth_environmental_systems,earth_family_01,"Candidate must show downburst or microburst outflow spreading at the surface over time.",0,60,round3_earth_targeted_search
vdcr_concept_0196,A,meander cutoff time lapse,earth_environmental_systems,Meander Neck Cutoff,earth_environmental_systems,earth_family_02,"Candidate must show a meander neck breaching or cutoff evolving over time.",0,60,round3_earth_targeted_search
vdcr_concept_0200,A,sediment saltation flume video,earth_environmental_systems,Sediment Saltation,earth_environmental_systems,earth_family_02,"Candidate must show grains hopping or saltating in water or air over time.",0,60,round3_earth_targeted_search
vdcr_concept_0200,A,saltation wind tunnel sand video,earth_environmental_systems,Sediment Saltation,earth_environmental_systems,earth_family_02,"Candidate must show grains hopping or saltating in water or air over time.",0,60,round3_earth_targeted_search
vdcr_concept_0201,B,turbidity current flume experiment,earth_environmental_systems,Turbidity Current Propagation,earth_environmental_systems,earth_family_02,"Candidate must show a dense sediment-laden current advancing along a tank or channel.",0,60,round3_earth_targeted_search
vdcr_concept_0201,B,turbidity current tank video,earth_environmental_systems,Turbidity Current Propagation,earth_environmental_systems,earth_family_02,"Candidate must show a dense sediment-laden current advancing along a tank or channel.",0,60,round3_earth_targeted_search
vdcr_concept_0209,B,debris flow flume experiment,earth_environmental_systems,Debris-Flow Surge Propagation,earth_environmental_systems,earth_family_03,"Candidate must show a debris-flow surge propagating through a channel or slope.",0,60,round3_earth_targeted_search
vdcr_concept_0209,B,mudflow flume video,earth_environmental_systems,Debris-Flow Surge Propagation,earth_environmental_systems,earth_family_03,"Candidate must show a debris-flow surge propagating through a channel or slope.",0,60,round3_earth_targeted_search
vdcr_concept_0210,A,pyroclastic density current footage,earth_environmental_systems,Pyroclastic Density Current,earth_environmental_systems,earth_family_04,"Candidate must show a hot volcanic density current advancing downslope over time.",0,60,round3_earth_targeted_search
vdcr_concept_0210,A,pyroclastic flow raw footage,earth_environmental_systems,Pyroclastic Density Current,earth_environmental_systems,earth_family_04,"Candidate must show a hot volcanic density current advancing downslope over time.",0,60,round3_earth_targeted_search
vdcr_concept_0228,B,aeolian saltation wind tunnel,earth_environmental_systems,Aeolian Saltation,earth_environmental_systems,earth_family_07,"Candidate must show wind-driven sand grains saltating over time.",0,60,round3_earth_targeted_search
vdcr_concept_0230,A,barchan dune migration time lapse,earth_environmental_systems,Barchan Dune Migration,earth_environmental_systems,earth_family_07,"Candidate must show barchan dune form migrating over time.",0,60,round3_earth_targeted_search
vdcr_concept_0230,A,dune migration timelapse,earth_environmental_systems,Barchan Dune Migration,earth_environmental_systems,earth_family_07,"Candidate must show barchan dune form migrating over time.",0,60,round3_earth_targeted_search
vdcr_concept_0231,B,dune slip face avalanche video,earth_environmental_systems,Dune Slip-Face Avalanche,earth_environmental_systems,earth_family_07,"Candidate must show granular sand sliding down a dune slip face over time.",0,60,round3_earth_targeted_search
vdcr_concept_0234,B,plunging breaker slow motion,earth_environmental_systems,Plunging Breaker,earth_environmental_systems,earth_family_08,"Candidate must show a wave crest curling and plunging over time.",0,60,round3_earth_targeted_search
vdcr_concept_0237,B,rip current dye video,earth_environmental_systems,Rip Current Formation,earth_environmental_systems,earth_family_08,"Candidate must show seaward current/channel formation, not beach interviews or warning signs.",0,60,round3_earth_targeted_search
vdcr_concept_0240,A,gully headcut erosion experiment,earth_environmental_systems,Gully Headcut Retreat,earth_environmental_systems,earth_family_09,"Candidate must show an erosional headcut retreating upstream over time.",0,60,round3_earth_targeted_search
vdcr_concept_0240,A,headcut erosion flume video,earth_environmental_systems,Gully Headcut Retreat,earth_environmental_systems,earth_family_09,"Candidate must show an erosional headcut retreating upstream over time.",0,60,round3_earth_targeted_search
