id,video_path,duration_sec,first,middle,last,sparse,contact_sheet,error
vdcr_archive_b02_000078,media/vdcr_raw_pilot_v1/vdcr_archive_b02_000078.ogv,3.018,ok,ok,ok,8,ok,
vdcr_archive_only_000003,media/vdcr_raw_pilot_v1/vdcr_archive_only_000003.ogv,15.015,ok,ok,ok,8,ok,
vdcr_archive_b03_000032,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000032.mp4,16.393,ok,ok,ok,8,ok,
vdcr_archive_b02_000048,media/vdcr_raw_pilot_v1/vdcr_archive_b02_000048.mp4,17.003,ok,ok,ok,8,ok,
vdcr_archive_b03_000035,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000035.mp4,19.946,ok,ok,ok,8,ok,
vdcr_archive_b03_000021,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000021.webm,59.228,ok,ok,ok,8,ok,
vdcr_archive_b02_000010,media/vdcr_raw_pilot_v1/vdcr_archive_b02_000010.mp4,59.903,ok,ok,ok,8,ok,
vdcr_archive_b03_000057,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000057.ogv,60.929,ok,ok,ok,8,ok,
vdcr_archive_b03_000028,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000028.mp4,134.049,ok,ok,ok,8,ok,
vdcr_archive_b04_000009,media/vdcr_raw_pilot_v1/vdcr_archive_b04_000009.ogv,93.066,ok,ok,ok,8,ok,
vdcr_archive_b04_000014,media/vdcr_raw_pilot_v1/vdcr_archive_b04_000014.mp4,144.600,ok,ok,ok,8,ok,
vdcr_commons_mr1_000001,media/vdcr_commons_manual_round1_v1/vdcr_commons_mr1_000001.webm,59.440,ok,ok,ok,8,ok,
vdcr_commons_mr1_000002,media/vdcr_commons_manual_round1_v1/vdcr_commons_mr1_000002.webm,152.242,ok,ok,ok,8,ok,
vdcr_commons_mr1_000003,media/vdcr_commons_manual_round1_v1/vdcr_commons_mr1_000003.webm,18.018,ok,ok,ok,8,ok,
vdcr_commons_mr1_000004,media/vdcr_commons_manual_round1_v1/vdcr_commons_mr1_000004.ogv,145.840,ok,ok,ok,8,ok,
vdcr_commons_mr1_000005,media/vdcr_commons_manual_round1_v1/vdcr_commons_mr1_000005.ogv,20.100,ok,ok,ok,8,ok,
vdcr_commons_mr1_000006,media/vdcr_commons_manual_round1_v1/vdcr_commons_mr1_000006.webm,239.262,ok,ok,ok,8,ok,
vdcr_commons_mr2_000001,media/vdcr_commons_manual_round2_v1/vdcr_commons_mr2_000001.ogv,5.239,ok,ok,ok,8,ok,
vdcr_commons_mr2_000002,media/vdcr_commons_manual_round2_v1/vdcr_commons_mr2_000002.webm,17.512,ok,ok,ok,8,ok,
vdcr_commons_mr2_000003,media/vdcr_commons_manual_round2_v1/vdcr_commons_mr2_000003.webm,9.400,ok,ok,ok,8,ok,
vdcr_commons_mr2_000004,media/vdcr_commons_manual_round2_v1/vdcr_commons_mr2_000004.webm,10.034,ok,ok,ok,8,ok,
vdcr_commons_mr2_000005,media/vdcr_commons_manual_round2_v1/vdcr_commons_mr2_000005.webm,36.218,ok,ok,ok,8,ok,
vdcr_commons_mr2_000006,media/vdcr_commons_manual_round2_v1/vdcr_commons_mr2_000006.ogv,4.583,ok,ok,ok,8,ok,
vdcr_commons_mr3_000001,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000001.ogv,45.081,ok,ok,ok,8,ok,
vdcr_commons_mr3_000002,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000002.webm,31.419,ok,ok,ok,8,ok,
vdcr_commons_mr3_000003,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000003.webm,11.740,ok,ok,ok,8,ok,
vdcr_commons_mr3_000004,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000004.ogv,17.917,ok,ok,ok,8,ok,
vdcr_commons_mr3_000005,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000005.webm,88.239,ok,ok,ok,8,ok,
vdcr_commons_mr3_000006,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000006.webm,42.988,ok,ok,ok,8,ok,
vdcr_commons_mr3_000007,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000007.webm,5.138,ok,ok,ok,8,ok,
vdcr_commons_mr3_000008,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000008.webm,29.810,ok,ok,ok,8,ok,
vdcr_commons_mr3_000009,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000009.webm,24.472,ok,ok,ok,8,ok,
vdcr_commons_mr4_000001,media/vdcr_commons_manual_round4_v1/vdcr_commons_mr4_000001.webm,5.506,ok,ok,ok,8,ok,
vdcr_commons_mr4_000002,media/vdcr_commons_manual_round4_v1/vdcr_commons_mr4_000002.ogv,13.367,ok,ok,ok,8,ok,
vdcr_commons_mr4_000003,media/vdcr_commons_manual_round4_v1/vdcr_commons_mr4_000003.ogv,5.000,ok,ok,ok,8,ok,
vdcr_commons_mr4_000004,media/vdcr_commons_manual_round4_v1/vdcr_commons_mr4_000004.ogv,12.100,ok,ok,ok,8,ok,
vdcr_commons_mr4_000005,media/vdcr_commons_manual_round4_v1/vdcr_commons_mr4_000005.ogv,100.000,ok,ok,ok,8,ok,
vdcr_commons_mr4_000006,media/vdcr_commons_manual_round4_v1/vdcr_commons_mr4_000006.ogv,7.571,ok,ok,ok,8,ok,
vdcr_commons_mr4_000007,media/vdcr_commons_manual_round4_v1/vdcr_commons_mr4_000007.webm,17.441,ok,ok,ok,8,ok,
vdcr_commons_mr4_000008,media/vdcr_commons_manual_round4_v1/vdcr_commons_mr4_000008.webm,5.272,ok,ok,ok,8,ok,
