id,video_path,duration_sec,first,middle,last,sparse,contact_sheet,error
vdcr_archive_b02_000078,media/vdcr_raw_pilot_v1/vdcr_archive_b02_000078.ogv,3.018,ok,ok,ok,8,ok,
vdcr_archive_only_000003,media/vdcr_raw_pilot_v1/vdcr_archive_only_000003.ogv,15.015,ok,ok,ok,8,ok,
vdcr_archive_b03_000032,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000032.mp4,16.393,ok,ok,ok,8,ok,
vdcr_archive_b02_000048,media/vdcr_raw_pilot_v1/vdcr_archive_b02_000048.mp4,17.003,ok,ok,ok,8,ok,
vdcr_archive_b03_000035,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000035.mp4,19.946,ok,ok,ok,8,ok,
vdcr_archive_b03_000021,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000021.webm,59.228,ok,ok,ok,8,ok,
vdcr_archive_b02_000010,media/vdcr_raw_pilot_v1/vdcr_archive_b02_000010.mp4,59.903,ok,ok,ok,8,ok,
vdcr_archive_b03_000057,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000057.ogv,60.929,ok,ok,ok,8,ok,
vdcr_archive_b03_000028,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000028.mp4,134.049,ok,ok,ok,8,ok,
vdcr_archive_b04_000009,media/vdcr_raw_pilot_v1/vdcr_archive_b04_000009.ogv,93.066,ok,ok,ok,8,ok,
vdcr_archive_b04_000014,media/vdcr_raw_pilot_v1/vdcr_archive_b04_000014.mp4,144.600,ok,ok,ok,8,ok,
