id,video_path,duration_sec,first,middle,last,sparse,contact_sheet,error
vdcr_archive_b03_000025,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000025.mp4,36.067,ok,ok,ok,8,ok,
vdcr_archive_b03_000026,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000026.mp4,21.133,ok,ok,ok,8,ok,
vdcr_archive_b03_000027,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000027.mp4,12.900,ok,ok,ok,8,ok,
vdcr_archive_b02_000004,media/vdcr_raw_pilot_v1/vdcr_archive_b02_000004.mp4,590.851,ok,ok,ok,8,ok,
vdcr_archive_only_000022,media/vdcr_raw_pilot_v1/vdcr_archive_only_000022.mp4,359.011,ok,ok,ok,8,ok,
vdcr_archive_only_000023,media/vdcr_raw_pilot_v1/vdcr_archive_only_000023.mp4,675.648,ok,ok,ok,8,ok,
vdcr_archive_b02_000003,media/vdcr_raw_pilot_v1/vdcr_archive_b02_000003.mp4,290.017,ok,ok,ok,8,ok,
vdcr_archive_b02_000032,media/vdcr_raw_pilot_v1/vdcr_archive_b02_000032.mp4,123.824,ok,ok,ok,8,ok,
vdcr_archive_b03_000038,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000038.mp4,949.993,ok,ok,ok,8,ok,
vdcr_archive_b03_000020,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000020.ogv,603.070,ok,ok,ok,8,ok,
vdcr_archive_b03_000060,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000060.ogv,957.751,ok,ok,ok,8,ok,
vdcr_archive_b05_000001,media/vdcr_raw_pilot_v1/vdcr_archive_b05_000001.mp4,900.000,ok,ok,ok,8,ok,
