id,page_url,title,direct_url,mime,duration_sec,license_short_name,usage_terms
vdcr_archive_only_000001,https://archive.org/details/SVS-97,Images of Earth and Space: The Role of Visualization in NASA Science,https://archive.org/download/SVS-97/a000097_512kb.mp4,video/mp4,1059.5,,
vdcr_archive_only_000002,https://archive.org/details/SVS-44,Rayleigh-Taylor Instabilities in Supernovae Explosions: Oxygen Mass Fraction,https://archive.org/download/SVS-44/a000044.ogv,video/ogg,15.8,,
vdcr_archive_only_000003,https://archive.org/details/SVS-39,Rayleigh-Taylor Instabilities in Supernovae Explosions: Density,https://archive.org/download/SVS-39/a000039.ogv,video/ogg,15.0,,
vdcr_archive_only_000004,https://archive.org/details/SVS-40,Rayleigh-Taylor Instabilities in Supernovae Explosions: Hydrogen Mass Fraction,https://archive.org/download/SVS-40/a000040.ogv,video/ogg,17.3,,
vdcr_archive_only_000005,https://archive.org/details/SVS-42,Rayleigh-Taylor Instabilities in Supernovae Explosions: Helium Mass Fraction,https://archive.org/download/SVS-42/a000042.ogv,video/ogg,15.2,,
vdcr_archive_only_000006,https://archive.org/details/sharware,chestnut-multimedia,https://archive.org/download/sharware/chestnut%2Fmovies%2Fpost.mp4,video/mp4,16.6,,
vdcr_archive_only_000007,https://archive.org/details/C64GVA246-RockNBolt,C64-Gamevideoarchive 246 - Rock`n`Bolt,https://archive.org/download/C64GVA246-RockNBolt/C64GVA246-RockNBolt.ogv,video/ogg,871.9,http://creativecommons.org/licenses/by-nc-nd/3.0/,
vdcr_archive_only_000008,https://archive.org/details/the-ongoing-war-in-the-persian-gulf,The Ongoing War In The Persian Gulf: Why Does It Matter To The US?,https://archive.org/download/the-ongoing-war-in-the-persian-gulf/The%20Ongoing%20War%20in%20the%20Persian%20Gulf%20Why%20Does%20It%20Matter%20to%20the%20US.mp4,video/mp4,4730.2,,
vdcr_archive_only_000009,https://archive.org/details/23294WingsForTheGroundCommanderA,""" WINGS FOR THE GROUND COMMANDER ""  CH-46 SEA KNIGHT HELICOPTER IN VIETNAM WAR    PROMO FILM 23294",https://archive.org/download/23294WingsForTheGroundCommanderA/23294%20Wings%20For%20The%20Ground%20Commander_b_vwr.mp4,video/mp4,838.8,,
vdcr_archive_only_000010,https://archive.org/details/33024flightcharacteristicsofthea20vwr,FLIGHT CHARACTERISTICS OF THE DOUGLAS A-20 HAVOC LIGHT BOMBER 33024,https://archive.org/download/33024flightcharacteristicsofthea20vwr/33024%20Flight%20Characteristics%20Of%20The%20A%2020_vwr.mp4,video/mp4,1164.7,https://creativecommons.org/licenses/by-nc-nd/4.0/,
vdcr_archive_only_000011,https://archive.org/details/0559_Threads_of_Technology,Threads of Technology,https://archive.org/download/0559_Threads_of_Technology/0559_Threads_of_Technology_09_12_29_01_3mb.ogv,video/ogg,1047.1,,
