id,video_path,duration_sec,first,middle,last,sparse,contact_sheet,error
vdcr_archive_only_000003_seg_000000_015000,media/vdcr_segments_pilot_v1/vdcr_archive_only_000003_seg_000000_015000.ogv,15.015,ok,ok,ok,8,ok,
vdcr_archive_only_000025_seg_005000_034000,media/vdcr_segments_pilot_v1/vdcr_archive_only_000025_seg_005000_034000.mp4,28.934,ok,ok,ok,8,ok,
vdcr_archive_b02_000010_seg_030000_060000,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000010_seg_030000_060000.mp4,29.893,ok,ok,ok,8,ok,
vdcr_archive_b04_000014_seg_003000_145000,media/vdcr_segments_pilot_v1/vdcr_archive_b04_000014_seg_003000_145000.mp4,141.600,ok,ok,ok,8,ok,
vdcr_archive_b08_000006_seg_025000_050000,media/vdcr_segments_pilot_v1/vdcr_archive_b08_000006_seg_025000_050000.mp4,25.116,ok,ok,ok,8,ok,
vdcr_archive_b03_000054_seg_300000_390000,media/vdcr_segments_pilot_v1/vdcr_archive_b03_000054_seg_300000_390000.ogv,90.017,ok,ok,ok,8,ok,
vdcr_archive_b02_000007_seg_000000_090000,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000007_seg_000000_090000.webm,90.000,ok,ok,ok,8,ok,
vdcr_archive_earth_000008_seg_1825000_1860000,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000008_seg_1825000_1860000.mp4,35.060,ok,ok,ok,8,ok,
vdcr_archive_earth_000014_seg_042000_060000,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000014_seg_042000_060000.mp4,18.100,ok,ok,ok,8,ok,
vdcr_archive_earth_000014_seg_042000_055000,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000014_seg_042000_055000.mp4,13.000,ok,ok,ok,8,ok,
vdcr_archive_b02_000006_seg_270000_280000_crop,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000006_seg_270000_280000_crop.mp4,10.010,ok,ok,ok,8,ok,
vdcr_archive_b03_000028_seg_075000_115000,media/vdcr_segments_pilot_v1/vdcr_archive_b03_000028_seg_075000_115000.mp4,40.007,ok,ok,ok,8,ok,
vdcr_archive_b02_000004_seg_178000_196000,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000004_seg_178000_196000.mp4,18.001,ok,ok,ok,8,ok,
vdcr_archive_earth_000010_seg_120000_145000,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000010_seg_120000_145000.ogv,24.992,ok,ok,ok,8,ok,
vdcr_archive_b03_000057_seg_034000_050000_crop,media/vdcr_segments_pilot_v1/vdcr_archive_b03_000057_seg_034000_050000_crop.ogv,16.016,ok,ok,ok,8,ok,
