id,source_id,candidate_knowledge_point,direct_url,page_url,title,mime,duration_sec,local_media,segment_start_sec,segment_end_sec
vdcr_archive_only_000003_seg_000000_015000,vdcr_archive_only_000003,Rayleigh-Taylor Instability,https://archive.org/download/SVS-39/a000039.ogv,https://archive.org/details/SVS-39,Rayleigh-Taylor Instabilities in Supernovae Explosions: Density,video/ogg,15.000,media/vdcr_segments_pilot_v1/vdcr_archive_only_000003_seg_000000_015000.ogv,0.000,15.000
vdcr_archive_only_000025_seg_005000_034000,vdcr_archive_only_000025,Dzhanibekov Effect / Tennis Racket Theorem,https://archive.org/download/youtube-vklY1bHIi1I/vklY1bHIi1I.mp4,https://archive.org/details/youtube-vklY1bHIi1I,Dzhanibekov Effect not only works in space but also on Earth! Slow Motion,video/mp4,29.000,media/vdcr_segments_pilot_v1/vdcr_archive_only_000025_seg_005000_034000.mp4,5.000,34.000
vdcr_archive_b02_000010_seg_030000_060000,vdcr_archive_b02_000010,Briggs-Rauscher Reaction,https://archive.org/download/youtube-VjPQA8aXE_M/VjPQA8aXE_M.mp4,https://archive.org/details/youtube-VjPQA8aXE_M,This reaction is hard to find (Briggs-Rauscher),video/mp4,30.000,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000010_seg_030000_060000.mp4,30.000,60.000
vdcr_archive_b04_000014_seg_003000_145000,vdcr_archive_b04_000014,Double Pendulum Chaos,https://archive.org/download/DoublePendulum/DoublePendulum_512kb.mp4,https://archive.org/details/DoublePendulum,Double Pendulum,video/mp4,142.000,media/vdcr_segments_pilot_v1/vdcr_archive_b04_000014_seg_003000_145000.mp4,3.000,145.000
vdcr_archive_b08_000006_seg_025000_050000,vdcr_archive_b08_000006,Solar Prominence Eruption,https://archive.org/download/youtube-L1X8oEbuCUA/L1X8oEbuCUA.mp4,https://archive.org/details/youtube-L1X8oEbuCUA,Sol,video/mp4,25.000,media/vdcr_segments_pilot_v1/vdcr_archive_b08_000006_seg_025000_050000.mp4,25.000,50.000
vdcr_archive_b03_000054_seg_300000_390000,vdcr_archive_b03_000054,Slab Avalanche Release,https://archive.org/download/WaSeUMCEMC4178AvalancheDynamics/WaSeUMC_EMC4-178_AvalancheDynamics_uncorrected.ogv,https://archive.org/details/WaSeUMCEMC4178AvalancheDynamics,Avalanche Dynamics: Characteristics of Snow Avalanches in Motion,video/ogg,90.000,media/vdcr_segments_pilot_v1/vdcr_archive_b03_000054_seg_300000_390000.ogv,300.000,390.000
vdcr_archive_b02_000007_seg_000000_090000,vdcr_archive_b02_000007,Belousov-Zhabotinsky Reaction,https://archive.org/download/youtube-r7pijdgK670/r7pijdgK670.webm,https://archive.org/details/youtube-r7pijdgK670,Belousov-Zhabotinsky reaction (Reactions only),video/webm,90.000,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000007_seg_000000_090000.webm,0.000,90.000
vdcr_archive_earth_000008_seg_1825000_1860000,vdcr_archive_earth_000008,Pahoehoe Lava Roping,,,,,35.000,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000008_seg_1825000_1860000.mp4,1825.000,1860.000
vdcr_archive_earth_000014_seg_042000_060000,vdcr_archive_earth_000014,Ice Cliff Calving,,,,,18.000,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000014_seg_042000_060000.mp4,42.000,60.000
vdcr_archive_earth_000014_seg_042000_055000,vdcr_archive_earth_000014,Ice Cliff Calving,https://archive.org/download/vimeo-303438254/GREENLAND_-_THE_MELTING_ISLAND_4K-303438254.mp4,https://archive.org/details/vimeo-303438254,GREENLAND - THE MELTING ISLAND 4K,video/mp4,13.000,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000014_seg_042000_055000.mp4,42.000,55.000
vdcr_archive_b02_000006_seg_270000_280000_crop,vdcr_archive_b02_000006,Iodine Clock Reaction,https://archive.org/download/youtube-f9CVF4yLluY/f9CVF4yLluY.mp4,https://archive.org/details/youtube-f9CVF4yLluY,FANTASTIC Iodine Clock Reaction,video/mp4,10.000,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000006_seg_270000_280000_crop.mp4,270.000,280.000
vdcr_archive_b03_000028_seg_075000_115000,vdcr_archive_b03_000028,Cytoplasmic Streaming,https://archive.org/download/ccpamd-amoeba/amoeba.mp4,https://archive.org/details/ccpamd-amoeba,amoeba,video/mp4,40.000,media/vdcr_segments_pilot_v1/vdcr_archive_b03_000028_seg_075000_115000.mp4,75.000,115.000
vdcr_archive_b02_000004_seg_178000_196000,vdcr_archive_b02_000004,Shear Thickening,https://archive.org/download/youtube-4AxiXS9n0dw/4AxiXS9n0dw.mp4,https://archive.org/details/youtube-4AxiXS9n0dw,Liquid Ballistic Armor? | Thehacksmith Collab,video/mp4,18.000,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000004_seg_178000_196000.mp4,178.000,196.000
vdcr_archive_earth_000010_seg_120000_145000,vdcr_archive_earth_000010,Aa Lava Front Advance,https://archive.org/download/volcanoes/volcanoes.ogv,https://archive.org/details/volcanoes,Volcanoes,video/ogg,25.000,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000010_seg_120000_145000.ogv,120.000,145.000
vdcr_archive_b03_000057_seg_034000_050000_crop,vdcr_archive_b03_000057,Fire Whirl,https://archive.org/download/B.C.FirefighterCapturesVideoOfFireWhirl/B.C.%20firefighter%20captures%20video%20of%20fire%20whirl-.ogv,https://archive.org/details/B.C.FirefighterCapturesVideoOfFireWhirl,B. C. Firefighter Captures Video Of Fire Whirl,video/ogg,16.000,media/vdcr_segments_pilot_v1/vdcr_archive_b03_000057_seg_034000_050000_crop.ogv,34.000,50.000
