video_id,candidate_id,answer,domain,source_url,license_or_usage_note,local_media,review_status,review_notes
vdcr_000001,,Endocytosis,biology_living_systems,,,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000032.mp4,v2_seed,
vdcr_000002,,Exocytosis,biology_living_systems,,,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000035.mp4,v2_seed,
vdcr_000003,,Dzhanibekov Effect / Tennis Racket Theorem,physics_physical_systems,,,media/vdcr_segments_pilot_v1/vdcr_archive_only_000025_seg_005000_034000.mp4,v2_seed,
vdcr_000004,,Briggs-Rauscher Reaction,chemistry_materials_change,,,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000010_seg_030000_060000.mp4,v2_seed,
vdcr_000005,,Double Pendulum Chaos,physics_physical_systems,,,media/vdcr_segments_pilot_v1/vdcr_archive_b04_000014_seg_003000_145000.mp4,v2_seed,
vdcr_000006,,Murmuration,biology_living_systems,,,media/vdcr_raw_pilot_v1/vdcr_archive_b02_000045.ogv,v2_seed,
vdcr_000007,,Diffusion Flame,chemistry_materials_change,,,media/vdcr_raw_pilot_v1/vdcr_archive_b05_000008.ogv,v2_seed,
vdcr_000008,,Slab Avalanche Release,earth_environmental_systems,,,media/vdcr_segments_pilot_v1/vdcr_archive_b03_000054_seg_300000_390000.ogv,v2_seed,
vdcr_000009,,Belousov-Zhabotinsky Reaction,chemistry_materials_change,,,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000007_seg_000000_090000.webm,v2_seed,
vdcr_000010,,Pahoehoe Lava Roping,earth_environmental_systems,,,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000008_seg_1825000_1860000.mp4,v2_seed,
vdcr_000011,,Ice Cliff Calving,earth_environmental_systems,,,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000014_seg_042000_055000.mp4,v2_seed,
vdcr_000012,,Iodine Clock Reaction,chemistry_materials_change,,,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000006_seg_270000_280000_crop.mp4,v2_seed,
vdcr_000013,,Cytoplasmic Streaming,biology_living_systems,,,media/vdcr_segments_pilot_v1/vdcr_archive_b03_000028_seg_075000_115000.mp4,v2_seed,
vdcr_000014,,Thigmonasty,biology_living_systems,,,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000027.mp4,v2_seed,
vdcr_000015,,Shear Thickening,chemistry_materials_change,,,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000004_seg_178000_196000.mp4,v2_seed,
vdcr_000016,,Aa Lava Front Advance,earth_environmental_systems,,,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000010_seg_120000_145000.ogv,v2_seed,
vdcr_000017,,Fire-Whirl Vortex Formation,earth_environmental_systems,,,media/vdcr_segments_pilot_v1/vdcr_archive_b03_000057_seg_034000_050000_crop.ogv,v2_seed,
vdcr_000018,,Chemical Garden Growth,chemistry_materials_change,,,media/vdcr_commons_manual_segments_round1_v1/vdcr_commons_mr1_000001_seg_008000_020000.mp4,v2_seed,
vdcr_000019,,Blue Bottle Reaction,chemistry_materials_change,,,media/vdcr_commons_manual_segments_round1_v1/vdcr_commons_mr1_000002_seg_020000_150000.mp4,v2_seed,
vdcr_000020,,Phototropism,biology_living_systems,,,media/vdcr_commons_manual_round1_v1/vdcr_commons_mr1_000003.webm,v2_seed,
vdcr_000021,,Tidal Bore,earth_environmental_systems,,,media/vdcr_commons_manual_segments_round1_v1/vdcr_commons_mr1_000004_seg_020000_100000.mp4,v2_seed,
vdcr_000022,,Hydraulic Jump,physics_physical_systems,,,media/vdcr_commons_manual_segments_round1_v1/vdcr_commons_mr1_000006_seg_020000_055000.mp4,v2_seed,
vdcr_000023,,Vortex Shedding / Karman Vortex Street,physics_physical_systems,,,media/vdcr_commons_manual_round2_v1/vdcr_commons_mr2_000001.ogv,v2_seed,
