concept_id,domain,subdomain,concept_en,concept_zh,concept_validity_tier,priority,video_availability_guess,current_seed_samples,current_candidates,current_review_queue,target_candidates_per_concept,needed_candidates,expansion_role,query_priority,production_gate
vdcr_concept_0180,biology_living_systems,biology_family_09,Guard-Cell Turgor-Driven Stomatal Aperture Dynamics,保卫细胞膨压驱动气孔孔径动态,core_main,A,medium,0,0,0,3,3,new_concept,0|0|0|1|biology_living_systems|Guard-Cell Turgor-Driven Stomatal Aperture Dynamics,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_concept_0017,physics_physical_systems,physics_family_03,Standing-Wave Mode Formation,驻波模态形成,core_main,A,medium,0,0,0,3,3,new_concept,0|0|0|1|physics_physical_systems|Standing-Wave Mode Formation,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0171,biology_living_systems,biology_family_07,Actin-Driven Filopodium Protrusion,肌动蛋白驱动丝状伪足探伸,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|biology_living_systems|Actin-Driven Filopodium Protrusion,must_show_thin_actin_rich_protrusion_extension_and_retraction_or_exploration_over_time
vdcr_concept_0170,biology_living_systems,biology_family_07,Actin-Driven Lamellipodium Extension,肌动蛋白驱动片状伪足延伸,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|biology_living_systems|Actin-Driven Lamellipodium Extension,must_show_actin_driven_sheetlike_cell_edge_protrusion_over_time
vdcr_concept_0172,biology_living_systems,biology_family_07,Actomyosin Contractile Ring Constriction,细胞收缩环收缩,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|biology_living_systems|Actomyosin Contractile Ring Constriction,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_concept_0181,biology_living_systems,biology_family_09,Chloroplast Photorelocation Movement,叶绿体光定位运动,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|biology_living_systems|Chloroplast Photorelocation Movement,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_concept_0145,biology_living_systems,biology_family_04,Hydrotropism,向水性,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|biology_living_systems|Hydrotropism,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_concept_0167,biology_living_systems,biology_family_06,Pinocytosis,胞饮作用,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|biology_living_systems|Pinocytosis,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_concept_0188,biology_living_systems,biology_family_10,Quorum-Sensing Wave,群体感应波,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|biology_living_systems|Quorum-Sensing Wave,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_concept_0147,biology_living_systems,biology_family_04,Seismonasty,感震性运动,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|biology_living_systems|Seismonasty,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
