concept_id,priority,search_term,initial_category,candidate_knowledge_point,domain_seed,subdomain_seed,why_dynamic,default_start_sec,default_end_sec,notes
vdcr_concept_0180,A,Guard-Cell Turgor-Driven Stomatal Aperture Dynamics,biology_living_systems,Guard-Cell Turgor-Driven Stomatal Aperture Dynamics,biology_living_systems,biology_family_09,"Candidate must show the temporal sequence that instantiates Guard-Cell Turgor-Driven Stomatal Aperture Dynamics, not merely an object, scene, or static result.",0,30,vdcr_v2_expansion_backlog; concept_zh=保卫细胞膨压驱动气孔孔径动态; needed_candidates=3; production_gate=video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_concept_0180,A,Guard-Cell Turgor-Driven Stomatal Aperture Dynamics demonstration,biology_living_systems,Guard-Cell Turgor-Driven Stomatal Aperture Dynamics,biology_living_systems,biology_family_09,"Candidate must show the temporal sequence that instantiates Guard-Cell Turgor-Driven Stomatal Aperture Dynamics, not merely an object, scene, or static result.",0,30,vdcr_v2_expansion_backlog; concept_zh=保卫细胞膨压驱动气孔孔径动态; needed_candidates=3; production_gate=video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_concept_0180,A,Guard-Cell Turgor-Driven Stomatal Aperture Dynamics experiment video,biology_living_systems,Guard-Cell Turgor-Driven Stomatal Aperture Dynamics,biology_living_systems,biology_family_09,"Candidate must show the temporal sequence that instantiates Guard-Cell Turgor-Driven Stomatal Aperture Dynamics, not merely an object, scene, or static result.",0,30,vdcr_v2_expansion_backlog; concept_zh=保卫细胞膨压驱动气孔孔径动态; needed_candidates=3; production_gate=video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_concept_0180,A,保卫细胞膨压驱动气孔孔径动态 Guard-Cell Turgor-Driven Stomatal Aperture Dynamics,biology_living_systems,Guard-Cell Turgor-Driven Stomatal Aperture Dynamics,biology_living_systems,biology_family_09,"Candidate must show the temporal sequence that instantiates Guard-Cell Turgor-Driven Stomatal Aperture Dynamics, not merely an object, scene, or static result.",0,30,vdcr_v2_expansion_backlog; concept_zh=保卫细胞膨压驱动气孔孔径动态; needed_candidates=3; production_gate=video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_concept_0017,A,Standing-Wave Mode Formation,physics_physical_systems,Standing-Wave Mode Formation,physics_physical_systems,physics_family_03,"Candidate must show the temporal sequence that instantiates Standing-Wave Mode Formation, not merely an object, scene, or static result.",0,30,vdcr_v2_expansion_backlog; concept_zh=驻波模态形成; needed_candidates=3; production_gate=video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0017,A,Standing-Wave Mode Formation demonstration,physics_physical_systems,Standing-Wave Mode Formation,physics_physical_systems,physics_family_03,"Candidate must show the temporal sequence that instantiates Standing-Wave Mode Formation, not merely an object, scene, or static result.",0,30,vdcr_v2_expansion_backlog; concept_zh=驻波模态形成; needed_candidates=3; production_gate=video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0017,A,Standing-Wave Mode Formation experiment video,physics_physical_systems,Standing-Wave Mode Formation,physics_physical_systems,physics_family_03,"Candidate must show the temporal sequence that instantiates Standing-Wave Mode Formation, not merely an object, scene, or static result.",0,30,vdcr_v2_expansion_backlog; concept_zh=驻波模态形成; needed_candidates=3; production_gate=video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0017,A,驻波模态形成 Standing-Wave Mode Formation,physics_physical_systems,Standing-Wave Mode Formation,physics_physical_systems,physics_family_03,"Candidate must show the temporal sequence that instantiates Standing-Wave Mode Formation, not merely an object, scene, or static result.",0,30,vdcr_v2_expansion_backlog; concept_zh=驻波模态形成; needed_candidates=3; production_gate=video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0171,B,Actin-Driven Filopodium Protrusion,biology_living_systems,Actin-Driven Filopodium Protrusion,biology_living_systems,biology_family_07,"Candidate must show the temporal sequence that instantiates Actin-Driven Filopodium Protrusion, not merely an object, scene, or static result.",0,30,vdcr_v2_expansion_backlog; concept_zh=肌动蛋白驱动丝状伪足探伸; needed_candidates=3; production_gate=must_show_thin_actin_rich_protrusion_extension_and_retraction_or_exploration_over_time
vdcr_concept_0171,B,Actin-Driven Filopodium Protrusion demonstration,biology_living_systems,Actin-Driven Filopodium Protrusion,biology_living_systems,biology_family_07,"Candidate must show the temporal sequence that instantiates Actin-Driven Filopodium Protrusion, not merely an object, scene, or static result.",0,30,vdcr_v2_expansion_backlog; concept_zh=肌动蛋白驱动丝状伪足探伸; needed_candidates=3; production_gate=must_show_thin_actin_rich_protrusion_extension_and_retraction_or_exploration_over_time
vdcr_concept_0171,B,Actin-Driven Filopodium Protrusion experiment video,biology_living_systems,Actin-Driven Filopodium Protrusion,biology_living_systems,biology_family_07,"Candidate must show the temporal sequence that instantiates Actin-Driven Filopodium Protrusion, not merely an object, scene, or static result.",0,30,vdcr_v2_expansion_backlog; concept_zh=肌动蛋白驱动丝状伪足探伸; needed_candidates=3; production_gate=must_show_thin_actin_rich_protrusion_extension_and_retraction_or_exploration_over_time
vdcr_concept_0171,B,肌动蛋白驱动丝状伪足探伸 Actin-Driven Filopodium Protrusion,biology_living_systems,Actin-Driven Filopodium Protrusion,biology_living_systems,biology_family_07,"Candidate must show the temporal sequence that instantiates Actin-Driven Filopodium Protrusion, not merely an object, scene, or static result.",0,30,vdcr_v2_expansion_backlog; concept_zh=肌动蛋白驱动丝状伪足探伸; needed_candidates=3; production_gate=must_show_thin_actin_rich_protrusion_extension_and_retraction_or_exploration_over_time
vdcr_concept_0170,B,Actin-Driven Lamellipodium Extension,biology_living_systems,Actin-Driven Lamellipodium Extension,biology_living_systems,biology_family_07,"Candidate must show the temporal sequence that instantiates Actin-Driven Lamellipodium Extension, not merely an object, scene, or static result.",0,30,vdcr_v2_expansion_backlog; concept_zh=肌动蛋白驱动片状伪足延伸; needed_candidates=3; production_gate=must_show_actin_driven_sheetlike_cell_edge_protrusion_over_time
vdcr_concept_0170,B,Actin-Driven Lamellipodium Extension demonstration,biology_living_systems,Actin-Driven Lamellipodium Extension,biology_living_systems,biology_family_07,"Candidate must show the temporal sequence that instantiates Actin-Driven Lamellipodium Extension, not merely an object, scene, or static result.",0,30,vdcr_v2_expansion_backlog; concept_zh=肌动蛋白驱动片状伪足延伸; needed_candidates=3; production_gate=must_show_actin_driven_sheetlike_cell_edge_protrusion_over_time
vdcr_concept_0170,B,Actin-Driven Lamellipodium Extension experiment video,biology_living_systems,Actin-Driven Lamellipodium Extension,biology_living_systems,biology_family_07,"Candidate must show the temporal sequence that instantiates Actin-Driven Lamellipodium Extension, not merely an object, scene, or static result.",0,30,vdcr_v2_expansion_backlog; concept_zh=肌动蛋白驱动片状伪足延伸; needed_candidates=3; production_gate=must_show_actin_driven_sheetlike_cell_edge_protrusion_over_time
vdcr_concept_0170,B,肌动蛋白驱动片状伪足延伸 Actin-Driven Lamellipodium Extension,biology_living_systems,Actin-Driven Lamellipodium Extension,biology_living_systems,biology_family_07,"Candidate must show the temporal sequence that instantiates Actin-Driven Lamellipodium Extension, not merely an object, scene, or static result.",0,30,vdcr_v2_expansion_backlog; concept_zh=肌动蛋白驱动片状伪足延伸; needed_candidates=3; production_gate=must_show_actin_driven_sheetlike_cell_edge_protrusion_over_time
vdcr_concept_0172,B,Actomyosin Contractile Ring Constriction,biology_living_systems,Actomyosin Contractile Ring Constriction,biology_living_systems,biology_family_07,"Candidate must show the temporal sequence that instantiates Actomyosin Contractile Ring Constriction, not merely an object, scene, or static result.",0,30,vdcr_v2_expansion_backlog; concept_zh=细胞收缩环收缩; needed_candidates=3; production_gate=video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_concept_0172,B,Actomyosin Contractile Ring Constriction demonstration,biology_living_systems,Actomyosin Contractile Ring Constriction,biology_living_systems,biology_family_07,"Candidate must show the temporal sequence that instantiates Actomyosin Contractile Ring Constriction, not merely an object, scene, or static result.",0,30,vdcr_v2_expansion_backlog; concept_zh=细胞收缩环收缩; needed_candidates=3; production_gate=video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
