concept_id,priority,search_term,initial_category,candidate_knowledge_point,domain_seed,subdomain_seed,why_dynamic,default_start_sec,default_end_sec,notes
vdcr_concept_0063,B,Bingham Yield Flow,chemistry_materials_change,Bingham Yield Flow,chemistry_materials_change,materials_family_01,"Candidate must show the temporal sequence that instantiates Bingham Yield Flow, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=宾汉屈服流动; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0063,B,Bingham Yield Flow demonstration,chemistry_materials_change,Bingham Yield Flow,chemistry_materials_change,materials_family_01,"Candidate must show the temporal sequence that instantiates Bingham Yield Flow, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=宾汉屈服流动; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0063,B,Bingham Yield Flow experiment video,chemistry_materials_change,Bingham Yield Flow,chemistry_materials_change,materials_family_01,"Candidate must show the temporal sequence that instantiates Bingham Yield Flow, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=宾汉屈服流动; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0063,B,宾汉屈服流动 Bingham Yield Flow,chemistry_materials_change,Bingham Yield Flow,chemistry_materials_change,materials_family_01,"Candidate must show the temporal sequence that instantiates Bingham Yield Flow, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=宾汉屈服流动; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0092,B,Cellular Flame Instability,chemistry_materials_change,Cellular Flame Instability,chemistry_materials_change,materials_family_07,"Candidate must show the temporal sequence that instantiates Cellular Flame Instability, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=火焰胞状不稳定性; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0092,B,Cellular Flame Instability demonstration,chemistry_materials_change,Cellular Flame Instability,chemistry_materials_change,materials_family_07,"Candidate must show the temporal sequence that instantiates Cellular Flame Instability, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=火焰胞状不稳定性; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0092,B,Cellular Flame Instability experiment video,chemistry_materials_change,Cellular Flame Instability,chemistry_materials_change,materials_family_07,"Candidate must show the temporal sequence that instantiates Cellular Flame Instability, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=火焰胞状不稳定性; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0092,B,火焰胞状不稳定性 Cellular Flame Instability,chemistry_materials_change,Cellular Flame Instability,chemistry_materials_change,materials_family_07,"Candidate must show the temporal sequence that instantiates Cellular Flame Instability, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=火焰胞状不稳定性; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0105,B,Gel Deswelling Collapse,chemistry_materials_change,Gel Deswelling Collapse,chemistry_materials_change,materials_family_09,"Candidate must show the temporal sequence that instantiates Gel Deswelling Collapse, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=凝胶去溶胀塌缩; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0105,B,Gel Deswelling Collapse demonstration,chemistry_materials_change,Gel Deswelling Collapse,chemistry_materials_change,materials_family_09,"Candidate must show the temporal sequence that instantiates Gel Deswelling Collapse, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=凝胶去溶胀塌缩; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0105,B,Gel Deswelling Collapse experiment video,chemistry_materials_change,Gel Deswelling Collapse,chemistry_materials_change,materials_family_09,"Candidate must show the temporal sequence that instantiates Gel Deswelling Collapse, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=凝胶去溶胀塌缩; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0105,B,凝胶去溶胀塌缩 Gel Deswelling Collapse,chemistry_materials_change,Gel Deswelling Collapse,chemistry_materials_change,materials_family_09,"Candidate must show the temporal sequence that instantiates Gel Deswelling Collapse, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=凝胶去溶胀塌缩; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0087,B,Nucleation-and-Growth Phase Separation,chemistry_materials_change,Nucleation-and-Growth Phase Separation,chemistry_materials_change,materials_family_06,"Candidate must show the temporal sequence that instantiates Nucleation-and-Growth Phase Separation, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=成核与生长相分离; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0087,B,Nucleation-and-Growth Phase Separation demonstration,chemistry_materials_change,Nucleation-and-Growth Phase Separation,chemistry_materials_change,materials_family_06,"Candidate must show the temporal sequence that instantiates Nucleation-and-Growth Phase Separation, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=成核与生长相分离; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0087,B,Nucleation-and-Growth Phase Separation experiment video,chemistry_materials_change,Nucleation-and-Growth Phase Separation,chemistry_materials_change,materials_family_06,"Candidate must show the temporal sequence that instantiates Nucleation-and-Growth Phase Separation, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=成核与生长相分离; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0087,B,成核与生长相分离 Nucleation-and-Growth Phase Separation,chemistry_materials_change,Nucleation-and-Growth Phase Separation,chemistry_materials_change,materials_family_06,"Candidate must show the temporal sequence that instantiates Nucleation-and-Growth Phase Separation, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=成核与生长相分离; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0088,B,Phase Boundary Migration,chemistry_materials_change,Phase Boundary Migration,chemistry_materials_change,materials_family_06,"Candidate must show the temporal sequence that instantiates Phase Boundary Migration, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=相界面迁移; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0088,B,Phase Boundary Migration demonstration,chemistry_materials_change,Phase Boundary Migration,chemistry_materials_change,materials_family_06,"Candidate must show the temporal sequence that instantiates Phase Boundary Migration, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=相界面迁移; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0088,B,Phase Boundary Migration experiment video,chemistry_materials_change,Phase Boundary Migration,chemistry_materials_change,materials_family_06,"Candidate must show the temporal sequence that instantiates Phase Boundary Migration, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=相界面迁移; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0088,B,相界面迁移 Phase Boundary Migration,chemistry_materials_change,Phase Boundary Migration,chemistry_materials_change,materials_family_06,"Candidate must show the temporal sequence that instantiates Phase Boundary Migration, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=相界面迁移; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0091,B,Premixed Flame Propagation,chemistry_materials_change,Premixed Flame Propagation,chemistry_materials_change,materials_family_07,"Candidate must show the temporal sequence that instantiates Premixed Flame Propagation, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=预混火焰传播; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0091,B,Premixed Flame Propagation demonstration,chemistry_materials_change,Premixed Flame Propagation,chemistry_materials_change,materials_family_07,"Candidate must show the temporal sequence that instantiates Premixed Flame Propagation, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=预混火焰传播; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0091,B,Premixed Flame Propagation experiment video,chemistry_materials_change,Premixed Flame Propagation,chemistry_materials_change,materials_family_07,"Candidate must show the temporal sequence that instantiates Premixed Flame Propagation, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=预混火焰传播; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0091,B,预混火焰传播 Premixed Flame Propagation,chemistry_materials_change,Premixed Flame Propagation,chemistry_materials_change,materials_family_07,"Candidate must show the temporal sequence that instantiates Premixed Flame Propagation, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=预混火焰传播; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0060,B,Shear Thinning,chemistry_materials_change,Shear Thinning,chemistry_materials_change,materials_family_01,"Candidate must show the temporal sequence that instantiates Shear Thinning, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=剪切变稀; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0060,B,Shear Thinning demonstration,chemistry_materials_change,Shear Thinning,chemistry_materials_change,materials_family_01,"Candidate must show the temporal sequence that instantiates Shear Thinning, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=剪切变稀; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0060,B,Shear Thinning experiment video,chemistry_materials_change,Shear Thinning,chemistry_materials_change,materials_family_01,"Candidate must show the temporal sequence that instantiates Shear Thinning, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=剪切变稀; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0060,B,剪切变稀 Shear Thinning,chemistry_materials_change,Shear Thinning,chemistry_materials_change,materials_family_01,"Candidate must show the temporal sequence that instantiates Shear Thinning, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=剪切变稀; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0067,B,Spherulitic Growth,chemistry_materials_change,Spherulitic Growth,chemistry_materials_change,materials_family_02,"Candidate must show the temporal sequence that instantiates Spherulitic Growth, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=球晶生长; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0067,B,Spherulitic Growth demonstration,chemistry_materials_change,Spherulitic Growth,chemistry_materials_change,materials_family_02,"Candidate must show the temporal sequence that instantiates Spherulitic Growth, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=球晶生长; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0067,B,Spherulitic Growth experiment video,chemistry_materials_change,Spherulitic Growth,chemistry_materials_change,materials_family_02,"Candidate must show the temporal sequence that instantiates Spherulitic Growth, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=球晶生长; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0067,B,球晶生长 Spherulitic Growth,chemistry_materials_change,Spherulitic Growth,chemistry_materials_change,materials_family_02,"Candidate must show the temporal sequence that instantiates Spherulitic Growth, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=球晶生长; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0080,B,Surfactant-Driven Droplet Motion,chemistry_materials_change,Surfactant-Driven Droplet Motion,chemistry_materials_change,materials_family_05,"Candidate must show the temporal sequence that instantiates Surfactant-Driven Droplet Motion, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=表面活性剂驱动液滴运动; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0080,B,Surfactant-Driven Droplet Motion demonstration,chemistry_materials_change,Surfactant-Driven Droplet Motion,chemistry_materials_change,materials_family_05,"Candidate must show the temporal sequence that instantiates Surfactant-Driven Droplet Motion, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=表面活性剂驱动液滴运动; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0080,B,Surfactant-Driven Droplet Motion experiment video,chemistry_materials_change,Surfactant-Driven Droplet Motion,chemistry_materials_change,materials_family_05,"Candidate must show the temporal sequence that instantiates Surfactant-Driven Droplet Motion, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=表面活性剂驱动液滴运动; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0080,B,表面活性剂驱动液滴运动 Surfactant-Driven Droplet Motion,chemistry_materials_change,Surfactant-Driven Droplet Motion,chemistry_materials_change,materials_family_05,"Candidate must show the temporal sequence that instantiates Surfactant-Driven Droplet Motion, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=表面活性剂驱动液滴运动; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0061,B,Thixotropy,chemistry_materials_change,Thixotropy,chemistry_materials_change,materials_family_01,"Candidate must show the temporal sequence that instantiates Thixotropy, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=触变性; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0061,B,Thixotropy demonstration,chemistry_materials_change,Thixotropy,chemistry_materials_change,materials_family_01,"Candidate must show the temporal sequence that instantiates Thixotropy, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=触变性; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0061,B,Thixotropy experiment video,chemistry_materials_change,Thixotropy,chemistry_materials_change,materials_family_01,"Candidate must show the temporal sequence that instantiates Thixotropy, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=触变性; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0061,B,触变性 Thixotropy,chemistry_materials_change,Thixotropy,chemistry_materials_change,materials_family_01,"Candidate must show the temporal sequence that instantiates Thixotropy, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=触变性; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0099,C,Corrosion Pit Growth,chemistry_materials_change,Corrosion Pit Growth,chemistry_materials_change,materials_family_08,"Candidate must show the temporal sequence that instantiates Corrosion Pit Growth, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=腐蚀坑扩展; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0099,C,Corrosion Pit Growth demonstration,chemistry_materials_change,Corrosion Pit Growth,chemistry_materials_change,materials_family_08,"Candidate must show the temporal sequence that instantiates Corrosion Pit Growth, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=腐蚀坑扩展; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0099,C,Corrosion Pit Growth experiment video,chemistry_materials_change,Corrosion Pit Growth,chemistry_materials_change,materials_family_08,"Candidate must show the temporal sequence that instantiates Corrosion Pit Growth, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=腐蚀坑扩展; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0099,C,腐蚀坑扩展 Corrosion Pit Growth,chemistry_materials_change,Corrosion Pit Growth,chemistry_materials_change,materials_family_08,"Candidate must show the temporal sequence that instantiates Corrosion Pit Growth, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=腐蚀坑扩展; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0103,C,Polymerization Shrinkage Front,chemistry_materials_change,Polymerization Shrinkage Front,chemistry_materials_change,materials_family_09,"Candidate must show the temporal sequence that instantiates Polymerization Shrinkage Front, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=聚合收缩前沿; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0103,C,Polymerization Shrinkage Front demonstration,chemistry_materials_change,Polymerization Shrinkage Front,chemistry_materials_change,materials_family_09,"Candidate must show the temporal sequence that instantiates Polymerization Shrinkage Front, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=聚合收缩前沿; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0103,C,Polymerization Shrinkage Front experiment video,chemistry_materials_change,Polymerization Shrinkage Front,chemistry_materials_change,materials_family_09,"Candidate must show the temporal sequence that instantiates Polymerization Shrinkage Front, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=聚合收缩前沿; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0103,C,聚合收缩前沿 Polymerization Shrinkage Front,chemistry_materials_change,Polymerization Shrinkage Front,chemistry_materials_change,materials_family_09,"Candidate must show the temporal sequence that instantiates Polymerization Shrinkage Front, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=聚合收缩前沿; existing_candidates=0; target_candidates_per_concept=3
vdcr_concept_0100,C,Anodic Oxide Film Growth,chemistry_materials_change,Anodic Oxide Film Growth,chemistry_materials_change,materials_family_08,"Candidate must show the temporal sequence that instantiates Anodic Oxide Film Growth, not merely an object, scene, or static result.",0,30,vdcr_v2_gap_query; concept_zh=阳极氧化膜生长; existing_candidates=0; target_candidates_per_concept=3
