candidate_id,candidate_knowledge_point,concept_id,domain_seed,subdomain_seed,source_platform,source_url,license_or_usage_note,local_media,contact_sheet,suggested_start_sec,suggested_end_sec,repeat_concept_rank,repeat_concept_cap,triage_status,visual_gate_focus,reviewer_decision,reviewer_notes
curated_003002,Phototropism,vdcr_concept_0143,biology_living_systems,biology_family_04,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Azuki_Bean_phototropism.ogv,public_domain_verify_on_page,media/vdcr_curated_expansion_v2/curated_003002.ogv,reports/vdcr_v2_curated_expansion_sparse_sheets/curated_003002_sparse.jpg,0.0,34.0,3,3,ready_for_manual_review,"Candidate should show plant bending/growth direction change in response to light over time, not merely a static plant orientation.",,
curated_003001,Tendril Circumnutation,vdcr_concept_0149,biology_living_systems,biology_family_04,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Cucumber_Climb.webm,CC BY 3.0 verify_on_page,media/vdcr_curated_expansion_v2/curated_003001.webm,reports/vdcr_v2_curated_expansion_sparse_sheets/curated_003001_sparse.jpg,0.0,17.0,1,3,ready_for_manual_review,"Candidate should show a cucumber tendril moving/searching for support over time, not merely a static vine or plant image.",,
curated_002004,Blue Bottle Reaction,vdcr_concept_0071,chemistry_materials_change,materials_family_03,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Blue-bottle_reaction_(Oscillating_reaction).webm,wikimedia_commons_license_verify_on_page,media/vdcr_curated_chemistry_v2/curated_002004.webm,reports/vdcr_v2_curated_chemistry_sparse_sheets/curated_002004_sparse.jpg,0.0,45.0,2,3,ready_for_manual_review,"Candidate should show repeated blue/colorless redox cycling in the blue bottle reaction, not merely a static colored solution.",,
curated_002005,Blue Bottle Reaction,vdcr_concept_0071,chemistry_materials_change,materials_family_03,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Pattern_Formation_from_Blue_Bottle_Experiment_in_Ice_Water_Bath.webm,CC BY-SA 4.0 verify_on_page,media/vdcr_curated_chemistry_v2/curated_002005.webm,reports/vdcr_v2_curated_chemistry_sparse_sheets/curated_002005_sparse.jpg,0.0,22.0,3,3,ready_for_manual_review,"Candidate should show visible pattern or color evolution from the blue bottle experiment over time, not merely a static color pattern.",,
curated_002006,Briggs-Rauscher Reaction,vdcr_concept_0074,chemistry_materials_change,materials_family_03,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Briggs%E2%80%93Rauscher_reaction.webm,CC BY-SA 4.0 verify_on_page,media/vdcr_curated_chemistry_v2/curated_002006.webm,reports/vdcr_v2_curated_chemistry_sparse_sheets/curated_002006_sparse.jpg,0.0,32.0,2,3,ready_for_manual_review,"Candidate should show oscillating color changes characteristic of the Briggs-Rauscher reaction, not merely a static reaction vessel.",,
curated_002003,Chemical Garden Growth,vdcr_concept_0076,chemistry_materials_change,materials_family_04,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Growth_of_a_chemical_garden.ogv,wikimedia_commons_license_verify_on_page,media/vdcr_curated_chemistry_v2/curated_002003.ogv,reports/vdcr_v2_curated_chemistry_sparse_sheets/curated_002003_sparse.jpg,0.0,32.0,2,3,ready_for_manual_review,"Candidate should show mineral tube growth over time in a chemical garden, not merely the final grown structure.",,
curated_002001,Iodine Clock Reaction,vdcr_concept_0070,chemistry_materials_change,materials_family_03,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Iodine_Clock_Reaction.ogv,wikimedia_commons_license_verify_on_page,media/vdcr_curated_chemistry_v2/curated_002001.ogv,reports/vdcr_v2_curated_chemistry_sparse_sheets/curated_002001_sparse.jpg,0.0,30.0,2,3,ready_for_manual_review,"Candidate should show the delayed rapid color change of an iodine clock reaction, not merely a static flask or explanatory setup.",,
curated_002002,Iodine Clock Reaction,vdcr_concept_0070,chemistry_materials_change,materials_family_03,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Iodine_clock_-_persulphate.ogv,CC BY-SA 3.0 verify_on_page,media/vdcr_curated_chemistry_v2/curated_002002.ogv,reports/vdcr_v2_curated_chemistry_sparse_sheets/curated_002002_sparse.jpg,0.0,30.0,3,3,ready_for_manual_review,"Candidate should show the delayed rapid color change of an iodine clock reaction, not merely a static flask or explanatory setup.",,
curated_003004,Capillary-Driven Droplet Coalescence,vdcr_concept_0011,physics_physical_systems,physics_family_02,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Spontaneous-assembly-of-chemically-encoded-two-dimensional-coacervate-droplet-arrays-by-acoustic-ncomms13068-s2.ogv,CC BY 4.0 verify_on_page,media/vdcr_curated_expansion_v2/curated_003004.ogv,reports/vdcr_v2_curated_expansion_sparse_sheets/curated_003004_sparse.jpg,0.0,34.0,1,3,ready_for_manual_review,Candidate should show primary droplets merging into larger droplets over time; reviewer must check whether capillary coalescence is visually grounded rather than only source-described.,,
curated_003003,Standing-Wave Mode Formation,vdcr_concept_0017,physics_physical_systems,physics_family_03,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Dipole_xmting_antenna_animation_2_pulses_HD_1080_12_fps.webm,wikimedia_commons_license_verify_on_page,media/vdcr_curated_expansion_v2/curated_003003.webm,reports/vdcr_v2_curated_expansion_sparse_sheets/curated_003003_sparse.jpg,0.0,9.3,1,3,ready_for_manual_review,"Candidate should show oscillatory standing-wave current or field mode structure forming over time, not merely a static wave diagram.",,
