id,candidate_id,candidate_knowledge_point,concept_id,concept_cluster_id,domain_seed,subdomain_seed,source_platform,source_url,license_or_usage_note,raw_duration_sec,local_media,contact_sheet,review_status,recommended_action,suggested_start_sec,suggested_end_sec,review_notes,v1_review_status,v1_seed_status,domain_target_gap,repeat_concept_rank,repeat_concept_cap,source_csv
vdcr_commons_mr13_000005,vdcr_commons_mr13_000005,Rayleigh-Taylor Instability,vdcr_concept_0005,vdcr_concept_0005,physics_physical_systems,physics_family_01,wikimedia_commons,https://commons.wikimedia.org/wiki/File:HD-Rayleigh-Taylor.gif,Public domain USGov,0.1,,,review,inspect_video,0,0.1,"Candidate must show the temporal sequence that instantiates Rayleigh-Taylor Instability, not merely an object, scene, or static result.",pass_candidate,new_candidate,32,1,3,data/vdcr_candidate_videos_combined_v1.csv
vdcr_commons_mr19_000004,vdcr_commons_mr19_000004,Glacier Surge,vdcr_concept_0221,vdcr_concept_0221,earth_environmental_systems,earth_family_05,national_park_service,https://www.nps.gov/media/video/view.htm?id=3891AE87-2739-4586-BA36-E57FCE285B37,Public domain NPS video credited to NPS without copyright symbol,30,,,review,inspect_video,0,30,"Candidate must show rapid surge-phase glacier toe advance and surface thickening/uplift over time, not ordinary slow glacier retreat or static ice morphology.",pass_candidate,new_candidate,32,1,3,data/vdcr_candidate_videos_combined_v1.csv
vdcr_archive_b08_000002,vdcr_archive_b08_000002,Magnetic Reconnection,vdcr_concept_0047,vdcr_concept_0047,physics_physical_systems,physics_family_07,internet_archive,https://archive.org/details/CIL-10072,archive_license_verify_on_page,15.6,,,review,inspect_video,0.0,15.6,"Candidate must show the temporal sequence that instantiates Magnetic Reconnection, not merely an object, scene, or static result.",pass_candidate,new_candidate,31,1,3,data/vdcr_candidate_videos_combined_v1.csv
vdcr_archive_b08_000009,vdcr_archive_b08_000009,Coronal Mass Ejection,vdcr_concept_0053,vdcr_concept_0053,physics_physical_systems,physics_family_07,internet_archive,https://archive.org/details/VE-VID-16618,archive_license_verify_on_page,5.2,,,review,inspect_video,0.0,5.2,"Candidate must show the temporal sequence that instantiates Coronal Mass Ejection, not merely an object, scene, or static result.",pass_candidate,new_candidate,30,1,3,data/vdcr_candidate_videos_combined_v1.csv
vdcr_archive_only_000003,vdcr_archive_only_000003,Rayleigh-Taylor Instability,vdcr_concept_0005,vdcr_concept_0005,physics_physical_systems,physics_family_01,internet_archive,https://archive.org/details/SVS-39,archive_license_verify_on_page,15.0,,,review,inspect_video,0.0,15.0,"Candidate must show the temporal sequence that instantiates Rayleigh-Taylor Instability, not merely an object, scene, or static result.",revise,new_candidate,29,2,3,data/vdcr_candidate_videos_combined_v1.csv
vdcr_commons_mr10_000003,vdcr_commons_mr10_000003,Marangoni-Driven Flow,vdcr_concept_0015,vdcr_concept_0015,physics_physical_systems,physics_family_02,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Marangoni_effect_experimental_demonstration.ogv,CC-BY-3.0 Commons own work,29.0,,,review,inspect_video,0.0,29.0,"Candidate must show surface-tension-gradient-driven liquid motion after surfactant/alcohol perturbation, not ordinary spreading or stirring.",revise,new_candidate,28,2,3,data/vdcr_candidate_videos_combined_v1.csv
vdcr_commons_mr7_000003,vdcr_commons_mr7_000003,Meander Neck Cutoff,vdcr_concept_0196,vdcr_concept_0196,earth_environmental_systems,earth_family_02,wikimedia_commons,https://commons.wikimedia.org/wiki/File:OxbowAnimation.gif,CC-BY-SA-3.0/GFDL Commons animated GIF,13.0,,,review,inspect_video,0.0,13.0,"Candidate must show a meander neck narrowing, cutoff formation, and abandoned loop/oxbow development over time, not a static river shape.",revise,new_candidate,31,2,3,data/vdcr_candidate_videos_combined_v1.csv
vdcr_archive_b08_000006,vdcr_archive_b08_000006,Solar Prominence Eruption,vdcr_concept_0052,vdcr_concept_0052,physics_physical_systems,physics_family_07,internet_archive,https://archive.org/details/youtube-L1X8oEbuCUA,archive_license_verify_on_page,67.0,,,review,inspect_video,0.0,30.0,"Candidate must show the temporal sequence that instantiates Solar Prominence Eruption, not merely an object, scene, or static result.",revise,new_candidate,27,1,3,data/vdcr_candidate_videos_combined_v1.csv
vdcr_archive_only_000002,vdcr_archive_only_000002,Rayleigh-Taylor Instability,vdcr_concept_0005,vdcr_concept_0005,physics_physical_systems,physics_family_01,internet_archive,https://archive.org/details/SVS-44,archive_license_verify_on_page,15.8,,,review,inspect_video,0.0,15.8,"Candidate must show the temporal sequence that instantiates Rayleigh-Taylor Instability, not merely an object, scene, or static result.",review,new_candidate,26,3,3,data/vdcr_candidate_videos_combined_v1.csv
vdcr_commons_mr13_000002,vdcr_commons_mr13_000002,Faraday Waves,vdcr_concept_0019,vdcr_concept_0019,physics_physical_systems,physics_family_03,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Assembly_of_microscale_beads_on_Faraday_waves.gif,CC BY-SA 3.0,0,,,review,inspect_video,0,0,"Candidate must show the temporal sequence that instantiates Faraday Waves, not merely an object, scene, or static result.",review,new_candidate,25,2,3,data/vdcr_candidate_videos_combined_v1.csv
vdcr_archive_b07_000003,vdcr_archive_b07_000003,Wall Cloud Rotation,vdcr_concept_0193,vdcr_concept_0193,earth_environmental_systems,earth_family_01,internet_archive,https://archive.org/details/Flickr-2558636981,https://creativecommons.org/licenses/by-nd/2.0/,30.0,,,review,inspect_video,0.0,30.0,"Candidate must show the temporal sequence that instantiates Wall Cloud Rotation, not merely an object, scene, or static result.",review,new_candidate,30,1,3,data/vdcr_candidate_videos_combined_v1.csv
vdcr_commons_mr12_000004,vdcr_commons_mr12_000004,Rip Current Formation,vdcr_concept_0237,vdcr_concept_0237,earth_environmental_systems,earth_family_08,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Brandungsr%C3%BCckstrom_(Wangerooge).webm,CC BY-SA 4.0,33,,,review,inspect_video,0,33,"Candidate must show the temporal sequence that instantiates Rip Current Formation, not merely an object, scene, or static result.",review,new_candidate,29,2,3,data/vdcr_candidate_videos_combined_v1.csv
vdcr_archive_b08_000003,vdcr_archive_b08_000003,Magnetic Reconnection,vdcr_concept_0047,vdcr_concept_0047,physics_physical_systems,physics_family_07,internet_archive,https://archive.org/details/CIL-10059,archive_license_verify_on_page,30.9,,,review,inspect_video,0.0,30.0,"Candidate must show the temporal sequence that instantiates Magnetic Reconnection, not merely an object, scene, or static result.",review,new_candidate,24,2,3,data/vdcr_candidate_videos_combined_v1.csv
