media_asset_id,video_id,source_id,file_path,original_local_media,source_url,direct_url,license_or_usage_note,is_derivative,start_sec,end_sec,transform_note,sha256,bytes,status,error
vdcr_v1_000001,vdcr_000001,vdcr_archive_b03_000032,release/media/videos/vdcr_v1_000001.mp4,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000032.mp4,https://archive.org/details/yt_0sclkA3hoMk,https://archive.org/download/yt_0sclkA3hoMk/0sclkA3hoMk.mp4,archive_license_verify_on_page,false,,,,9dc706b3e903dddfd692972e8265a842fdbb5d0bcae1bbd595b56eca8f1716c8,847607,existing_release,
vdcr_v1_000002,vdcr_000002,vdcr_archive_b03_000035,release/media/videos/vdcr_v1_000002.mp4,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000035.mp4,https://archive.org/details/yt_pCpgtHum0oA,https://archive.org/download/yt_pCpgtHum0oA/pCpgtHum0oA.mp4,archive_license_verify_on_page,false,,,,1f2bac02bfcfa2140a645e73f76a5986bfc041c42b64fa6762059f09df87cbf8,601539,existing_release,
vdcr_v1_000003,vdcr_000003,vdcr_archive_only_000025,release/media/videos/vdcr_v1_000003.mp4,media/vdcr_segments_pilot_v1/vdcr_archive_only_000025_seg_005000_034000.mp4,https://archive.org/details/youtube-vklY1bHIi1I,https://archive.org/download/youtube-vklY1bHIi1I/vklY1bHIi1I.mp4,archive_license_verify_on_page,true,5.0,34.0,seg_005000_034000,806c5a6b2e6437563090ce4c6560fee8852c9e848ff6e3444db39d2e8b2814e6,2112650,existing_release,
vdcr_v1_000004,vdcr_000004,vdcr_archive_b02_000010,release/media/videos/vdcr_v1_000004.mp4,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000010_seg_030000_060000.mp4,https://archive.org/details/youtube-VjPQA8aXE_M,https://archive.org/download/youtube-VjPQA8aXE_M/VjPQA8aXE_M.mp4,archive_license_verify_on_page,true,30.0,60.0,seg_030000_060000,fc27ca8f0b70dd82c3233db5e9d63369d169deb5e49d4447073459f56b9d8bad,1082121,existing_release,
vdcr_v1_000005,vdcr_000005,vdcr_archive_b04_000014,release/media/videos/vdcr_v1_000005.mp4,media/vdcr_segments_pilot_v1/vdcr_archive_b04_000014_seg_003000_145000.mp4,https://archive.org/details/DoublePendulum,https://archive.org/download/DoublePendulum/DoublePendulum_512kb.mp4,http://creativecommons.org/licenses/by-sa/3.0/us/,true,3.0,145.0,seg_003000_145000,8338bc1645b2c9ffd13fa68bdd682da38c224d4fa2b2ced45f5be5b074397a1e,6756225,existing_release,
vdcr_v1_000006,vdcr_000006,vdcr_archive_b02_000045,release/media/videos/vdcr_v1_000006.ogv,media/vdcr_raw_pilot_v1/vdcr_archive_b02_000045.ogv,https://archive.org/details/Flickr-38609728842,https://archive.org/download/Flickr-38609728842/Starling_Murmuration-38609728842.ogv,https://creativecommons.org/licenses/by/2.0/,false,,,,33c37967458228a370efe5fb5c0120170839e7eb55d662e3a5c60fdd0c0f805e,7420577,existing_release,
vdcr_v1_000007,vdcr_000007,vdcr_archive_b05_000008,release/media/videos/vdcr_v1_000007.ogv,media/vdcr_raw_pilot_v1/vdcr_archive_b05_000008.ogv,https://archive.org/details/MSFC-0300185,https://archive.org/download/MSFC-0300185/0300185.ogv,archive_license_verify_on_page,false,,,,ca3e78bb513d9df638076765648965522e51d0d938d394b0a0b462466b6eb83f,414324,existing_release,
vdcr_v1_000008,vdcr_000008,vdcr_archive_b03_000054,release/media/videos/vdcr_v1_000008.ogv,media/vdcr_segments_pilot_v1/vdcr_archive_b03_000054_seg_300000_390000.ogv,https://archive.org/details/WaSeUMCEMC4178AvalancheDynamics,https://archive.org/download/WaSeUMCEMC4178AvalancheDynamics/WaSeUMC_EMC4-178_AvalancheDynamics_uncorrected.ogv,http://creativecommons.org/licenses/by-nc-sa/3.0/,true,300.0,390.0,seg_300000_390000,d27f26b848d8b2d2b5edefeafa4e20998cd7cd78b73f25e6ea9d631d378d3551,8234218,existing_release,
vdcr_v1_000009,vdcr_000009,vdcr_archive_b02_000007,release/media/videos/vdcr_v1_000009.webm,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000007_seg_000000_090000.webm,https://archive.org/details/youtube-r7pijdgK670,https://archive.org/download/youtube-r7pijdgK670/r7pijdgK670.webm,archive_license_verify_on_page,true,0.0,90.0,seg_000000_090000,a445a1b2515ffed041624ba6975bb48a2d6d0d6104799ac15f4ad5a2cb2da015,9787424,existing_release,
vdcr_v1_000010,vdcr_000010,vdcr_archive_earth_000008,release/media/videos/vdcr_v1_000010.mp4,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000008_seg_1825000_1860000.mp4,https://archive.org/details/erputive-phenomea,https://archive.org/download/erputive-phenomea/erputive-phenomea.mp4,archive_license_verify_on_page,true,1825.0,1860.0,seg_1825000_1860000,daa144508364f70bdeeec40962d103d1feb996d8063d64a9a4431d74d58901cb,6131961,existing_release,
