media_asset_id,video_id,source_id,file_path,source_file_path,original_local_media,source_url,direct_url,license_or_usage_note,is_derivative,start_sec,end_sec,transform_note,source_status,sha256,bytes,status,error
vdcr_v1_000001,vdcr_000001,vdcr_archive_b03_000032,release/media/videos_mp4/vdcr_v1_000001.mp4,release/media/videos/vdcr_v1_000001.mp4,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000032.mp4,https://archive.org/details/yt_0sclkA3hoMk,https://archive.org/download/yt_0sclkA3hoMk/0sclkA3hoMk.mp4,archive_license_verify_on_page,false,,,,existing_release,f825b7a330eac233094cde371863238a5be4fbf7af0a95ac3b900487edbbb201,680598,converted,
vdcr_v1_000002,vdcr_000002,vdcr_archive_b03_000035,release/media/videos_mp4/vdcr_v1_000002.mp4,release/media/videos/vdcr_v1_000002.mp4,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000035.mp4,https://archive.org/details/yt_pCpgtHum0oA,https://archive.org/download/yt_pCpgtHum0oA/pCpgtHum0oA.mp4,archive_license_verify_on_page,false,,,,existing_release,87d2a0af4ddfdf240d61af8c7a6eabd22e161df99a3866f70708e8092af44c77,222085,converted,
vdcr_v1_000003,vdcr_000003,vdcr_archive_only_000025,release/media/videos_mp4/vdcr_v1_000003.mp4,release/media/videos/vdcr_v1_000003.mp4,media/vdcr_segments_pilot_v1/vdcr_archive_only_000025_seg_005000_034000.mp4,https://archive.org/details/youtube-vklY1bHIi1I,https://archive.org/download/youtube-vklY1bHIi1I/vklY1bHIi1I.mp4,archive_license_verify_on_page,true,5.0,34.0,seg_005000_034000,existing_release,27601d270d1b6c02d7a3436f22b0a39710924e6b0336c0d4cd43ad4ee524fc7d,1458260,converted,
vdcr_v1_000004,vdcr_000004,vdcr_archive_b02_000010,release/media/videos_mp4/vdcr_v1_000004.mp4,release/media/videos/vdcr_v1_000004.mp4,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000010_seg_030000_060000.mp4,https://archive.org/details/youtube-VjPQA8aXE_M,https://archive.org/download/youtube-VjPQA8aXE_M/VjPQA8aXE_M.mp4,archive_license_verify_on_page,true,30.0,60.0,seg_030000_060000,existing_release,e033b79bc1ef8c604a62523e3020f98f7a8f48470c7b5b9ef643d3b97c2250a2,533888,converted,
vdcr_v1_000005,vdcr_000005,vdcr_archive_b04_000014,release/media/videos_mp4/vdcr_v1_000005.mp4,release/media/videos/vdcr_v1_000005.mp4,media/vdcr_segments_pilot_v1/vdcr_archive_b04_000014_seg_003000_145000.mp4,https://archive.org/details/DoublePendulum,https://archive.org/download/DoublePendulum/DoublePendulum_512kb.mp4,http://creativecommons.org/licenses/by-sa/3.0/us/,true,3.0,145.0,seg_003000_145000,existing_release,af99f8e7d787002de62b27440472a5d811a7a5120656802feedec6167876a09b,3947570,converted,
vdcr_v1_000006,vdcr_000006,vdcr_archive_b02_000045,release/media/videos_mp4/vdcr_v1_000006.mp4,release/media/videos/vdcr_v1_000006.ogv,media/vdcr_raw_pilot_v1/vdcr_archive_b02_000045.ogv,https://archive.org/details/Flickr-38609728842,https://archive.org/download/Flickr-38609728842/Starling_Murmuration-38609728842.ogv,https://creativecommons.org/licenses/by/2.0/,false,,,,existing_release,9494190de9cf12ef65587d1bbfa5380fa14324da922c451e845265bfe5bdeb97,5637843,converted,
vdcr_v1_000007,vdcr_000007,vdcr_archive_b05_000008,release/media/videos_mp4/vdcr_v1_000007.mp4,release/media/videos/vdcr_v1_000007.ogv,media/vdcr_raw_pilot_v1/vdcr_archive_b05_000008.ogv,https://archive.org/details/MSFC-0300185,https://archive.org/download/MSFC-0300185/0300185.ogv,archive_license_verify_on_page,false,,,,existing_release,1116ef58ecd09b79b59c348aec9b75e3a9456abb9c418ecaafcf4013903573f1,235974,converted,
vdcr_v1_000008,vdcr_000008,vdcr_archive_b03_000054,release/media/videos_mp4/vdcr_v1_000008.mp4,release/media/videos/vdcr_v1_000008.ogv,media/vdcr_segments_pilot_v1/vdcr_archive_b03_000054_seg_300000_390000.ogv,https://archive.org/details/WaSeUMCEMC4178AvalancheDynamics,https://archive.org/download/WaSeUMCEMC4178AvalancheDynamics/WaSeUMC_EMC4-178_AvalancheDynamics_uncorrected.ogv,http://creativecommons.org/licenses/by-nc-sa/3.0/,true,300.0,390.0,seg_300000_390000,existing_release,ce014bf66dcbd1dd6ef7d719a1eaa46c89072ba804fa4492cc63a97b41871e30,4551397,converted,
vdcr_v1_000009,vdcr_000009,vdcr_archive_b02_000007,release/media/videos_mp4/vdcr_v1_000009.mp4,release/media/videos/vdcr_v1_000009.webm,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000007_seg_000000_090000.webm,https://archive.org/details/youtube-r7pijdgK670,https://archive.org/download/youtube-r7pijdgK670/r7pijdgK670.webm,archive_license_verify_on_page,true,0.0,90.0,seg_000000_090000,existing_release,95c9159a53415a068a336280f496fb60bcf2a31cbe2c994ca5c179bf356d9d68,22945176,converted,
vdcr_v1_000010,vdcr_000010,vdcr_archive_earth_000008,release/media/videos_mp4/vdcr_v1_000010.mp4,release/media/videos/vdcr_v1_000010.mp4,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000008_seg_1825000_1860000.mp4,https://archive.org/details/erputive-phenomea,https://archive.org/download/erputive-phenomea/erputive-phenomea.mp4,archive_license_verify_on_page,true,1825.0,1860.0,seg_1825000_1860000,existing_release,2486f4b2420e06cec307829b37c4b06410a14a673d0aa64319b56a13edeff36a,5171250,converted,
vdcr_v1_000011,vdcr_000011,vdcr_archive_earth_000014,release/media/videos_mp4/vdcr_v1_000011.mp4,release/media/videos/vdcr_v1_000011.mp4,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000014_seg_042000_055000.mp4,https://archive.org/details/vimeo-303438254,https://archive.org/download/vimeo-303438254/GREENLAND_-_THE_MELTING_ISLAND_4K-303438254.mp4,archive_license_verify_on_page,true,42.0,55.0,seg_042000_055000,existing_release,f8c16375ad28bcde8c5784ece7f7d8221890284b938fddf13b6eb354bbb97391,23510410,converted,
vdcr_v1_000012,vdcr_000012,vdcr_archive_b02_000006,release/media/videos_mp4/vdcr_v1_000012.mp4,release/media/videos/vdcr_v1_000012.mp4,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000006_seg_270000_280000_crop.mp4,https://archive.org/details/youtube-f9CVF4yLluY,https://archive.org/download/youtube-f9CVF4yLluY/f9CVF4yLluY.mp4,archive_license_verify_on_page,true,270.0,280.0,seg_270000_280000_crop,existing_release,8d0eae23e3a3912082f6f31a53a88933e20be8405887c8afa33fb1516071e27c,1715966,converted,
vdcr_v1_000013,vdcr_000013,vdcr_archive_b03_000028,release/media/videos_mp4/vdcr_v1_000013.mp4,release/media/videos/vdcr_v1_000013.mp4,media/vdcr_segments_pilot_v1/vdcr_archive_b03_000028_seg_075000_115000.mp4,https://archive.org/details/ccpamd-amoeba,https://archive.org/download/ccpamd-amoeba/amoeba.mp4,archive_license_verify_on_page,true,75.0,115.0,seg_075000_115000,existing_release,64457accb98c01a3bf6dc73da79f9937cc1e99cc79d0a4559e4eae5191b6006b,2056882,converted,
vdcr_v1_000014,vdcr_000014,vdcr_archive_b03_000027,release/media/videos_mp4/vdcr_v1_000014.mp4,release/media/videos/vdcr_v1_000014.mp4,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000027.mp4,https://archive.org/details/wikimedia-org-Mimosa_pudica_leaves_folding_when_touched_3,https://archive.org/download/wikimedia-org-Mimosa_pudica_leaves_folding_when_touched_3/Mimosa_pudica_leaves_folding_when_touched_3.mp4,archive_license_verify_on_page,false,,,,downloaded,f3c228a81f4fc77a242c2eb2f62d73501cc883c6b5935b773a7efc38f2c6a29a,1508803,converted,
vdcr_v1_000015,vdcr_000015,vdcr_archive_b02_000004,release/media/videos_mp4/vdcr_v1_000015.mp4,release/media/videos/vdcr_v1_000015.mp4,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000004_seg_178000_196000.mp4,https://archive.org/details/youtube-4AxiXS9n0dw,https://archive.org/download/youtube-4AxiXS9n0dw/4AxiXS9n0dw.mp4,archive_license_verify_on_page,true,178.0,196.0,seg_178000_196000,existing_release,1d518af187ebd1d150ba175ca17d5a505e203e3c6f39bc8bf094f516c64fd5e8,1339236,converted,
vdcr_v1_000016,vdcr_000016,vdcr_archive_earth_000010,release/media/videos_mp4/vdcr_v1_000016.mp4,release/media/videos/vdcr_v1_000016.ogv,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000010_seg_120000_145000.ogv,https://archive.org/details/volcanoes,https://archive.org/download/volcanoes/volcanoes.ogv,http://creativecommons.org/licenses/publicdomain/,true,120.0,145.0,seg_120000_145000,existing_release,d0657dd3a38fd8a06e6439b067e4f362937174cf06ea876b1fcae50b82dbae80,2951255,converted,
vdcr_v1_000017,vdcr_000017,vdcr_archive_b03_000057,release/media/videos_mp4/vdcr_v1_000017.mp4,release/media/videos/vdcr_v1_000017.ogv,media/vdcr_segments_pilot_v1/vdcr_archive_b03_000057_seg_034000_050000_crop.ogv,https://archive.org/details/B.C.FirefighterCapturesVideoOfFireWhirl,https://archive.org/download/B.C.FirefighterCapturesVideoOfFireWhirl/B.C.%20firefighter%20captures%20video%20of%20fire%20whirl-.ogv,archive_license_verify_on_page,true,34.0,50.0,seg_034000_050000_crop,existing_release,7cb57a27d51e9203c9babd90ecb67f50f433a4c246b04291f8fac35b2063ce64,468397,converted,
vdcr_v1_000018,vdcr_000018,vdcr_commons_mr1_000001,release/media/videos_mp4/vdcr_v1_000018.mp4,release/media/videos/vdcr_v1_000018.mp4,media/vdcr_commons_manual_segments_round1_v1/vdcr_commons_mr1_000001_seg_008000_020000.mp4,https://commons.wikimedia.org/wiki/File:Chemical_garden_growing.webm,https://upload.wikimedia.org/wikipedia/commons/b/b5/Chemical_garden_growing.webm,CC-BY-3.0 reviewed YouTube source on Commons,true,8.0,20.0,seg_008000_020000,existing_release,2c03b118409a92599def17806b31b80793edc162b7b98eefc40339e4f4296c69,323558,converted,
vdcr_v1_000019,vdcr_000019,vdcr_commons_mr1_000002,release/media/videos_mp4/vdcr_v1_000019.mp4,release/media/videos/vdcr_v1_000019.mp4,media/vdcr_commons_manual_segments_round1_v1/vdcr_commons_mr1_000002_seg_020000_150000.mp4,https://commons.wikimedia.org/wiki/File:Blue_bottle_(chemical_reaction).webm,https://upload.wikimedia.org/wikipedia/commons/9/96/Blue_bottle_%28chemical_reaction%29.webm,CC-BY-3.0 reviewed YouTube source on Commons,true,20.0,150.0,seg_020000_150000,existing_release,213ba81a415de76f70ae705adf95701622fe713dfa97295cb8d50e68d046910e,4754541,converted,
vdcr_v1_000020,vdcr_000020,vdcr_commons_mr1_000003,release/media/videos_mp4/vdcr_v1_000020.mp4,release/media/videos/vdcr_v1_000020.webm,media/vdcr_commons_manual_round1_v1/vdcr_commons_mr1_000003.webm,https://commons.wikimedia.org/wiki/File:Phototropism_in_Solanum_lycopersicum.webm,https://upload.wikimedia.org/wikipedia/commons/a/aa/Phototropism_in_Solanum_lycopersicum.webm,CC-BY reviewed YouTube source on Commons,false,,,,existing_release,9b9804bb431eb0305857c47da27689b29576ee754b9d359eadf55c35c7c36e43,1500738,converted,
vdcr_v1_000021,vdcr_000021,vdcr_commons_mr1_000004,release/media/videos_mp4/vdcr_v1_000021.mp4,release/media/videos/vdcr_v1_000021.mp4,media/vdcr_commons_manual_segments_round1_v1/vdcr_commons_mr1_000004_seg_020000_100000.mp4,https://commons.wikimedia.org/wiki/File:Arnside_bore.ogv,https://upload.wikimedia.org/wikipedia/commons/3/3e/Arnside_bore.ogv,CC-BY-SA-3.0,true,20.0,100.0,seg_020000_100000,existing_release,9c61a93a8b8f70111e9403ea5a5d4203875013104327282718f5b13e7ae56150,7255058,converted,
vdcr_v1_000022,vdcr_000022,vdcr_commons_mr1_000006,release/media/videos_mp4/vdcr_v1_000022.mp4,release/media/videos/vdcr_v1_000022.mp4,media/vdcr_commons_manual_segments_round1_v1/vdcr_commons_mr1_000006_seg_020000_055000.mp4,https://commons.wikimedia.org/wiki/File:%D0%93%D0%B8%D0%B4%D1%80%D0%B0%D0%B2%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D1%80%D1%8B%D0%B6%D0%BE%D0%BA.webm,https://upload.wikimedia.org/wikipedia/commons/0/0b/%D0%93%D0%B8%D0%B4%D1%80%D0%B0%D0%B2%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D1%80%D1%8B%D0%B6%D0%BE%D0%BA.webm,CC-BY-3.0 GetAClass/Wikimedia RU project,true,20.0,55.0,seg_020000_055000,existing_release,99e4f6fc1ce104ee74e0ce79fbb4f4b1e19ba113526f47f7fe8010c4489bdd8d,6155868,converted,
vdcr_v1_000023,vdcr_000023,vdcr_commons_mr2_000001,release/media/videos_mp4/vdcr_v1_000023.mp4,release/media/videos/vdcr_v1_000023.ogv,media/vdcr_commons_manual_round2_v1/vdcr_commons_mr2_000001.ogv,https://commons.wikimedia.org/wiki/File:K-V_Street_Video1.ogv,https://upload.wikimedia.org/wikipedia/commons/f/fc/K-V_Street_Video1.ogv,Public domain on Commons,false,,,,existing_release,12cfc34b048890a89514512160190817d5a866a0c8e28c1dd9e52f83597285d3,85012,converted,
vdcr_v1_000024,vdcr_000024,vdcr_commons_mr2_000002,release/media/videos_mp4/vdcr_v1_000024.mp4,release/media/videos/vdcr_v1_000024.webm,media/vdcr_commons_manual_round2_v1/vdcr_commons_mr2_000002.webm,https://commons.wikimedia.org/wiki/File:Effet_Leidenfrost.webm,https://upload.wikimedia.org/wikipedia/commons/b/b1/Effet_Leidenfrost.webm,CC-BY-SA-4.0 on Commons,false,,,,existing_release,be7ac69a8599c96776720769dc9095ab00ae0d15bd0a85c09b658c892fae742e,27007515,converted,
vdcr_v1_000025,vdcr_000025,vdcr_commons_mr2_000003,release/media/videos_mp4/vdcr_v1_000025.mp4,release/media/videos/vdcr_v1_000025.webm,media/vdcr_commons_manual_round2_v1/vdcr_commons_mr2_000003.webm,https://commons.wikimedia.org/wiki/File:Capillary_breakup.webm,https://upload.wikimedia.org/wikipedia/commons/2/28/Capillary_breakup.webm,CC-BY-SA-4.0 on Commons,false,,,,existing_release,47922a243b1cd81627dfc9486a39513413c0a0da744315db799cd831905e813e,699996,converted,
vdcr_v1_000026,vdcr_000026,vdcr_commons_mr2_000004,release/media/videos_mp4/vdcr_v1_000026.mp4,release/media/videos/vdcr_v1_000026.webm,media/vdcr_commons_manual_round2_v1/vdcr_commons_mr2_000004.webm,https://commons.wikimedia.org/wiki/File:A_supercell_with_rotating_updraft_in_SE_Colorado_and_SW_Kansas_(CIRA_2019-05-03).webm,https://upload.wikimedia.org/wikipedia/commons/5/50/A_supercell_with_rotating_updraft_in_SE_Colorado_and_SW_Kansas_%28CIRA_2019-05-03%29.webm,Public domain NOAA/CSU-CIRA material on Commons,false,,,,existing_release,11eeae10a5baf9fe2c3f74b45dbbf286a032553c5d434b57fe2fdb452490b67b,5986648,converted,
vdcr_v1_000027,vdcr_000027,vdcr_commons_mr3_000001,release/media/videos_mp4/vdcr_v1_000027.mp4,release/media/videos/vdcr_v1_000027.webm,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000001.ogv,https://commons.wikimedia.org/wiki/File:32._%D0%9A%D1%80%D0%B8%D1%81%D1%82%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%98%D0%B0_%D0%BD%D0%B0_%D0%BD%D0%B0%D1%82%D1%80%D0%B8%D1%83%D0%BC_%D0%B0%D1%86%D0%B5%D1%82%D0%B0%D1%82.ogv,https://upload.wikimedia.org/wikipedia/commons/transcoded/c/cc/32._%D0%9A%D1%80%D0%B8%D1%81%D1%82%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%98%D0%B0_%D0%BD%D0%B0_%D0%BD%D0%B0%D1%82%D1%80%D0%B8%D1%83%D0%BC_%D0%B0%D1%86%D0%B5%D1%82%D0%B0%D1%82.ogv/32._%D0%9A%D1%80%D0%B8%D1%81%D1%82%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%98%D0%B0_%D0%BD%D0%B0_%D0%BD%D0%B0%D1%82%D1%80%D0%B8%D1%83%D0%BC_%D0%B0%D1%86%D0%B5%D1%82%D0%B0%D1%82.ogv.360p.webm,CC-BY-SA-4.0 on Commons own work,false,,,,downloaded,14aa3634096d73211a43ea757ce7b3f892fd36a07a3649c4c81b0fbdad945d91,706740,converted,
vdcr_v1_000028,vdcr_000028,vdcr_commons_mr3_000002,release/media/videos_mp4/vdcr_v1_000028.mp4,release/media/videos/vdcr_v1_000028.webm,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000002.webm,https://commons.wikimedia.org/wiki/File:Liesegang_band_experiment.webm,https://upload.wikimedia.org/wikipedia/commons/transcoded/d/d4/Liesegang_band_experiment.webm/Liesegang_band_experiment.webm.360p.webm,CC-BY-3.0 YouTube source reviewed on Commons,false,,,,downloaded,60cfddc7b46cadaae6d8c9117977d3a9f894363c425bb116e755718e840452a0,113784,converted,
vdcr_v1_000029,vdcr_000029,vdcr_commons_mr3_000004,release/media/videos_mp4/vdcr_v1_000029.mp4,release/media/videos/vdcr_v1_000029.webm,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000004.ogv,https://commons.wikimedia.org/wiki/File:Multiplex-lithography-for-multilevel-multiscale-architectures-and-its-application-to-polymer-ncomms9484-s3.ogv,https://upload.wikimedia.org/wikipedia/commons/transcoded/9/94/Multiplex-lithography-for-multilevel-multiscale-architectures-and-its-application-to-polymer-ncomms9484-s3.ogv/Multiplex-lithography-for-multilevel-multiscale-architectures-and-its-application-to-polymer-ncomms9484-s3.ogv.360p.webm,CC-BY-4.0 on Commons from Nature Communications supplementary movie,false,,,,downloaded,7bab2e7e960fcf201d82ef517726e35d32830ba6c50c8f633fd5f5ae3464bd51,262175,converted,
