media_asset_id,video_id,candidate_id,answer,domain,file_path,source_file_path,original_local_media,source_url,license_or_usage_note,review_status,review_notes,release_processing_status,release_ready,sha256,bytes,status,error
vdcr_v1_000001,vdcr_000001,,Endocytosis,biology_living_systems,release/media/videos_mp4/vdcr_v1_000001.mp4,release/media/videos_mp4/vdcr_v1_000001.mp4,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000032.mp4,,,v2_seed,,reused_v1_final_mp4,true,f825b7a330eac233094cde371863238a5be4fbf7af0a95ac3b900487edbbb201,680598,reused_v1_mp4,
vdcr_v1_000002,vdcr_000002,,Exocytosis,biology_living_systems,release/media/videos_mp4/vdcr_v1_000002.mp4,release/media/videos_mp4/vdcr_v1_000002.mp4,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000035.mp4,,,v2_seed,,reused_v1_final_mp4,true,87d2a0af4ddfdf240d61af8c7a6eabd22e161df99a3866f70708e8092af44c77,222085,reused_v1_mp4,
vdcr_v1_000003,vdcr_000003,,Dzhanibekov Effect / Tennis Racket Theorem,physics_physical_systems,release/media/videos_mp4/vdcr_v1_000003.mp4,release/media/videos_mp4/vdcr_v1_000003.mp4,media/vdcr_segments_pilot_v1/vdcr_archive_only_000025_seg_005000_034000.mp4,,,v2_seed,,reused_v1_final_mp4,true,27601d270d1b6c02d7a3436f22b0a39710924e6b0336c0d4cd43ad4ee524fc7d,1458260,reused_v1_mp4,
vdcr_v1_000004,vdcr_000004,,Briggs-Rauscher Reaction,chemistry_materials_change,release/media/videos_mp4/vdcr_v1_000004.mp4,release/media/videos_mp4/vdcr_v1_000004.mp4,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000010_seg_030000_060000.mp4,,,v2_seed,,reused_v1_final_mp4,true,e033b79bc1ef8c604a62523e3020f98f7a8f48470c7b5b9ef643d3b97c2250a2,533888,reused_v1_mp4,
vdcr_v1_000005,vdcr_000005,,Double Pendulum Chaos,physics_physical_systems,release/media/videos_mp4/vdcr_v1_000005.mp4,release/media/videos_mp4/vdcr_v1_000005.mp4,media/vdcr_segments_pilot_v1/vdcr_archive_b04_000014_seg_003000_145000.mp4,,,v2_seed,,reused_v1_final_mp4,true,af99f8e7d787002de62b27440472a5d811a7a5120656802feedec6167876a09b,3947570,reused_v1_mp4,
vdcr_v1_000006,vdcr_000006,,Murmuration,biology_living_systems,release/media/videos_mp4/vdcr_v1_000006.mp4,release/media/videos_mp4/vdcr_v1_000006.mp4,media/vdcr_raw_pilot_v1/vdcr_archive_b02_000045.ogv,,,v2_seed,,reused_v1_final_mp4,true,9494190de9cf12ef65587d1bbfa5380fa14324da922c451e845265bfe5bdeb97,5637843,reused_v1_mp4,
vdcr_v1_000007,vdcr_000007,,Diffusion Flame,chemistry_materials_change,release/media/videos_mp4/vdcr_v1_000007.mp4,release/media/videos_mp4/vdcr_v1_000007.mp4,media/vdcr_raw_pilot_v1/vdcr_archive_b05_000008.ogv,,,v2_seed,,reused_v1_final_mp4,true,1116ef58ecd09b79b59c348aec9b75e3a9456abb9c418ecaafcf4013903573f1,235974,reused_v1_mp4,
vdcr_v1_000008,vdcr_000008,,Slab Avalanche Release,earth_environmental_systems,release/media/videos_mp4/vdcr_v1_000008.mp4,release/media/videos_mp4/vdcr_v1_000008.mp4,media/vdcr_segments_pilot_v1/vdcr_archive_b03_000054_seg_300000_390000.ogv,,,v2_seed,,reused_v1_final_mp4,true,ce014bf66dcbd1dd6ef7d719a1eaa46c89072ba804fa4492cc63a97b41871e30,4551397,reused_v1_mp4,
vdcr_v1_000009,vdcr_000009,,Belousov-Zhabotinsky Reaction,chemistry_materials_change,release/media/videos_mp4/vdcr_v1_000009.mp4,release/media/videos_mp4/vdcr_v1_000009.mp4,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000007_seg_000000_090000.webm,,,v2_seed,,reused_v1_final_mp4,true,95c9159a53415a068a336280f496fb60bcf2a31cbe2c994ca5c179bf356d9d68,22945176,reused_v1_mp4,
vdcr_v1_000010,vdcr_000010,,Pahoehoe Lava Roping,earth_environmental_systems,release/media/videos_mp4/vdcr_v1_000010.mp4,release/media/videos_mp4/vdcr_v1_000010.mp4,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000008_seg_1825000_1860000.mp4,,,v2_seed,,reused_v1_final_mp4,true,2486f4b2420e06cec307829b37c4b06410a14a673d0aa64319b56a13edeff36a,5171250,reused_v1_mp4,
