video_id,split,domain,subdomain,concept_id,answer,local_media,duration_sec,source_url,license_or_usage_note,concept_validity_tier,production_gate
vdcr_000001,pilot,biology_living_systems,biology_family_06,vdcr_concept_0162,Endocytosis,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000032.mp4,16.393,https://archive.org/details/yt_0sclkA3hoMk,archive_license_verify_on_page,strict_main_candidate,must_show_membrane_invagination_and_vesicle_formation_not_static_cell_image
vdcr_000002,pilot,biology_living_systems,biology_family_06,vdcr_concept_0163,Exocytosis,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000035.mp4,19.946,https://archive.org/details/yt_pCpgtHum0oA,archive_license_verify_on_page,strict_main_candidate,must_show_vesicle_motion_fusion_or_release_not_static_cell_image
vdcr_000003,pilot,physics_physical_systems,physics_family_04,vdcr_concept_0025,Dzhanibekov Effect / Tennis Racket Theorem,media/vdcr_segments_pilot_v1/vdcr_archive_only_000025_seg_005000_034000.mp4,28.934,https://archive.org/details/youtube-vklY1bHIi1I,archive_license_verify_on_page,core_main,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_000004,pilot,chemistry_materials_change,materials_family_03,vdcr_concept_0074,Briggs-Rauscher Reaction,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000010_seg_030000_060000.mp4,29.893,https://archive.org/details/youtube-VjPQA8aXE_M,archive_license_verify_on_page,core_main,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_000005,pilot,physics_physical_systems,physics_family_03,vdcr_concept_0023,Double Pendulum Chaos,media/vdcr_segments_pilot_v1/vdcr_archive_b04_000014_seg_003000_145000.mp4,141.6,https://archive.org/details/DoublePendulum,http://creativecommons.org/licenses/by-sa/3.0/us/,strict_main_candidate,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_000006,pilot,biology_living_systems,biology_family_01,vdcr_concept_0114,Murmuration,media/vdcr_raw_pilot_v1/vdcr_archive_b02_000045.ogv,99.8,https://archive.org/details/Flickr-38609728842,https://creativecommons.org/licenses/by/2.0/,strict_main_candidate,must_show_collective_shape_wave_synchronous_turning_or_flow_like_flock_reorganization
vdcr_000007,pilot,chemistry_materials_change,materials_family_07,vdcr_concept_0090,Diffusion Flame,media/vdcr_raw_pilot_v1/vdcr_archive_b05_000008.ogv,10.0,https://archive.org/details/MSFC-0300185,archive_license_verify_on_page,strict_main_candidate,must_show_nonpremixed_fuel_oxidizer_interface_or_flame_establishment_not_just_fire
vdcr_000008,pilot,earth_environmental_systems,earth_family_05,vdcr_concept_0219,Slab Avalanche Release,media/vdcr_segments_pilot_v1/vdcr_archive_b03_000054_seg_300000_390000.ogv,90.017,https://archive.org/details/WaSeUMCEMC4178AvalancheDynamics,http://creativecommons.org/licenses/by-nc-sa/3.0/,core_main,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_000009,pilot,chemistry_materials_change,materials_family_03,vdcr_concept_0073,Belousov-Zhabotinsky Reaction,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000007_seg_000000_090000.webm,90.0,https://archive.org/details/youtube-r7pijdgK670,archive_license_verify_on_page,core_main,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_000010,pilot,earth_environmental_systems,earth_family_04,vdcr_concept_0211,Pahoehoe Lava Roping,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000008_seg_1825000_1860000.mp4,35.06,https://archive.org/details/erputive-phenomea,archive_license_verify_on_page,core_main,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
