video_id,split,domain,subdomain,concept_id,answer,media_asset_id,local_media,duration_sec,source_url,license_or_usage_note,concept_validity_tier,production_gate
vdcr_000001,pilot,biology_living_systems,biology_family_06,vdcr_concept_0162,Endocytosis,vdcr_v1_000001,release/media/videos/vdcr_v1_000001.mp4,16.393,https://archive.org/details/yt_0sclkA3hoMk,archive_license_verify_on_page,strict_main_candidate,must_show_membrane_invagination_and_vesicle_formation_not_static_cell_image
vdcr_000002,pilot,biology_living_systems,biology_family_06,vdcr_concept_0163,Exocytosis,vdcr_v1_000002,release/media/videos/vdcr_v1_000002.mp4,19.946,https://archive.org/details/yt_pCpgtHum0oA,archive_license_verify_on_page,strict_main_candidate,must_show_vesicle_motion_fusion_or_release_not_static_cell_image
vdcr_000003,pilot,physics_physical_systems,physics_family_04,vdcr_concept_0025,Dzhanibekov Effect / Tennis Racket Theorem,vdcr_v1_000003,release/media/videos/vdcr_v1_000003.mp4,28.934,https://archive.org/details/youtube-vklY1bHIi1I,archive_license_verify_on_page,core_main,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_000004,pilot,chemistry_materials_change,materials_family_03,vdcr_concept_0074,Briggs-Rauscher Reaction,vdcr_v1_000004,release/media/videos/vdcr_v1_000004.mp4,29.893,https://archive.org/details/youtube-VjPQA8aXE_M,archive_license_verify_on_page,core_main,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_000005,pilot,physics_physical_systems,physics_family_03,vdcr_concept_0023,Double Pendulum Chaos,vdcr_v1_000005,release/media/videos/vdcr_v1_000005.mp4,141.6,https://archive.org/details/DoublePendulum,http://creativecommons.org/licenses/by-sa/3.0/us/,strict_main_candidate,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_000006,pilot,biology_living_systems,biology_family_01,vdcr_concept_0114,Murmuration,vdcr_v1_000006,release/media/videos/vdcr_v1_000006.ogv,99.8,https://archive.org/details/Flickr-38609728842,https://creativecommons.org/licenses/by/2.0/,strict_main_candidate,must_show_collective_shape_wave_synchronous_turning_or_flow_like_flock_reorganization
vdcr_000007,pilot,chemistry_materials_change,materials_family_07,vdcr_concept_0090,Diffusion Flame,vdcr_v1_000007,release/media/videos/vdcr_v1_000007.ogv,10.0,https://archive.org/details/MSFC-0300185,archive_license_verify_on_page,strict_main_candidate,must_show_nonpremixed_fuel_oxidizer_interface_or_flame_establishment_not_just_fire
vdcr_000008,pilot,earth_environmental_systems,earth_family_05,vdcr_concept_0219,Slab Avalanche Release,vdcr_v1_000008,release/media/videos/vdcr_v1_000008.ogv,90.017,https://archive.org/details/WaSeUMCEMC4178AvalancheDynamics,http://creativecommons.org/licenses/by-nc-sa/3.0/,core_main,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_000009,pilot,chemistry_materials_change,materials_family_03,vdcr_concept_0073,Belousov-Zhabotinsky Reaction,vdcr_v1_000009,release/media/videos/vdcr_v1_000009.webm,90.0,https://archive.org/details/youtube-r7pijdgK670,archive_license_verify_on_page,core_main,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_000010,pilot,earth_environmental_systems,earth_family_04,vdcr_concept_0211,Pahoehoe Lava Roping,vdcr_v1_000010,release/media/videos/vdcr_v1_000010.mp4,35.06,https://archive.org/details/erputive-phenomea,archive_license_verify_on_page,core_main,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_000011,pilot,earth_environmental_systems,earth_family_05,vdcr_concept_0218,Ice Cliff Calving,vdcr_v1_000011,release/media/videos/vdcr_v1_000011.mp4,13.0,https://archive.org/details/vimeo-303438254,archive_license_verify_on_page,strict_main_candidate,must_show_crack_or_instability_then_ice_cliff_detachment_and_fall_sequence
vdcr_000012,pilot,chemistry_materials_change,materials_family_03,vdcr_concept_0070,Iodine Clock Reaction,vdcr_v1_000012,release/media/videos/vdcr_v1_000012.mp4,10.01,https://archive.org/details/youtube-f9CVF4yLluY,archive_license_verify_on_page,core_main,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_000013,pilot,biology_living_systems,biology_family_05,vdcr_concept_0153,Cytoplasmic Streaming,vdcr_v1_000013,release/media/videos/vdcr_v1_000013.mp4,40.007,https://archive.org/details/ccpamd-amoeba,archive_license_verify_on_page,core_main,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_000014,pilot,biology_living_systems,biology_family_04,vdcr_concept_0146,Thigmonasty,vdcr_v1_000014,release/media/videos/vdcr_v1_000014.mp4,12.9,https://archive.org/details/wikimedia-org-Mimosa_pudica_leaves_folding_when_touched_3,archive_license_verify_on_page,core_main,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_000015,pilot,chemistry_materials_change,materials_family_01,vdcr_concept_0059,Shear Thickening,vdcr_v1_000015,release/media/videos/vdcr_v1_000015.mp4,18.001,https://archive.org/details/youtube-4AxiXS9n0dw,archive_license_verify_on_page,core_main,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_000016,pilot,earth_environmental_systems,earth_family_04,vdcr_concept_0212,Aa Lava Front Advance,vdcr_v1_000016,release/media/videos/vdcr_v1_000016.ogv,24.992,https://archive.org/details/volcanoes,http://creativecommons.org/licenses/publicdomain/,strict_main_candidate,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_000017,pilot,earth_environmental_systems,earth_family_06,vdcr_concept_0222,Fire-Whirl Vortex Formation,vdcr_v1_000017,release/media/videos/vdcr_v1_000017.ogv,16.016,https://archive.org/details/B.C.FirefighterCapturesVideoOfFireWhirl,archive_license_verify_on_page,strict_main_candidate,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_000018,pilot,chemistry_materials_change,materials_family_04,vdcr_concept_0076,Chemical Garden Growth,vdcr_v1_000018,release/media/videos/vdcr_v1_000018.mp4,12.0,https://commons.wikimedia.org/wiki/File:Chemical_garden_growing.webm,CC-BY-3.0 reviewed YouTube source on Commons,core_main,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_000019,pilot,chemistry_materials_change,materials_family_03,vdcr_concept_0071,Blue Bottle Reaction,vdcr_v1_000019,release/media/videos/vdcr_v1_000019.mp4,130.0,https://commons.wikimedia.org/wiki/File:Blue_bottle_(chemical_reaction).webm,CC-BY-3.0 reviewed YouTube source on Commons,strict_main_candidate,must_show_shaking_or_oxygenation_cycle_and_reversible_color_recovery_without_title_leakage
vdcr_000020,pilot,biology_living_systems,biology_family_04,vdcr_concept_0143,Phototropism,vdcr_v1_000020,release/media/videos/vdcr_v1_000020.webm,18.018,https://commons.wikimedia.org/wiki/File:Phototropism_in_Solanum_lycopersicum.webm,CC-BY reviewed YouTube source on Commons,core_main,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_000021,pilot,earth_environmental_systems,earth_family_08,vdcr_concept_0235,Tidal Bore,vdcr_v1_000021,release/media/videos/vdcr_v1_000021.mp4,80.0,https://commons.wikimedia.org/wiki/File:Arnside_bore.ogv,CC-BY-SA-3.0,core_main,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_000022,pilot,physics_physical_systems,physics_family_01,vdcr_concept_0008,Hydraulic Jump,vdcr_v1_000022,release/media/videos/vdcr_v1_000022.mp4,35.0,https://commons.wikimedia.org/wiki/File:%D0%93%D0%B8%D0%B4%D1%80%D0%B0%D0%B2%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D1%80%D1%8B%D0%B6%D0%BE%D0%BA.webm,CC-BY-3.0 GetAClass/Wikimedia RU project,core_main,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_000023,pilot,physics_physical_systems,physics_family_01,vdcr_concept_0002,Vortex Shedding / Karman Vortex Street,vdcr_v1_000023,release/media/videos/vdcr_v1_000023.ogv,5.239,https://commons.wikimedia.org/wiki/File:K-V_Street_Video1.ogv,Public domain on Commons,core_main,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_000024,pilot,physics_physical_systems,physics_family_02,vdcr_concept_0014,Leidenfrost Droplet Motion,vdcr_v1_000024,release/media/videos/vdcr_v1_000024.webm,17.512,https://commons.wikimedia.org/wiki/File:Effet_Leidenfrost.webm,CC-BY-SA-4.0 on Commons,strict_main_candidate,must_show_hot_surface_vapor_cushion_behavior_sustained_sliding_or_lifetime_change_without_text_leakage
vdcr_000025,pilot,physics_physical_systems,physics_family_02,vdcr_concept_0012,Capillary-Driven Jet/Thread Breakup,vdcr_v1_000025,release/media/videos/vdcr_v1_000025.webm,9.4,https://commons.wikimedia.org/wiki/File:Capillary_breakup.webm,CC-BY-SA-4.0 on Commons,strict_main_candidate,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_000026,pilot,earth_environmental_systems,earth_family_01,vdcr_concept_0191,Supercell Mesocyclone Rotation,vdcr_v1_000026,release/media/videos/vdcr_v1_000026.webm,10.034,https://commons.wikimedia.org/wiki/File:A_supercell_with_rotating_updraft_in_SE_Colorado_and_SW_Kansas_(CIRA_2019-05-03).webm,Public domain NOAA/CSU-CIRA material on Commons,core_main,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_000027,pilot,chemistry_materials_change,materials_family_02,vdcr_concept_0069,Supercooled Liquid Rapid Crystallization,vdcr_v1_000027,release/media/videos/vdcr_v1_000027.webm,45.081,https://commons.wikimedia.org/wiki/File:32._%D0%9A%D1%80%D0%B8%D1%81%D1%82%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%98%D0%B0_%D0%BD%D0%B0_%D0%BD%D0%B0%D1%82%D1%80%D0%B8%D1%83%D0%BC_%D0%B0%D1%86%D0%B5%D1%82%D0%B0%D1%82.ogv,CC-BY-SA-4.0 on Commons own work,core_main,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_000028,pilot,chemistry_materials_change,materials_family_04,vdcr_concept_0078,Liesegang Ring Formation,vdcr_v1_000028,release/media/videos/vdcr_v1_000028.webm,31.419,https://commons.wikimedia.org/wiki/File:Liesegang_band_experiment.webm,CC-BY-3.0 YouTube source reviewed on Commons,core_main,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_000029,pilot,chemistry_materials_change,materials_family_06,vdcr_concept_0086,Thin-Film Dewetting,vdcr_v1_000029,release/media/videos/vdcr_v1_000029.webm,17.917,https://commons.wikimedia.org/wiki/File:Multiplex-lithography-for-multilevel-multiscale-architectures-and-its-application-to-polymer-ncomms9484-s3.ogv,CC-BY-4.0 on Commons from Nature Communications supplementary movie,core_main,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_000030,pilot,biology_living_systems,biology_family_04,vdcr_concept_0151,Bistable Snap-Trap Closure,vdcr_v1_000030,release/media/videos/vdcr_v1_000030.webm,88.239,https://commons.wikimedia.org/wiki/File:Venus_Flytrap_(time_lapse).webm,CC-BY-3.0 YouTube source reviewed on Commons,core_main,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_000031,pilot,earth_environmental_systems,earth_family_01,vdcr_concept_0194,Gust Front Propagation,vdcr_v1_000031,release/media/videos/vdcr_v1_000031.webm,5.138,https://commons.wikimedia.org/wiki/File:Gust_Front_Expands_From_Storms_Over_the_Gulf_of_Mexico_(CIRA_2024-04-29_-_nolabels_portrait).webm,Public domain NOAA/CSU-CIRA material on Commons,strict_main_candidate,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_000032,pilot,biology_living_systems,biology_family_07,vdcr_concept_0168,Microtubule Dynamic Instability,vdcr_v1_000032,release/media/videos/vdcr_v1_000032.webm,13.367,https://commons.wikimedia.org/wiki/File:MicrotubuleDynamicInstability.ogv,Commons page/license review needed,core_main,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
