video_id,candidate_id,answer,domain,source_url,license_or_usage_note,local_media,review_status,review_notes,media_asset_id,media_processing_status,media_release_ready
vdcr_000001,,Endocytosis,biology_living_systems,,,release/media/videos_mp4/vdcr_v1_000001.mp4,v2_seed,,vdcr_v1_000001,reused_v1_final_mp4,true
vdcr_000002,,Exocytosis,biology_living_systems,,,release/media/videos_mp4/vdcr_v1_000002.mp4,v2_seed,,vdcr_v1_000002,reused_v1_final_mp4,true
vdcr_000003,,Dzhanibekov Effect / Tennis Racket Theorem,physics_physical_systems,,,release/media/videos_mp4/vdcr_v1_000003.mp4,v2_seed,,vdcr_v1_000003,reused_v1_final_mp4,true
vdcr_000004,,Briggs-Rauscher Reaction,chemistry_materials_change,,,release/media/videos_mp4/vdcr_v1_000004.mp4,v2_seed,,vdcr_v1_000004,reused_v1_final_mp4,true
vdcr_000005,,Double Pendulum Chaos,physics_physical_systems,,,release/media/videos_mp4/vdcr_v1_000005.mp4,v2_seed,,vdcr_v1_000005,reused_v1_final_mp4,true
vdcr_000006,,Murmuration,biology_living_systems,,,release/media/videos_mp4/vdcr_v1_000006.mp4,v2_seed,,vdcr_v1_000006,reused_v1_final_mp4,true
vdcr_000007,,Diffusion Flame,chemistry_materials_change,,,release/media/videos_mp4/vdcr_v1_000007.mp4,v2_seed,,vdcr_v1_000007,reused_v1_final_mp4,true
vdcr_000008,,Slab Avalanche Release,earth_environmental_systems,,,release/media/videos_mp4/vdcr_v1_000008.mp4,v2_seed,,vdcr_v1_000008,reused_v1_final_mp4,true
vdcr_000009,,Belousov-Zhabotinsky Reaction,chemistry_materials_change,,,release/media/videos_mp4/vdcr_v1_000009.mp4,v2_seed,,vdcr_v1_000009,reused_v1_final_mp4,true
vdcr_000010,,Pahoehoe Lava Roping,earth_environmental_systems,,,release/media/videos_mp4/vdcr_v1_000010.mp4,v2_seed,,vdcr_v1_000010,reused_v1_final_mp4,true
vdcr_000011,,Ice Cliff Calving,earth_environmental_systems,,,release/media/videos_mp4/vdcr_v1_000011.mp4,v2_seed,,vdcr_v1_000011,reused_v1_final_mp4,true
vdcr_000012,,Iodine Clock Reaction,chemistry_materials_change,,,release/media/videos_mp4/vdcr_v1_000012.mp4,v2_seed,,vdcr_v1_000012,reused_v1_final_mp4,true
vdcr_000013,,Cytoplasmic Streaming,biology_living_systems,,,release/media/videos_mp4/vdcr_v1_000013.mp4,v2_seed,,vdcr_v1_000013,reused_v1_final_mp4,true
vdcr_000014,,Thigmonasty,biology_living_systems,,,release/media/videos_mp4/vdcr_v1_000014.mp4,v2_seed,,vdcr_v1_000014,reused_v1_final_mp4,true
vdcr_000015,,Shear Thickening,chemistry_materials_change,,,release/media/videos_mp4/vdcr_v1_000015.mp4,v2_seed,,vdcr_v1_000015,reused_v1_final_mp4,true
vdcr_000016,,Aa Lava Front Advance,earth_environmental_systems,,,release/media/videos_mp4/vdcr_v1_000016.mp4,v2_seed,,vdcr_v1_000016,reused_v1_final_mp4,true
vdcr_000017,,Fire-Whirl Vortex Formation,earth_environmental_systems,,,release/media/videos_mp4/vdcr_v1_000017.mp4,v2_seed,,vdcr_v1_000017,reused_v1_final_mp4,true
vdcr_000018,,Chemical Garden Growth,chemistry_materials_change,,,release/media/videos_mp4/vdcr_v1_000018.mp4,v2_seed,,vdcr_v1_000018,reused_v1_final_mp4,true
vdcr_000019,,Blue Bottle Reaction,chemistry_materials_change,,,release/media/videos_mp4/vdcr_v1_000019.mp4,v2_seed,,vdcr_v1_000019,reused_v1_final_mp4,true
vdcr_000020,,Phototropism,biology_living_systems,,,release/media/videos_mp4/vdcr_v1_000020.mp4,v2_seed,,vdcr_v1_000020,reused_v1_final_mp4,true
vdcr_000021,,Tidal Bore,earth_environmental_systems,,,release/media/videos_mp4/vdcr_v1_000021.mp4,v2_seed,,vdcr_v1_000021,reused_v1_final_mp4,true
vdcr_000022,,Hydraulic Jump,physics_physical_systems,,,release/media/videos_mp4/vdcr_v1_000022.mp4,v2_seed,,vdcr_v1_000022,reused_v1_final_mp4,true
vdcr_000023,,Vortex Shedding / Karman Vortex Street,physics_physical_systems,,,release/media/videos_mp4/vdcr_v1_000023.mp4,v2_seed,,vdcr_v1_000023,reused_v1_final_mp4,true
vdcr_000024,,Leidenfrost Droplet Motion,physics_physical_systems,,,release/media/videos_mp4/vdcr_v1_000024.mp4,v2_seed,,vdcr_v1_000024,reused_v1_final_mp4,true
vdcr_000025,,Capillary-Driven Jet/Thread Breakup,physics_physical_systems,,,release/media/videos_mp4/vdcr_v1_000025.mp4,v2_seed,,vdcr_v1_000025,reused_v1_final_mp4,true
vdcr_000026,,Supercell Mesocyclone Rotation,earth_environmental_systems,,,release/media/videos_mp4/vdcr_v1_000026.mp4,v2_seed,,vdcr_v1_000026,reused_v1_final_mp4,true
vdcr_000027,,Supercooled Liquid Rapid Crystallization,chemistry_materials_change,,,release/media/videos_mp4/vdcr_v1_000027.mp4,v2_seed,,vdcr_v1_000027,reused_v1_final_mp4,true
vdcr_000028,,Liesegang Ring Formation,chemistry_materials_change,,,release/media/videos_mp4/vdcr_v1_000028.mp4,v2_seed,,vdcr_v1_000028,reused_v1_final_mp4,true
vdcr_000029,,Thin-Film Dewetting,chemistry_materials_change,,,release/media/videos_mp4/vdcr_v1_000029.mp4,v2_seed,,vdcr_v1_000029,reused_v1_final_mp4,true
vdcr_000030,,Bistable Snap-Trap Closure,biology_living_systems,,,release/media/videos_mp4/vdcr_v1_000030.mp4,v2_seed,,vdcr_v1_000030,reused_v1_final_mp4,true
vdcr_000031,,Gust Front Propagation,earth_environmental_systems,,,release/media/videos_mp4/vdcr_v1_000031.mp4,v2_seed,,vdcr_v1_000031,reused_v1_final_mp4,true
vdcr_000032,,Microtubule Dynamic Instability,biology_living_systems,,,release/media/videos_mp4/vdcr_v1_000032.mp4,v2_seed,,vdcr_v1_000032,reused_v1_final_mp4,true
vdcr_000033,,Calcium Wave Propagation,biology_living_systems,,,release/media/videos_mp4/vdcr_v1_000033.mp4,v2_seed,,vdcr_v1_000033,reused_v1_final_mp4,true
vdcr_000034,,Dust Storm Front Propagation,earth_environmental_systems,,,release/media/videos_mp4/vdcr_v1_000034.mp4,v2_seed,,vdcr_v1_000034,reused_v1_final_mp4,true
vdcr_000035,,Buoyancy-Driven Smoke Plume Rise,earth_environmental_systems,,,release/media/videos_mp4/vdcr_v1_000035.mp4,v2_seed,,vdcr_v1_000035,reused_v1_final_mp4,true
vdcr_000036,,Brazil Nut Effect,physics_physical_systems,,,release/media/videos_mp4/vdcr_v1_000036.mp4,v2_seed,,vdcr_v1_000036,reused_v1_final_mp4,true
vdcr_000037,,Liquid Bridge Pinch-Off,physics_physical_systems,,,release/media/videos_mp4/vdcr_v1_000037.mp4,v2_seed,,vdcr_v1_000037,reused_v1_final_mp4,true
vdcr_000038,,Spinodal Decomposition,chemistry_materials_change,,,release/media/videos_mp4/vdcr_v1_000038.mp4,v2_seed,,vdcr_v1_000038,reused_v1_final_mp4,true
vdcr_000039,,Metachronal Wave Locomotion,biology_living_systems,,,release/media/videos_mp4/vdcr_v1_000039.mp4,v2_seed,,vdcr_v1_000039,reused_v1_final_mp4,true
vdcr_000040,,Pyroclastic Density Current,earth_environmental_systems,,,release/media/videos_mp4/vdcr_v1_000040.mp4,v2_seed,,vdcr_v1_000040,reused_v1_final_mp4,true
vdcr_000041,,Meander Neck Cutoff,earth_environmental_systems,,,release/media/videos_mp4/vdcr_v1_000041.mp4,v2_seed,,vdcr_v1_000041,reused_v1_final_mp4,true
vdcr_000042,,Kelvin-Helmholtz Instability,physics_physical_systems,,,release/media/videos_mp4/vdcr_v1_000042.mp4,v2_seed,,vdcr_v1_000042,reused_v1_final_mp4,true
vdcr_000043,,Vortex Ring Formation,physics_physical_systems,,,release/media/videos_mp4/vdcr_v1_000043.mp4,v2_seed,,vdcr_v1_000043,reused_v1_final_mp4,true
vdcr_000044,,Bubble-Net Feeding,biology_living_systems,,,release/media/videos_mp4/vdcr_v1_000044.mp4,v2_seed,,vdcr_v1_000044,reused_v1_final_mp4,true
vdcr_000045,,Dendritic Crystal Growth,chemistry_materials_change,,,release/media/videos_mp4/vdcr_v1_000045.mp4,v2_seed,,vdcr_v1_000045,reused_v1_final_mp4,true
vdcr_000046,,Ostwald Ripening,chemistry_materials_change,,,release/media/videos_mp4/vdcr_v1_000046.mp4,v2_seed,,vdcr_v1_000046,reused_v1_final_mp4,true
vdcr_000047,,Axonal Transport,biology_living_systems,,,release/media/videos_mp4/vdcr_v1_000047.mp4,v2_seed,,vdcr_v1_000047,reused_v1_final_mp4,true
